Date,Time,Open,High,Low,Close,Volume
2017-11-30,00:00:00,9e-06,8.9e-05,9e-06,1.204e-05,71038580
2017-12-01,00:00:00,1.204e-05,1.265e-05,1.142e-05,1.22e-05,129545422
2017-12-02,00:00:00,1.206e-05,1.267e-05,1.193e-05,1.213e-05,97426260
2017-12-03,00:00:00,1.22e-05,1.225e-05,1.109e-05,1.181e-05,86817259
2017-12-04,00:00:00,1.18e-05,1.285e-05,1.112e-05,1.179e-05,99263904
2017-12-05,00:00:00,1.179e-05,1.25e-05,1.079e-05,1.103e-05,108923208
2017-12-06,00:00:00,1.103e-05,1.119e-05,8.5e-06,8.57e-06,117646510
2017-12-07,00:00:00,8.59e-06,1e-05,6.07e-06,6.11e-06,142334345
2017-12-08,00:00:00,6.11e-06,8.46e-06,5.7e-06,7.11e-06,163376487
2017-12-09,00:00:00,7.11e-06,9.72e-06,6.91e-06,8e-06,150862476
2017-12-10,00:00:00,7.98e-06,8.28e-06,6.86e-06,7.17e-06,128972223
2017-12-11,00:00:00,7.18e-06,7.49e-06,6.53e-06,7.31e-06,111365880
2017-12-12,00:00:00,7.31e-06,8.2e-06,6.75e-06,7.88e-06,136887292
2017-12-13,00:00:00,7.91e-06,8.5e-06,7.35e-06,8.18e-06,135352512
2017-12-14,00:00:00,8.18e-06,1.8e-05,8.09e-06,1.55e-05,341078004
2017-12-15,00:00:00,1.55e-05,1.555e-05,9.59e-06,1.214e-05,306085121
2017-12-16,00:00:00,1.214e-05,2.45e-05,1.145e-05,2.056e-05,487592229
2017-12-17,00:00:00,2.056e-05,3.09e-05,1.907e-05,2.542e-05,420405334
2017-12-18,00:00:00,2.542e-05,2.8e-05,2.35e-05,2.792e-05,189435631
2017-12-19,00:00:00,2.795e-05,3.431e-05,2.719e-05,2.997e-05,172486353
2017-12-20,00:00:00,2.997e-05,3.079e-05,2.419e-05,2.961e-05,135331051
2017-12-21,00:00:00,2.961e-05,3.1e-05,2.85e-05,3.047e-05,114225728
2017-12-22,00:00:00,3.047e-05,3.066e-05,2.471e-05,2.98e-05,102357450
2017-12-23,00:00:00,2.98e-05,3e-05,2.79e-05,2.843e-05,69140707
