Date,Time,Open,High,Low,Close,Volume
2017-11-02,00:00:00,2.246e-05,3.175e-05,2.246e-05,2.959e-05,5930002
2017-11-03,00:00:00,2.957e-05,4.598e-05,2.475e-05,2.871e-05,18667797
2017-11-04,00:00:00,2.9e-05,2.922e-05,2.665e-05,2.706e-05,12719813
2017-11-05,00:00:00,2.707e-05,2.751e-05,2.603e-05,2.7e-05,10199145
2017-11-06,00:00:00,2.7e-05,2.95e-05,2.69e-05,2.85e-05,12147312
2017-11-07,00:00:00,2.835e-05,2.91e-05,2.778e-05,2.908e-05,8862830
2017-11-08,00:00:00,2.898e-05,3.011e-05,2.663e-05,2.9e-05,12948344
2017-11-09,00:00:00,2.901e-05,3.1e-05,2.888e-05,3.052e-05,8846759
2017-11-10,00:00:00,3.033e-05,3.25e-05,2.93e-05,3.103e-05,8707440
2017-11-11,00:00:00,3.104e-05,3.417e-05,2.959e-05,3.29e-05,9595078
2017-11-12,00:00:00,3.309e-05,3.638e-05,2.859e-05,3.275e-05,10382975
2017-11-13,00:00:00,3.274e-05,3.362e-05,2.915e-05,3.094e-05,10383241
2017-11-14,00:00:00,3.095e-05,3.192e-05,2.949e-05,3.109e-05,10623098
2017-11-15,00:00:00,3.109e-05,3.11e-05,2.8e-05,2.895e-05,11124850
2017-11-16,00:00:00,2.887e-05,6.25e-05,2.732e-05,2.871e-05,44497596
2017-11-17,00:00:00,2.871e-05,3.125e-05,2.702e-05,2.862e-05,39499369
2017-11-18,00:00:00,2.862e-05,2.988e-05,2.8e-05,2.919e-05,28466966
2017-11-19,00:00:00,2.917e-05,3.098e-05,2.779e-05,2.88e-05,32729729
2017-11-20,00:00:00,2.882e-05,3.068e-05,2.852e-05,2.929e-05,34221948
2017-11-21,00:00:00,2.93e-05,3.035e-05,2.8e-05,2.834e-05,33132930
2017-11-22,00:00:00,2.835e-05,2.964e-05,2.782e-05,2.905e-05,32891710
2017-11-23,00:00:00,2.908e-05,3.081e-05,2.878e-05,3.006e-05,44801739
2017-11-24,00:00:00,3.005e-05,3.018e-05,2.756e-05,2.918e-05,40670140
2017-11-25,00:00:00,2.917e-05,2.998e-05,2.839e-05,2.85e-05,35941823
2017-11-26,00:00:00,2.851e-05,2.88e-05,2.576e-05,2.645e-05,32665963
2017-11-27,00:00:00,2.649e-05,2.649e-05,1.997e-05,2.537e-05,34217238
2017-11-28,00:00:00,2.537e-05,2.863e-05,2.518e-05,2.845e-05,44771119
2017-11-29,00:00:00,2.842e-05,2.842e-05,2.372e-05,2.403e-05,40864511
2017-11-30,00:00:00,2.405e-05,2.498e-05,2.28e-05,2.366e-05,27593671
2017-12-01,00:00:00,2.366e-05,2.421e-05,2.273e-05,2.282e-05,39280165
2017-12-02,00:00:00,2.282e-05,2.303e-05,2.2e-05,2.24e-05,41607735
2017-12-03,00:00:00,2.241e-05,2.25e-05,2.127e-05,2.186e-05,35552953
2017-12-04,00:00:00,2.191e-05,2.196e-05,2.099e-05,2.13e-05,35780633
2017-12-05,00:00:00,2.128e-05,2.135e-05,1.962e-05,1.997e-05,48041834
2017-12-06,00:00:00,1.997e-05,2e-05,2e-08,1.585e-05,52681391
2017-12-07,00:00:00,1.585e-05,1.591e-05,1.208e-05,1.221e-05,52938627
2017-12-08,00:00:00,1.219e-05,2.22e-05,1.18e-05,1.47e-05,103693349
2017-12-09,00:00:00,1.47e-05,1.775e-05,1.434e-05,1.601e-05,62924744
2017-12-10,00:00:00,1.602e-05,1.754e-05,1.472e-05,1.529e-05,54182352
2017-12-11,00:00:00,1.527e-05,1.551e-05,1.4e-05,1.486e-05,56006931
2017-12-12,00:00:00,1.489e-05,2.846e-05,1.461e-05,2.266e-05,192329007
2017-12-13,00:00:00,2.297e-05,3.25e-05,2.011e-05,2.893e-05,263112416
2017-12-14,00:00:00,2.887e-05,5.89e-05,2.751e-05,5.345e-05,349578342
2017-12-15,00:00:00,5.329e-05,5.329e-05,3.42e-05,4.201e-05,291842208
2017-12-16,00:00:00,4.201e-05,4.628e-05,3.7e-05,3.817e-05,152874404
2017-12-17,00:00:00,3.825e-05,3.945e-05,3.355e-05,3.749e-05,110311831
2017-12-18,00:00:00,3.75e-05,4.541e-05,3.653e-05,4.006e-05,127377777
2017-12-19,00:00:00,4.006e-05,4.49e-05,3.938e-05,4.254e-05,131198110
2017-12-20,00:00:00,4.254e-05,4.541e-05,4.01e-05,4.419e-05,119083851
2017-12-21,00:00:00,4.419e-05,7.45e-05,4.364e-05,7.3e-05,311177201
2017-12-22,00:00:00,7.3e-05,9.758e-05,6.022e-05,7.57e-05,298889086
2017-12-23,00:00:00,7.562e-05,7.773e-05,6.831e-05,7.162e-05,96859039
2017-12-24,00:00:00,7.161e-05,7.662e-05,6.842e-05,7.18e-05,60342847
2017-12-25,00:00:00,7.186e-05,7.251e-05,6.9e-05,7.082e-05,60931837
2017-12-26,00:00:00,7.082e-05,7.142e-05,6.004e-05,6.833e-05,88433981
2017-12-27,00:00:00,6.827e-05,8.499e-05,6.701e-05,7.889e-05,178134054
2017-12-28,00:00:00,7.882e-05,9.498e-05,7.675e-05,8.786e-05,164279758
2017-12-29,00:00:00,8.786e-05,0.0001495,8.729e-05,0.00013624,343123179
2017-12-30,00:00:00,0.0001362,0.00019651,0.00013602,0.00014912,360685324
2017-12-31,00:00:00,0.00014905,0.00015874,0.000122,0.00014299,178376382
2018-01-01,00:00:00,0.00014296,0.0001545,0.000138,0.00015098,67565608
2018-01-02,00:00:00,0.00015098,0.0001593,0.00012,0.00014843,125431775
2018-01-03,00:00:00,0.00014848,0.00019798,0.000145,0.0001828,187490527
2018-01-04,00:00:00,0.00018272,0.00022968,0.0001575,0.00018,209782490
2018-01-05,00:00:00,0.00018002,0.0002039,0.00013014,0.00014818,208768047
2018-01-06,00:00:00,0.00014817,0.00017722,0.00014441,0.00015319,110110862
2018-01-07,00:00:00,0.00015317,0.00017499,0.000152,0.0001686,85920455
2018-01-08,00:00:00,0.0001686,0.00016935,0.000138,0.00016051,84401918
