Date,Time,Open,High,Low,Close,Volume
2019-10-19,16:00,7994.1,7995.61,7990.09,7995.0,25.157
2019-10-19,16:01,7994.99,7998.15,7994.32,7998.0,25.464
2019-10-19,16:02,7998.11,7998.62,7993.96,7994.78,64.764
2019-10-19,16:03,7996.0,7999.28,7995.42,7996.99,27.062
2019-10-19,16:04,7998.69,7998.69,7992.94,7993.0,41.229
2019-10-19,16:05,7993.0,7993.12,7990.33,7991.97,32.033
2019-10-19,16:06,7991.04,7992.19,7987.64,7987.74,35.957
2019-10-19,16:07,7987.22,7989.25,7983.68,7985.2,95.441
2019-10-19,16:08,7985.0,7988.0,7983.44,7986.75,31.08
2019-10-19,16:09,7987.61,7988.0,7986.0,7988.0,9.901
2019-10-19,16:10,7987.94,7987.98,7980.05,7980.06,60.277
2019-10-19,16:11,7980.0,7985.19,7972.4,7978.76,149.118
2019-10-19,16:12,7979.98,7980.54,7977.24,7978.02,40.19
2019-10-19,16:13,7979.73,7980.0,7972.52,7974.19,29.658
2019-10-19,16:14,7972.53,7980.0,7952.5,7970.0,387.273
2019-10-19,16:15,7973.86,7973.9,7954.49,7960.06,283.817
2019-10-19,16:16,7960.0,7979.55,7957.84,7979.21,158.101
2019-10-19,16:17,7973.24,7980.0,7950.0,7970.01,278.318
2019-10-19,16:18,7966.23,7980.0,7962.69,7976.27,203.248
2019-10-19,16:19,7975.93,7977.68,7967.11,7971.11,75.501
2019-10-19,16:20,7971.65,7972.24,7963.18,7963.92,54.785
2019-10-19,16:21,7964.16,7975.0,7961.0,7975.0,77.593
2019-10-19,16:22,7976.28,7976.28,7971.29,7972.42,35.411
2019-10-19,16:23,7972.88,7980.0,7972.88,7979.13,79.851
2019-10-19,16:24,7978.0,7979.33,7971.12,7972.34,88.182
2019-10-19,16:25,7971.32,7977.1,7971.32,7977.1,65.344
2019-10-19,16:26,7976.8,7978.7,7974.98,7976.84,9.779
2019-10-19,16:27,7976.34,7979.94,7976.34,7978.85,36.625
2019-10-19,16:28,7979.84,7989.19,7978.99,7984.35,95.449
2019-10-19,16:29,7984.36,7986.0,7978.0,7979.98,91.829
2019-10-19,16:30,7979.96,7980.44,7969.47,7969.99,121.545
2019-10-19,16:31,7970.36,7973.72,7964.13,7970.68,88.73299999999998
2019-10-19,16:32,7970.72,7980.0,7970.72,7978.51,45.028
2019-10-19,16:33,7978.51,7979.91,7968.53,7971.55,71.357
2019-10-19,16:34,7969.09,7973.09,7969.08,7973.0,58.297
2019-10-19,16:35,7973.25,7975.0,7970.63,7974.54,33.382
2019-10-19,16:36,7974.07,7976.39,7973.4,7974.46,57.054
2019-10-19,16:37,7975.02,7981.15,7973.75,7979.21,75.78
2019-10-19,16:38,7979.24,7985.99,7975.51,7976.77,107.762
2019-10-19,16:39,7976.55,7981.15,7971.23,7977.88,165.942
2019-10-19,16:40,7975.87,7978.27,7975.87,7976.04,1.742
2019-10-19,16:41,7977.5,7978.14,7975.23,7976.03,18.688
2019-10-19,16:42,7976.07,7977.05,7971.15,7972.1,37.85
2019-10-19,16:43,7972.11,7984.16,7971.12,7980.03,51.931
2019-10-19,16:44,7982.28,7982.87,7975.99,7978.67,120.498
2019-10-19,16:45,7978.67,7979.18,7975.56,7978.1,54.958
2019-10-19,16:46,7975.61,7978.2,7971.05,7975.97,149.458
2019-10-19,16:47,7976.0,7976.0,7971.82,7973.98,66.417
2019-10-19,16:48,7974.6,7976.87,7973.69,7975.53,37.184
2019-10-19,16:49,7975.86,7977.91,7975.0,7975.03,65.652
2019-10-19,16:50,7975.0,7977.33,7973.77,7973.95,24.794
2019-10-19,16:51,7974.99,7975.94,7971.53,7975.66,51.874
2019-10-19,16:52,7974.62,7977.47,7974.62,7975.55,17.766
2019-10-19,16:53,7976.49,7977.12,7973.0,7976.11,46.807
2019-10-19,16:54,7977.22,7977.22,7973.0,7975.17,86.417
2019-10-19,16:55,7974.02,7974.61,7971.89,7972.31,32.501
2019-10-19,16:56,7972.15,7974.67,7966.82,7973.0,171.99400000000003
2019-10-19,16:57,7972.08,7978.65,7968.47,7978.65,101.054
2019-10-19,16:58,7978.06,7979.99,7970.91,7970.91,56.06399999999999
2019-10-19,16:59,7972.5,7974.88,7970.19,7973.25,70.27199999999999
2019-10-19,17:00,7972.79,7973.09,7968.4,7969.76,63.677
2019-10-19,17:01,7971.22,7976.3,7970.0,7972.77,116.196
2019-10-19,17:02,7974.0,7974.0,7968.84,7971.54,61.898
2019-10-19,17:03,7970.81,7971.05,7969.07,7970.3,30.219
2019-10-19,17:04,7970.3,7972.36,7968.33,7968.33,90.305
2019-10-19,17:05,7968.03,7969.24,7965.55,7969.19,40.581
2019-10-19,17:06,7969.99,7978.03,7966.28,7966.86,75.415
2019-10-19,17:07,7969.53,7977.2,7966.85,7975.45,36.481
2019-10-19,17:08,7974.01,7978.55,7973.0,7974.8,61.847
2019-10-19,17:09,7974.8,7977.9,7969.3,7970.0,161.822
2019-10-19,17:10,7969.77,7974.1,7966.85,7971.0,110.118
2019-10-19,17:11,7973.44,7974.14,7971.0,7971.03,21.185
2019-10-19,17:12,7971.04,7971.78,7967.0,7967.31,100.228
2019-10-19,17:13,7968.06,7971.83,7966.15,7971.51,89.727
2019-10-19,17:14,7969.2,7971.51,7965.5,7968.12,105.048
2019-10-19,17:15,7968.69,7968.9,7966.53,7968.1,31.7
2019-10-19,17:16,7968.1,7970.0,7967.0,7969.99,109.968
2019-10-19,17:17,7970.0,7980.0,7970.0,7979.93,137.65200000000002
2019-10-19,17:18,7977.91,7980.0,7975.11,7979.01,25.159
