Date,Time,Open,High,Low,Close,Volume
2020-02-03,08:03,75.81,76.32,75.7,75.88,178.558
2020-02-03,08:04,75.9,75.9,75.9,75.9,20.0
2020-02-03,08:05,76.11,76.12,75.91,75.96,89.167
2020-02-03,08:06,75.97,76.14,75.97,76.13,134.89
2020-02-03,08:07,76.13,76.13,76.05,76.07,171.22099999999998
2020-02-03,08:08,76.07,76.09,76.01,76.06,142.966
2020-02-03,08:09,76.02,76.1,76.01,76.1,170.62
2020-02-03,08:10,76.1,76.33,76.1,76.27,366.872
2020-02-03,08:11,76.27,76.31,76.27,76.31,67.525
2020-02-03,08:12,76.31,76.44,76.31,76.33,123.604
2020-02-03,08:13,76.33,76.33,76.28,76.3,104.613
2020-02-03,08:14,76.3,76.39,76.3,76.32,226.34
2020-02-03,08:15,76.35,76.42,76.32,76.36,94.457
2020-02-03,08:16,76.36,76.5,76.35,76.37,210.409
2020-02-03,08:17,76.41,76.5,76.37,76.5,112.875
2020-02-03,08:18,76.47,76.62,76.41,76.62,165.57299999999995
2020-02-03,08:19,76.61,76.62,76.53,76.55,109.426
2020-02-03,08:20,76.55,76.65,76.54,76.64,137.675
2020-02-03,08:21,76.66,76.66,76.62,76.64,182.945
2020-02-03,08:22,76.64,76.7,76.63,76.7,106.103
2020-02-03,08:23,76.66,76.79,76.66,76.79,158.047
2020-02-03,08:24,76.76,76.79,76.75,76.75,92.118
2020-02-03,08:25,76.75,76.75,76.66,76.72,83.34899999999998
2020-02-03,08:26,76.67,76.77,76.66,76.75,131.75
2020-02-03,08:27,76.75,76.77,76.74,76.75,126.494
2020-02-03,08:28,76.74,76.88,76.74,76.88,218.931
2020-02-03,08:29,76.84,76.97,76.82,76.84,103.186
2020-02-03,08:30,76.82,77.21,76.76,76.81,412.157
2020-02-03,08:31,76.81,76.95,76.81,76.88,239.245
2020-02-03,08:32,76.88,77.07,76.8,77.07,121.56
2020-02-03,08:33,77.07,77.07,76.93,77.02,138.239
2020-02-03,08:34,77.02,77.08,76.89,76.93,286.591
2020-02-03,08:35,76.93,77.06,76.93,76.97,95.283
2020-02-03,08:36,76.97,76.99,76.97,76.99,362.602
2020-02-03,08:37,76.99,76.99,76.98,76.99,315.178
2020-02-03,08:38,76.99,76.99,76.98,76.99,227.868
2020-02-03,08:39,76.99,76.99,76.98,76.98,134.655
2020-02-03,08:40,76.99,76.99,76.94,76.94,398.661
2020-02-03,08:41,76.94,76.94,76.91,76.92,96.413
2020-02-03,08:42,76.92,76.92,76.9,76.9,82.81200000000003
