Date,Time,Open,High,Low,Close,Volume
2017-11-06,00:00:00,1.5,1.799,0.5,1.571,120615
2017-11-07,00:00:00,1.571,1.8,1.5389,1.8,134129
2017-11-08,00:00:00,1.7901,1.99,1.7479,1.9889,347290
2017-11-09,00:00:00,1.9781,2.1997,1.9,1.99,287037
2017-11-10,00:00:00,1.99,2.02,1.6019,1.7133,484658
2017-11-11,00:00:00,1.79,1.925,1.58,1.655,258838
2017-11-12,00:00:00,1.6567,1.7,1.34,1.49,457159
2017-11-13,00:00:00,1.5,1.7381,1.5,1.68,166770
2017-11-14,00:00:00,1.6801,1.7381,1.5321,1.5911,177246
2017-11-15,00:00:00,1.5721,1.6794,1.49,1.5532,297638
2017-11-16,00:00:00,1.5533,1.6699,1.511,1.5599,198029
2017-11-17,00:00:00,1.5599,1.5765,1.49,1.5041,419446
2017-11-18,00:00:00,1.5041,1.6699,1.492,1.6699,172099
2017-11-19,00:00:00,1.6524,1.6948,1.575,1.6,179701
2017-11-20,00:00:00,1.6,1.6522,1.5605,1.64,159737
2017-11-21,00:00:00,1.6257,1.6419,1.54,1.5874,413447
2017-11-22,00:00:00,1.5728,1.6211,1.5556,1.6158,196457
2017-11-23,00:00:00,1.6,1.618,1.5388,1.57,184458
2017-11-24,00:00:00,1.5644,1.8187,1.54,1.7292,644218
2017-11-25,00:00:00,1.712,1.9588,1.68,1.87,475443
2017-11-26,00:00:00,1.85,1.91,1.76,1.8388,193666
2017-11-27,00:00:00,1.8388,1.9532,1.74,1.9532,480695
2017-11-28,00:00:00,1.945,1.9532,1.801,1.9249,359515
2017-11-29,00:00:00,1.9248,2.0486,1.55,1.7565,935739
2017-11-30,00:00:00,1.7641,2.038,1.71,1.95,748118
2017-12-01,00:00:00,1.95,2.1385,1.8801,2.0527,321456
2017-12-02,00:00:00,2.0526,2.1199,1.975,2.0797,241150
2017-12-03,00:00:00,2.0797,2.4,2.0438,2.2617,346006
2017-12-04,00:00:00,2.2617,2.5898,2.2617,2.55,384958
2017-12-05,00:00:00,2.5305,2.75,2.5,2.612,428655
2017-12-06,00:00:00,2.6,2.8,2.3272,2.5134,379335
2017-12-07,00:00:00,2.5393,2.84,2.4001,2.6625,533510
2017-12-08,00:00:00,2.6489,2.8,2.206,2.79,649804
2017-12-09,00:00:00,2.789,2.81,2.1777,2.65,477826
2017-12-10,00:00:00,2.65,2.6648,2.1315,2.4619,562267
2017-12-11,00:00:00,2.4616,2.78,2.4505,2.687,381605
2017-12-12,00:00:00,2.687,2.7397,2.4545,2.5547,541865
2017-12-13,00:00:00,2.5547,2.74,2.265,2.719,702146
2017-12-14,00:00:00,2.7194,3.1521,2.6981,3.1519,998488
2017-12-15,00:00:00,3.1518,4.399,2.99,4.12,919574
2017-12-16,00:00:00,4.16,4.7201,3.8172,4.6378,775606
2017-12-17,00:00:00,4.63,6.7,4.596,5.999,1555662
2017-12-18,00:00:00,5.999,6.1,4.75,6.0,1430171
2017-12-19,00:00:00,5.98,6.463,5.2725,5.6999,1784870
2017-12-20,00:00:00,5.69,5.7,4.68,5.1502,1397302
2017-12-21,00:00:00,5.1819,5.6899,4.42,5.1596,996548
2017-12-22,00:00:00,5.1596,5.1996,3.25,4.2912,1599471
2017-12-23,00:00:00,4.2912,4.998,4.17,4.4,964500
2017-12-24,00:00:00,4.4,5.2,3.8,5.181,1047106
2017-12-25,00:00:00,5.1899,6.88,5.029,6.4631,1480881
2017-12-26,00:00:00,6.4631,10.793,6.35,9.254,3081660
2017-12-27,00:00:00,9.2861,11.3,8.2605,10.0731,2851073
2017-12-28,00:00:00,10.07,10.25,7.8,9.25,2593236
2017-12-29,00:00:00,9.28,9.802,8.39,8.7094,1401565
2017-12-30,00:00:00,8.6808,8.7094,6.9301,7.5947,1648305
2017-12-31,00:00:00,7.5783,8.798,7.5175,8.53,1289214
2018-01-01,00:00:00,8.5478,8.7,7.8,8.45,654338
2018-01-02,00:00:00,8.45,9.1133,8.0922,8.715,1262633
2018-01-03,00:00:00,8.7151,9.4697,8.2653,9.304,947392
2018-01-04,00:00:00,9.304,9.6511,8.5595,9.143,964494
2018-01-05,00:00:00,9.135,16.8172,8.9651,14.8908,2764977
2018-01-06,00:00:00,14.8908,23.6,14.6999,22.6,3130487
2018-01-07,00:00:00,22.6,22.6599,18.05,18.594,1543764
2018-01-08,00:00:00,18.5375,19.2999,14.0018,17.9971,2112065
