Date,Time,Open,High,Low,Close,Volume
2018-11-16,08:00:00,301.0,350.0,280.0,297.57,12905
2018-11-16,09:00:00,298.97,302.0,284.99,292.8,8956
2018-11-16,10:00:00,292.8,299.87,287.14,293.0,6221
2018-11-16,11:00:00,293.6,325.0,293.15,309.32,16562
2018-11-16,12:00:00,309.01,309.01,293.12,293.12,5048
2018-11-16,13:00:00,293.11,299.73,292.77,296.0,2555
2018-11-16,14:00:00,296.0,296.01,287.12,293.57,3385
2018-11-16,15:00:00,293.6,294.86,287.11,291.31,2543
2018-11-16,16:00:00,291.31,292.5,289.06,289.96,1458
2018-11-16,17:00:00,289.54,290.0,271.1,275.65,5200
2018-11-16,18:00:00,275.68,278.42,262.49,271.08,3197
2018-11-16,19:00:00,272.83,277.21,268.0,268.99,827
2018-11-16,20:00:00,268.4,272.5,266.25,269.85,775
2018-11-16,21:00:00,269.85,270.95,261.23,265.0,1093
2018-11-16,22:00:00,264.08,265.0,253.44,255.09,2479
2018-11-16,23:00:00,255.06,264.33,250.1,262.0,2400
2018-11-17,00:00:00,261.95,262.0,255.14,258.32,1522
2018-11-17,01:00:00,258.29,265.63,257.54,263.99,2347
2018-11-17,02:00:00,263.98,263.98,244.0,248.77,6989
2018-11-17,03:00:00,249.75,250.0,230.73,234.85,5279
2018-11-17,04:00:00,234.82,254.9,232.55,250.2,6101
2018-11-17,05:00:00,250.2,256.0,238.18,238.62,4503
2018-11-17,06:00:00,238.18,246.47,237.2,240.97,2321
2018-11-17,07:00:00,240.97,257.34,240.43,253.79,2940
2018-11-17,08:00:00,253.79,258.0,249.05,252.76,2909
2018-11-17,09:00:00,252.0,266.56,251.11,262.22,4616
2018-11-17,10:00:00,263.0,264.74,253.47,255.5,2369
2018-11-17,11:00:00,255.13,259.0,251.06,254.25,1644
2018-11-17,12:00:00,254.26,255.5,247.0,251.76,2027
2018-11-17,13:00:00,251.7,255.68,247.8,254.85,2151
2018-11-17,14:00:00,255.0,260.0,249.77,258.74,2055
2018-11-17,15:00:00,259.43,262.0,255.16,257.57,1682
2018-11-17,16:00:00,257.04,265.0,256.49,265.0,2702
2018-11-17,17:00:00,264.95,271.3,261.48,263.26,3006
2018-11-17,18:00:00,263.26,265.06,258.86,259.65,1643
2018-11-17,19:00:00,259.41,263.98,257.0,259.48,1208
2018-11-17,20:00:00,259.48,262.0,258.0,259.0,739
2018-11-17,21:00:00,259.03,259.5,255.3,256.01,1067
2018-11-17,22:00:00,255.89,256.86,253.08,255.0,590
2018-11-17,23:00:00,255.1,259.27,253.42,256.7,878
2018-11-18,00:00:00,256.49,262.58,255.96,262.08,1125
2018-11-18,01:00:00,262.08,264.49,260.42,261.62,754
2018-11-18,02:00:00,261.29,269.0,260.76,267.0,2124
2018-11-18,03:00:00,266.99,269.0,262.0,262.39,2712
2018-11-18,04:00:00,262.39,263.74,259.2,263.54,1734
2018-11-18,05:00:00,263.75,274.2,263.5,270.0,3733
2018-11-18,06:00:00,270.0,273.61,268.11,270.68,1265
2018-11-18,07:00:00,270.23,270.48,264.42,267.8,1184
2018-11-18,08:00:00,267.35,277.0,267.21,270.89,6841
2018-11-18,09:00:00,270.99,274.5,270.0,271.06,1111
2018-11-18,10:00:00,271.92,272.87,266.0,266.0,2744
2018-11-18,11:00:00,266.0,274.48,262.59,270.86,1867
2018-11-18,12:00:00,270.42,278.99,269.48,275.24,4117
2018-11-18,13:00:00,275.5,279.85,274.21,278.34,2786
2018-11-18,14:00:00,278.34,289.18,275.13,287.08,6108
2018-11-18,15:00:00,287.07,296.95,281.5,293.14,4293
2018-11-18,16:00:00,293.0,298.8,289.8,296.39,4022
2018-11-18,17:00:00,296.0,296.38,284.38,290.95,3359
2018-11-18,18:00:00,291.94,297.81,288.91,297.18,1511
2018-11-18,19:00:00,297.18,298.14,294.47,297.2,1799
2018-11-18,20:00:00,296.67,296.86,286.71,288.13,2365
2018-11-18,21:00:00,288.6,290.0,287.11,288.35,286
2018-11-18,22:00:00,288.56,289.67,286.0,288.72,355
2018-11-18,23:00:00,288.66,297.77,287.38,296.67,1516
2018-11-19,00:00:00,297.18,297.99,288.01,288.1,1473
2018-11-19,01:00:00,288.1,288.41,278.2,281.02,4016
2018-11-19,02:00:00,280.63,280.88,266.12,269.13,5146
2018-11-19,03:00:00,268.54,273.0,268.0,270.69,2068
2018-11-19,04:00:00,270.8,278.88,269.21,273.17,2178
