Date,Time,Open,High,Low,Close,Volume
2018-11-16,08:00:00,301.0,350.0,280.0,315.0,8202
2018-11-16,08:30:00,316.0,316.0,291.56,297.57,4703
2018-11-16,09:00:00,298.97,302.0,290.0,290.99,2859
2018-11-16,09:30:00,290.99,302.0,284.99,292.8,6096
2018-11-16,10:00:00,292.8,299.87,287.99,288.5,3776
2018-11-16,10:30:00,287.38,295.0,287.14,293.0,2444
2018-11-16,11:00:00,293.6,325.0,293.15,313.0,12280
2018-11-16,11:30:00,313.0,313.82,301.67,309.32,4281
2018-11-16,12:00:00,309.01,309.01,299.09,303.95,2152
2018-11-16,12:30:00,304.0,304.0,293.12,293.12,2896
2018-11-16,13:00:00,293.11,299.73,292.77,295.23,1055
2018-11-16,13:30:00,295.23,298.0,293.0,296.0,1499
2018-11-16,14:00:00,296.0,296.01,288.0,288.0,2246
2018-11-16,14:30:00,288.99,294.73,287.12,293.57,1138
2018-11-16,15:00:00,293.6,294.86,287.11,289.5,1707
2018-11-16,15:30:00,289.06,292.85,289.01,291.31,835
2018-11-16,16:00:00,291.31,291.91,289.53,291.14,676
2018-11-16,16:30:00,291.14,292.5,289.06,289.96,782
2018-11-16,17:00:00,289.54,290.0,271.1,281.76,3750
2018-11-16,17:30:00,281.01,283.94,273.0,275.65,1450
2018-11-16,18:00:00,275.68,276.4,268.15,268.26,1637
2018-11-16,18:30:00,268.14,278.42,262.49,271.08,1560
2018-11-16,19:00:00,272.83,277.21,269.42,275.6,453
2018-11-16,19:30:00,273.92,274.0,268.0,268.99,374
2018-11-16,20:00:00,268.4,269.64,266.25,266.68,337
2018-11-16,20:30:00,266.85,272.5,266.39,269.85,438
2018-11-16,21:00:00,269.85,270.95,267.0,269.65,335
2018-11-16,21:30:00,269.98,269.98,261.23,265.0,758
2018-11-16,22:00:00,264.08,265.0,256.2,256.85,986
2018-11-16,22:30:00,257.01,259.9,253.44,255.09,1493
2018-11-16,23:00:00,255.06,258.0,250.1,256.03,986
2018-11-16,23:30:00,256.08,264.33,254.26,262.0,1413
2018-11-17,00:00:00,261.95,262.0,257.99,257.99,864
2018-11-17,00:30:00,257.99,259.37,255.14,258.32,658
2018-11-17,01:00:00,258.29,260.47,257.54,258.54,445
2018-11-17,01:30:00,258.59,265.63,258.05,263.99,1901
2018-11-17,02:00:00,263.98,263.98,244.0,247.09,3871
2018-11-17,02:30:00,247.65,250.93,244.53,248.77,3117
2018-11-17,03:00:00,249.75,250.0,231.88,233.87,2658
2018-11-17,03:30:00,233.85,239.77,230.73,234.85,2621
2018-11-17,04:00:00,234.82,237.99,232.55,235.86,2554
2018-11-17,04:30:00,236.11,254.9,235.21,250.2,3547
2018-11-17,05:00:00,250.2,256.0,245.8,246.35,2474
2018-11-17,05:30:00,246.35,252.0,238.18,238.62,2028
2018-11-17,06:00:00,238.18,246.47,237.2,245.29,1086
2018-11-17,06:30:00,245.29,246.0,239.81,240.97,1234
2018-11-17,07:00:00,240.97,250.0,240.43,249.66,1428
2018-11-17,07:30:00,249.47,257.34,249.0,253.79,1511
2018-11-17,08:00:00,253.79,258.0,250.02,252.99,1869
2018-11-17,08:30:00,252.6,255.0,249.05,252.76,1040
2018-11-17,09:00:00,252.0,264.0,251.11,263.9,2496
2018-11-17,09:30:00,263.9,266.56,259.6,262.22,2119
2018-11-17,10:00:00,263.0,264.74,256.6,259.24,1195
2018-11-17,10:30:00,259.06,259.06,253.47,255.5,1174
2018-11-17,11:00:00,255.13,259.0,253.5,254.5,749
2018-11-17,11:30:00,254.43,256.42,251.06,254.25,895
2018-11-17,12:00:00,254.26,255.5,249.35,249.75,1122
2018-11-17,12:30:00,249.36,252.21,247.0,251.76,905
2018-11-17,13:00:00,251.7,252.89,247.8,250.45,1443
2018-11-17,13:30:00,250.45,255.68,250.0,254.85,708
2018-11-17,14:00:00,255.0,255.45,249.77,252.88,601
2018-11-17,14:30:00,253.0,260.0,251.25,258.74,1453
2018-11-17,15:00:00,259.43,262.0,255.57,256.0,1253
2018-11-17,15:30:00,256.0,259.98,255.16,257.57,429
2018-11-17,16:00:00,257.04,260.9,256.49,258.38,843
2018-11-17,16:30:00,258.15,265.0,258.03,265.0,1858
2018-11-17,17:00:00,264.95,271.3,261.48,269.34,2265
2018-11-17,17:30:00,269.44,269.76,263.06,263.26,741
2018-11-17,18:00:00,263.26,265.06,259.53,260.42,1189
2018-11-17,18:30:00,260.46,261.39,258.86,259.65,453
2018-11-17,19:00:00,259.41,259.89,257.05,257.16,351
2018-11-17,19:30:00,257.61,263.98,257.0,259.48,856
2018-11-17,20:00:00,259.48,262.0,259.48,259.85,401
2018-11-17,20:30:00,260.25,260.35,258.0,259.0,338
