Date,Time,Open,High,Low,Close,Volume
2017-11-06,03:30:00,1.5,1.7990000000000002,0.5,1.7,649
2017-11-06,04:00:00,1.3,1.65,1.3,1.5445,6338
2017-11-06,04:30:00,1.5735,1.6479,1.545,1.6479,1809
2017-11-06,05:00:00,1.5457,1.546,1.5455,1.5455,2265
2017-11-06,05:30:00,1.5525,1.5525,1.5458,1.5458,4362
2017-11-06,06:00:00,1.5458,1.6399,1.5387,1.6399,9975
2017-11-06,06:30:00,1.6399,1.681,1.6179,1.681,12792
2017-11-06,07:00:00,1.6809,1.6809,1.6105,1.6105,10018
2017-11-06,07:30:00,1.6,1.625,1.6,1.625,4920
2017-11-06,08:00:00,1.6011,1.6379,1.601,1.6369999999999998,2943
2017-11-06,08:30:00,1.6369999999999998,1.6378,1.6019999999999999,1.6378,2945
2017-11-06,09:00:00,1.6019999999999999,1.6025,1.58,1.5883,6334
2017-11-06,09:30:00,1.6025,1.6366,1.6,1.6366,308
2017-11-06,10:00:00,1.601,1.6477,1.6,1.6019999999999999,2601
2017-11-06,10:30:00,1.6478,1.6479,1.6478,1.6479,2284
2017-11-06,11:00:00,1.6479,1.6759,1.6369999999999998,1.6369999999999998,2649
2017-11-06,11:30:00,1.6369999999999998,1.676,1.6288,1.6288,1675
2017-11-06,12:00:00,1.6288,1.6288,1.6288,1.6288,1725
2017-11-06,12:30:00,1.6124,1.6124,1.5803,1.5804,4108
2017-11-06,13:00:00,1.6,1.6,1.5804,1.6,358
2017-11-06,13:30:00,1.5805,1.6,1.5805,1.6,131
2017-11-06,14:00:00,1.5805,1.5805,1.569,1.57,6778
2017-11-06,14:30:00,1.57,1.61,1.5645,1.61,2261
2017-11-06,15:00:00,1.6098,1.6108,1.5987,1.6108,4604
2017-11-06,15:30:00,1.6068,1.6148,1.5908,1.6148,2217
2017-11-06,16:00:00,1.6148,1.631,1.6148,1.6229,1432
2017-11-06,16:30:00,1.6269999999999998,1.6269999999999998,1.6148,1.6148,525
2017-11-06,17:00:00,1.6108,1.6269999999999998,1.6028,1.6028,593
2017-11-06,17:30:00,1.6,1.6028,1.57,1.5829,5053
2017-11-06,18:00:00,1.5868,1.5868,1.5645,1.571,455
2017-11-06,18:30:00,1.5671,1.6028,1.5671,1.5908,454
2017-11-06,19:00:00,1.6028,1.6028,1.571,1.571,3005
2017-11-06,19:30:00,1.5868,1.5868,1.571,1.5868,250
2017-11-06,20:00:00,1.5948,1.5948,1.5763,1.5948,562
2017-11-06,20:30:00,1.5948,1.598,1.5789,1.5789,2066
2017-11-06,21:00:00,1.5711,1.5711,1.556,1.556,836
2017-11-06,21:30:00,1.571,1.5868,1.556,1.571,871
2017-11-06,22:00:00,1.5789,1.5868,1.5789,1.5868,71
2017-11-06,22:30:00,1.5868,1.5868,1.55,1.5631,4463
2017-11-06,23:00:00,1.5553,1.57,1.5553,1.5631,105
2017-11-06,23:30:00,1.5631,1.577,1.56,1.571,2808
2017-11-07,00:00:00,1.571,1.5948,1.5553,1.5631,1980
2017-11-07,00:30:00,1.571,1.571,1.545,1.571,1637
2017-11-07,01:00:00,1.5789,1.5789,1.5425,1.571,1101
2017-11-07,01:30:00,1.5631,1.571,1.5389,1.5389,2680
2017-11-07,02:00:00,1.5389,1.5389,1.5389,1.5389,0
2017-11-07,02:30:00,1.5389,1.5389,1.5389,1.5389,0
2017-11-07,03:00:00,1.58,1.58,1.55,1.55,106
2017-11-07,03:30:00,1.58,1.6188,1.5555,1.6188,850
2017-11-07,04:00:00,1.6184,1.6188,1.5548,1.5705,6295
2017-11-07,04:30:00,1.555,1.6176,1.5548,1.5705,973
2017-11-07,05:00:00,1.5705,1.571,1.5705,1.571,273
2017-11-07,05:30:00,1.571,1.6019999999999999,1.571,1.6019999999999999,3640
2017-11-07,06:00:00,1.59,1.59,1.59,1.59,751
2017-11-07,06:30:00,1.59,1.59,1.5705,1.5705,2295
