Date,Time,Open,High,Low,Close,Volume
2017-08-17,04:00:00,4261.48,4280.56,4261.48,4261.48,2
2017-08-17,04:15:00,4261.48,4270.41,4261.32,4261.45,9
2017-08-17,04:30:00,4280.0,4310.07,4267.99,4310.07,21
2017-08-17,04:45:00,4310.07,4313.62,4291.37,4308.83,13
2017-08-17,05:00:00,4308.83,4328.69,4304.31,4304.31,5
2017-08-17,05:15:00,4320.0,4320.0,4312.14,4320.0,15
2017-08-17,05:30:00,4320.0,4320.0,4291.37,4291.37,2
2017-08-17,05:45:00,4297.04,4315.32,4297.04,4315.32,0
2017-08-17,06:00:00,4330.29,4330.29,4318.39,4330.0,0
2017-08-17,06:15:00,4309.37,4330.29,4309.37,4311.02,3
2017-08-17,06:30:00,4328.65,4345.45,4319.83,4345.45,3
2017-08-17,06:45:00,4345.45,4345.45,4324.35,4324.35,0
2017-08-17,07:00:00,4316.62,4316.62,4316.62,4316.62,0
2017-08-17,07:15:00,4291.38,4291.38,4291.38,4291.38,0
2017-08-17,07:30:00,4291.39,4300.0,4291.39,4300.0,0
2017-08-17,07:45:00,4287.41,4349.99,4287.41,4349.99,3
2017-08-17,08:00:00,4333.32,4377.85,4333.32,4360.71,0
2017-08-17,08:15:00,4360.71,4360.71,4360.7,4360.7,0
2017-08-17,08:30:00,4360.7,4360.7,4360.0,4360.69,0
2017-08-17,08:45:00,4360.7,4360.7,4360.69,4360.69,0
2017-08-17,09:00:00,4360.0,4360.0,4360.0,4360.0,0
2017-08-17,09:15:00,4360.0,4360.0,4360.0,4360.0,2
2017-08-17,09:30:00,4360.0,4445.78,4360.0,4436.51,8
2017-08-17,09:45:00,4444.0,4444.0,4444.0,4444.0,0
2017-08-17,10:00:00,4441.1,4441.1,4399.81,4400.0,4
2017-08-17,10:15:00,4400.0,4443.0,4400.0,4440.0,0
2017-08-17,10:30:00,4400.0,4419.0,4400.0,4415.0,2
2017-08-17,10:45:00,4419.0,4470.0,4419.0,4460.0,17
2017-08-17,11:00:00,4460.0,4474.8,4454.72,4474.8,16
2017-08-17,11:15:00,4474.8,4485.39,4465.06,4485.39,8
2017-08-17,11:30:00,4485.39,4485.39,4459.96,4469.93,0
2017-08-17,11:45:00,4469.93,4469.93,4427.3,4427.3,1
2017-08-17,12:00:00,4436.06,4449.56,4436.06,4441.87,11
2017-08-17,12:15:00,4441.87,4441.87,4418.12,4418.12,9
2017-08-17,12:30:00,4417.0,4431.13,4411.01,4431.13,1
2017-08-17,12:45:00,4430.0,4431.13,4411.0,4411.0,0
2017-08-17,13:00:00,4411.0,4445.88,4411.0,4445.88,1
2017-08-17,13:15:00,4430.43,4440.0,4422.6,4440.0,2
2017-08-17,13:30:00,4435.12,4445.0,4425.21,4445.0,7
2017-08-17,13:45:00,4432.07,4459.0,4425.6,4459.0,20
2017-08-17,14:00:00,4459.0,4460.0,4435.93,4452.71,17
2017-08-17,14:15:00,4452.71,4469.46,4437.35,4467.81,4
2017-08-17,14:30:00,4467.81,4485.39,4452.57,4477.53,9
2017-08-17,14:45:00,4477.53,4477.53,4453.26,4470.82,20
2017-08-17,15:00:00,4470.82,4470.82,4453.67,4460.0,9
2017-08-17,15:15:00,4460.0,4470.82,4412.1,4432.2,12
2017-08-17,15:30:00,4432.2,4444.9,4374.04,4396.47,25
2017-08-17,15:45:00,4392.95,4425.83,4333.42,4352.34,20
2017-08-17,16:00:00,4352.33,4354.35,4255.3,4307.17,34
