Date,Time,Open,High,Low,Close,Volume
2019-03-25,04:00:00,3e-05,3e-05,6.72e-06,6.98e-06,92850696
2019-03-25,04:01:00,6.98e-06,7.69e-06,6.38e-06,6.85e-06,57027959
2019-03-25,04:02:00,6.85e-06,7.28e-06,6.66e-06,6.67e-06,59935976
2019-03-25,04:03:00,6.67e-06,6.8e-06,6.48e-06,6.62e-06,47425656
2019-03-25,04:04:00,6.62e-06,6.7e-06,6.27e-06,6.28e-06,40272173
2019-03-25,04:05:00,6.29e-06,6.3e-06,5.8e-06,6.05e-06,64249586
2019-03-25,04:06:00,6.06e-06,6.3e-06,5.85e-06,6.01e-06,43226352
2019-03-25,04:07:00,6.02e-06,6.17e-06,5.84e-06,6.04e-06,23585058
2019-03-25,04:08:00,6.03e-06,6.25e-06,5.95e-06,6.13e-06,26250363
2019-03-25,04:09:00,6.13e-06,6.42e-06,6.05e-06,6.3e-06,34652197
2019-03-25,04:10:00,6.3e-06,6.35e-06,6.07e-06,6.14e-06,27908339
2019-03-25,04:11:00,6.14e-06,6.16e-06,5.94e-06,6.12e-06,32140619
2019-03-25,04:12:00,6.11e-06,6.18e-06,5.98e-06,6.12e-06,16144346
2019-03-25,04:13:00,6.12e-06,6.22e-06,6.09e-06,6.13e-06,14416829
2019-03-25,04:14:00,6.13e-06,6.35e-06,6.1e-06,6.27e-06,20519153
2019-03-25,04:15:00,6.26e-06,6.28e-06,6.15e-06,6.23e-06,9678640
2019-03-25,04:16:00,6.23e-06,6.25e-06,6.13e-06,6.15e-06,15118326
2019-03-25,04:17:00,6.15e-06,6.24e-06,6.13e-06,6.22e-06,12420303
2019-03-25,04:18:00,6.23e-06,6.42e-06,6.21e-06,6.39e-06,21394649
2019-03-25,04:19:00,6.37e-06,6.41e-06,6.24e-06,6.25e-06,24740936
2019-03-25,04:20:00,6.26e-06,6.32e-06,6.17e-06,6.23e-06,23952174
2019-03-25,04:21:00,6.24e-06,6.27e-06,6.18e-06,6.24e-06,25498644
2019-03-25,04:22:00,6.24e-06,6.28e-06,6.21e-06,6.21e-06,21286349
2019-03-25,04:23:00,6.23e-06,6.25e-06,6.17e-06,6.19e-06,23153286
2019-03-25,04:24:00,6.18e-06,6.21e-06,6.06e-06,6.11e-06,22299928
2019-03-25,04:25:00,6.11e-06,6.14e-06,6.06e-06,6.1e-06,24482953
2019-03-25,04:26:00,6.1e-06,6.15e-06,6.09e-06,6.15e-06,29384021
2019-03-25,04:27:00,6.13e-06,6.15e-06,6.1e-06,6.12e-06,19982603
2019-03-25,04:28:00,6.12e-06,6.14e-06,6.1e-06,6.1e-06,18254093
2019-03-25,04:29:00,6.1e-06,6.12e-06,5.89e-06,5.89e-06,31709413
2019-03-25,04:30:00,5.89e-06,5.94e-06,5.68e-06,5.94e-06,35684632
2019-03-25,04:31:00,5.92e-06,5.98e-06,5.84e-06,5.96e-06,17335926
2019-03-25,04:32:00,5.97e-06,6.02e-06,5.89e-06,5.91e-06,12803242
2019-03-25,04:33:00,5.91e-06,5.93e-06,5.83e-06,5.88e-06,18977103
2019-03-25,04:34:00,5.87e-06,5.9e-06,5.78e-06,5.86e-06,21440916
2019-03-25,04:35:00,5.86e-06,5.86e-06,5.77e-06,5.8e-06,30505813
2019-03-25,04:36:00,5.8e-06,5.83e-06,5.76e-06,5.78e-06,19760001
2019-03-25,04:37:00,5.77e-06,5.78e-06,5.63e-06,5.68e-06,21241018
2019-03-25,04:38:00,5.68e-06,5.83e-06,5.65e-06,5.79e-06,16682914
2019-03-25,04:39:00,5.79e-06,5.94e-06,5.77e-06,5.82e-06,17357512
2019-03-25,04:40:00,5.81e-06,5.84e-06,5.77e-06,5.84e-06,8407143
2019-03-25,04:41:00,5.81e-06,5.83e-06,5.74e-06,5.74e-06,8258765
2019-03-25,04:42:00,5.75e-06,5.77e-06,5.7e-06,5.72e-06,12506888
2019-03-25,04:43:00,5.73e-06,5.73e-06,5.66e-06,5.67e-06,7923880
2019-03-25,04:44:00,5.67e-06,5.79e-06,5.66e-06,5.77e-06,14545164
2019-03-25,04:45:00,5.77e-06,5.85e-06,5.75e-06,5.78e-06,15659954
2019-03-25,04:46:00,5.8e-06,5.8e-06,5.7e-06,5.74e-06,9630701
2019-03-25,04:47:00,5.73e-06,5.82e-06,5.7e-06,5.79e-06,10930856
2019-03-25,04:48:00,5.79e-06,5.8e-06,5.7e-06,5.77e-06,11595644
2019-03-25,04:49:00,5.77e-06,5.78e-06,5.72e-06,5.74e-06,6311617
2019-03-25,04:50:00,5.74e-06,5.75e-06,5.67e-06,5.69e-06,8587161
2019-03-25,04:51:00,5.69e-06,5.76e-06,5.69e-06,5.75e-06,3696952
2019-03-25,04:52:00,5.76e-06,5.86e-06,5.75e-06,5.84e-06,7873428
2019-03-25,04:53:00,5.83e-06,5.88e-06,5.82e-06,5.86e-06,6840980
2019-03-25,04:54:00,5.87e-06,5.94e-06,5.81e-06,5.84e-06,13145527
