Date,Time,Open,High,Low,Close,Volume
2018-05-31,00:00:00,1.4,2.15,1.4,1.7547,4301267
2018-06-01,00:00:00,1.7548,1.9539,1.7128,1.9242,8098705
2018-06-02,00:00:00,1.9269,1.95,1.8511,1.8962,7415130
2018-06-03,00:00:00,1.8987,2.0132,1.7242,1.8045,9094727
2018-06-04,00:00:00,1.8093,1.85,1.658,1.7157,8496128
2018-06-05,00:00:00,1.7159,1.7849,1.6561,1.7433,7524463
2018-06-06,00:00:00,1.7434,1.7678,1.64,1.6959,6711330
2018-06-07,00:00:00,1.6954,1.7436,1.68,1.6923,5902671
2018-06-08,00:00:00,1.6927,1.7382,1.6605,1.7037,6337504
2018-06-09,00:00:00,1.7032,1.7454,1.64,1.6481,6754595
2018-06-10,00:00:00,1.648,1.6512,1.3181,1.3749,8610162
2018-06-11,00:00:00,1.3769,1.471,1.3113,1.4597,6729264
2018-06-12,00:00:00,1.4567,1.46,1.23,1.2583,7824729
2018-06-13,00:00:00,1.2595,1.295,1.1292,1.2055,8613960
2018-06-14,00:00:00,1.2056,1.371,1.171,1.2732,9138651
2018-06-15,00:00:00,1.2772,1.3,1.161,1.1781,7980199
2018-06-16,00:00:00,1.1796,1.23,1.1555,1.1943,7146126
2018-06-17,00:00:00,1.1943,1.217,1.1691,1.1716,7879816
2018-06-18,00:00:00,1.1744,1.229,1.1,1.1801,10289294
2018-06-19,00:00:00,1.1818,1.265,1.16,1.1818,8079945
2018-06-20,00:00:00,1.1804,1.1841,1.1116,1.1598,8943103
2018-06-21,00:00:00,1.1598,1.18,1.1389,1.1584,7936682
2018-06-22,00:00:00,1.1584,1.171,0.9304,0.9726,12212505
2018-06-23,00:00:00,0.9726,1.0739,0.9545,1.0366,9021374
2018-06-24,00:00:00,1.0377,1.0429,0.881,0.9732,11407204
2018-06-25,00:00:00,0.9732,1.0501,0.9522,1.0147,9687936
2018-06-26,00:00:00,1.0177,1.0241,0.9278,0.9353,5509745
2018-06-27,00:00:00,0.936,1.02,0.923,0.9825,7892995
2018-06-28,00:00:00,0.9824,1.0,0.902,0.916,8813758
2018-06-29,00:00:00,0.9149,0.9844,0.8924,0.9589,8869914
2018-06-30,00:00:00,0.9607,1.03,0.9599,1.0109,8707918
2018-07-01,00:00:00,1.0129,1.0825,0.986,1.0675,8895665
2018-07-02,00:00:00,1.0674,1.192,1.03,1.1648,9682295
2018-07-03,00:00:00,1.1635,1.23,1.1176,1.1376,9785015
2018-07-04,00:00:00,1.1401,1.2615,1.1204,1.207,6634688
2018-07-05,00:00:00,1.207,1.2201,1.107,1.1539,8010513
2018-07-06,00:00:00,1.1543,1.1581,1.0356,1.0601,8517621
2018-07-07,00:00:00,1.059,1.1133,1.0266,1.109,7956848
2018-07-08,00:00:00,1.1063,1.136,1.064,1.0779,7443843
2018-07-09,00:00:00,1.0801,1.0947,1.0321,1.0416,6210890
2018-07-10,00:00:00,1.0416,1.0429,0.95,0.9553,7495069
2018-07-11,00:00:00,0.9554,1.008,0.9432,1.0025,6033966
2018-07-12,00:00:00,1.0026,1.0056,0.929,0.9664,6033933
2018-07-13,00:00:00,0.9654,0.9968,0.953,0.9614,6145846
2018-07-14,00:00:00,0.9594,1.0249,0.9497,0.972,5701280
2018-07-15,00:00:00,0.9694,1.043,0.9665,0.9981,6532624
2018-07-16,00:00:00,0.9989,1.1249,0.981,1.0943,7871767
2018-07-17,00:00:00,1.0931,1.183,1.0507,1.1269,10028033
2018-07-18,00:00:00,1.127,1.1723,1.061,1.087,11003715
2018-07-19,00:00:00,1.087,1.0951,1.0301,1.0425,6642215
2018-07-20,00:00:00,1.0415,1.045,0.945,0.9619,7476852
2018-07-21,00:00:00,0.9619,1.0227,0.9428,0.9974,5295659
2018-07-22,00:00:00,0.9975,1.015,0.9677,0.9777,5590037
2018-07-23,00:00:00,0.9791,1.0122,0.921,0.9295,6114201
2018-07-24,00:00:00,0.9295,1.0,0.91,0.9828,7529730
2018-07-25,00:00:00,0.9794,1.016,0.9586,0.986,7603130
2018-07-26,00:00:00,0.9858,1.0631,0.9852,1.0074,12278950
2018-07-27,00:00:00,1.0055,1.0367,0.97,1.0145,13288011
2018-07-28,00:00:00,1.0145,1.036,0.996,1.0285,12436150
2018-07-29,00:00:00,1.0318,1.0392,1.0055,1.0086,11017016
2018-07-30,00:00:00,1.0086,1.0144,0.9465,0.9733,10338793
2018-07-31,00:00:00,0.9769,0.99,0.9241,0.9405,10926125
2018-08-01,00:00:00,0.9432,0.9474,0.8942,0.9272,11188494
2018-08-02,00:00:00,0.9271,0.9333,0.8747,0.8846,11393146
2018-08-03,00:00:00,0.8846,0.9849,0.7782,0.9621,19522048
2018-08-04,00:00:00,0.9597,0.998,0.8312,0.8527,14518151
2018-08-05,00:00:00,0.8527,0.962,0.8426,0.9051,13159559
2018-08-06,00:00:00,0.9052,0.9274,0.8188,0.8286,16168511
2018-08-07,00:00:00,0.8287,0.8646,0.7388,0.76,17691664
2018-08-08,00:00:00,0.7598,0.7604,0.5948,0.6151,21022791
2018-08-09,00:00:00,0.6157,0.6736,0.5941,0.636,19912332
2018-08-10,00:00:00,0.636,0.6478,0.6202,0.6337,4437465
