Date,Time,Open,High,Low,Close,Volume
2017-12-13,03:00:00,272.0,288.0,272.0,276.0,130
2017-12-13,04:00:00,276.0,288.0,269.99,279.0,606
2017-12-13,05:00:00,279.0,330.0,279.0,302.0,383
2017-12-13,06:00:00,302.0,304.11,286.0,291.13,351
2017-12-13,07:00:00,291.13,296.0,285.0,287.0,165
2017-12-13,08:00:00,287.0,290.0,280.1,280.1,123
2017-12-13,09:00:00,280.1,288.96,278.0,284.19,93
2017-12-13,10:00:00,284.19,287.4,275.2,275.26,325
2017-12-13,11:00:00,275.26,286.98,270.26,280.0,129
2017-12-13,12:00:00,280.0,308.0,280.0,305.0,767
2017-12-13,13:00:00,305.0,325.0,300.0,318.98,668
2017-12-13,14:00:00,318.98,318.98,291.11,291.11,1106
2017-12-13,15:00:00,292.0,307.89,291.11,297.0,466
2017-12-13,16:00:00,294.07,297.9,287.54,288.01,256
2017-12-13,17:00:00,288.01,301.63,270.0,282.5,953
2017-12-13,18:00:00,280.0,296.0,260.0,279.81,895
2017-12-13,19:00:00,279.81,294.0,268.89,288.88,467
2017-12-13,20:00:00,288.88,288.88,276.0,278.0,537
2017-12-13,21:00:00,278.0,292.88,277.0,288.66,543
2017-12-13,22:00:00,292.88,301.0,288.66,294.0,304
2017-12-13,23:00:00,293.97,307.89,286.0,290.01,287
2017-12-14,00:00:00,290.01,296.0,283.99,296.0,260
2017-12-14,01:00:00,296.0,298.0,291.09,297.49,387
2017-12-14,02:00:00,297.49,299.0,288.01,288.11,380
2017-12-14,03:00:00,288.11,302.72,288.11,288.11,198
2017-12-14,04:00:00,288.11,294.99,288.11,291.4,359
2017-12-14,05:00:00,291.4,295.0,283.0,283.1,334
2017-12-14,06:00:00,283.1,290.0,283.0,283.0,218
2017-12-14,07:00:00,282.05,290.0,280.0,283.04,231
2017-12-14,08:00:00,288.5,290.0,283.0,286.5,234
2017-12-14,09:00:00,286.5,294.99,280.0,285.87,338
2017-12-14,10:00:00,282.13,288.97,282.1,287.0,232
2017-12-14,11:00:00,286.1,288.95,283.61,285.0,210
2017-12-14,12:00:00,287.88,288.8,282.0,284.0,270
2017-12-14,13:00:00,284.0,285.8,275.0,281.85,616
2017-12-14,14:00:00,281.85,282.0,260.98,260.98,698
2017-12-14,15:00:00,260.98,279.0,252.0,275.01,1360
2017-12-14,16:00:00,275.01,278.0,271.2,273.03,631
2017-12-14,17:00:00,273.03,278.7,265.99,265.99,228
2017-12-14,18:00:00,268.0,275.0,257.01,261.2,572
2017-12-14,19:00:00,257.6,270.0,257.5,263.99,335
2017-12-14,20:00:00,263.99,280.0,263.0,272.4,439
2017-12-14,21:00:00,273.8,273.8,265.0,265.3,259
2017-12-14,22:00:00,265.3,270.93,265.3,267.55,453
2017-12-14,23:00:00,266.5,272.4,264.01,272.4,377
2017-12-15,00:00:00,272.4,275.96,268.6,271.0,290
2017-12-15,01:00:00,271.0,273.09,255.5,259.6,643
2017-12-15,02:00:00,259.58,265.0,239.99,250.5,1153
2017-12-15,03:00:00,250.5,274.9,249.0,268.94,789
2017-12-15,04:00:00,269.2,280.18,265.0,265.01,666
2017-12-15,05:00:00,266.0,270.2,262.03,265.6,146
2017-12-15,06:00:00,265.6,275.0,264.02,268.6,239
2017-12-15,07:00:00,268.6,275.0,262.5,264.99,217
2017-12-15,08:00:00,264.99,272.0,262.54,265.56,236
2017-12-15,09:00:00,267.5,269.0,245.79,259.27,628
2017-12-15,10:00:00,259.0,260.3,241.0,257.2,1876
2017-12-15,11:00:00,257.3,261.99,257.12,260.03,104
