Date,Time,Open,High,Low,Close,Volume
2017-12-13,03:30:00,272.0,288.0,272.0,276.0,130
2017-12-13,04:00:00,276.0,284.1,269.99,270.0,350
2017-12-13,04:30:00,270.0,288.0,270.0,279.0,255
2017-12-13,05:00:00,279.0,320.0,279.0,287.0,220
2017-12-13,05:30:00,287.0,330.0,282.0,302.0,163
2017-12-13,06:00:00,302.0,302.0,291.0,291.0,97
2017-12-13,06:30:00,291.0,304.11,286.0,291.13,254
2017-12-13,07:00:00,291.13,296.0,285.0,285.0,149
2017-12-13,07:30:00,286.01,293.0,286.0,287.0,15
2017-12-13,08:00:00,287.0,290.0,282.0,282.0,81
2017-12-13,08:30:00,284.0,288.99,280.1,280.1,42
2017-12-13,09:00:00,280.1,288.96,278.0,279.5,52
2017-12-13,09:30:00,279.5,287.85,279.5,284.19,41
2017-12-13,10:00:00,284.19,287.4,279.5,279.5,150
2017-12-13,10:30:00,281.01,281.01,275.2,275.26,174
2017-12-13,11:00:00,275.26,286.98,270.26,278.0,90
2017-12-13,11:30:00,278.0,280.2,273.4,280.0,39
2017-12-13,12:00:00,280.0,296.0,280.0,293.0,317
2017-12-13,12:30:00,295.0,308.0,291.0,305.0,450
2017-12-13,13:00:00,305.0,325.0,305.0,315.0,513
2017-12-13,13:30:00,315.01,322.2,300.0,318.98,154
2017-12-13,14:00:00,318.98,318.98,301.51,309.0,365
2017-12-13,14:30:00,305.3,307.0,291.11,291.11,740
2017-12-13,15:00:00,292.0,307.89,292.0,298.0,380
2017-12-13,15:30:00,298.0,298.0,291.11,297.0,86
2017-12-13,16:00:00,294.07,297.88,292.6,294.11,67
2017-12-13,16:30:00,294.11,297.9,287.54,288.01,188
2017-12-13,17:00:00,288.01,289.99,272.7,281.0,344
2017-12-13,17:30:00,280.0,301.63,270.0,282.5,609
2017-12-13,18:00:00,280.0,284.0,260.0,260.07,486
2017-12-13,18:30:00,260.07,296.0,260.07,279.81,408
2017-12-13,19:00:00,279.81,294.0,268.89,287.51,273
2017-12-13,19:30:00,287.51,290.0,285.0,288.88,193
2017-12-13,20:00:00,288.88,288.88,280.05,282.02,337
2017-12-13,20:30:00,280.8,282.02,276.0,278.0,200
2017-12-13,21:00:00,278.0,289.59,277.0,286.75,269
2017-12-13,21:30:00,286.75,292.88,285.01,288.66,274
2017-12-13,22:00:00,292.88,301.0,288.66,294.0,173
2017-12-13,22:30:00,298.75,298.75,290.0,294.0,131
2017-12-13,23:00:00,293.97,307.89,290.0,290.0,161
2017-12-13,23:30:00,290.01,296.07,286.0,290.01,125
2017-12-14,00:00:00,290.01,294.0,283.99,290.03,67
2017-12-14,00:30:00,287.08,296.0,287.08,296.0,193
2017-12-14,01:00:00,296.0,298.0,292.12,295.0,82
2017-12-14,01:30:00,292.14,297.49,291.09,297.49,305
2017-12-14,02:00:00,297.49,299.0,291.18,294.5,274
2017-12-14,02:30:00,295.0,295.0,288.01,288.11,105
2017-12-14,03:00:00,288.11,295.0,288.11,292.57,7
2017-12-14,03:30:00,290.0,302.72,288.11,288.11,191
2017-12-14,04:00:00,288.11,294.99,288.11,291.52,163
2017-12-14,04:30:00,291.54,293.13,291.0,291.4,196
2017-12-14,05:00:00,291.4,295.0,287.25,287.25,244
