Date,Time,Open,High,Low,Close,Volume
2017-11-20,00:00:00,36.0,46.0,34.7,35.582,30342
2017-11-21,00:00:00,35.582,37.499,33.5,35.0,28677
2017-11-22,00:00:00,35.0,37.3,34.5,35.005,6939
2017-11-23,00:00:00,35.01,36.9,34.0,34.69,10110
2017-11-24,00:00:00,34.69,36.101,33.09,34.5,8078
2017-11-25,00:00:00,34.5,39.928000000000004,34.0,37.830999999999996,24200
2017-11-26,00:00:00,37.830999999999996,38.9,37.1,37.81,10491
2017-11-27,00:00:00,37.734,41.71,37.5,39.102,13232
2017-11-28,00:00:00,39.92,40.52,37.25,37.611,15189
2017-11-29,00:00:00,37.8,39.303000000000004,30.545,32.482,121051
2017-11-30,00:00:00,32.649,35.224000000000004,29.104,32.438,164844
2017-12-01,00:00:00,32.38,36.359,30.209,35.343,202687
2017-12-02,00:00:00,35.452,36.586,34.0,35.046,133566
2017-12-03,00:00:00,35.038000000000004,39.5,34.81,36.589,166575
2017-12-04,00:00:00,36.667,43.18600000000001,36.576,41.808,190481
2017-12-05,00:00:00,41.951,42.287,38.661,38.661,156520
2017-12-06,00:00:00,38.661,38.991,33.382,34.634,170201
2017-12-07,00:00:00,34.85,37.0,31.737,33.215,172820
2017-12-08,00:00:00,33.216,37.012,31.3,35.594,198595
2017-12-09,00:00:00,35.605,38.196999999999996,32.902,35.097,163032
2017-12-10,00:00:00,35.131,35.219,31.0,32.598,186122
2017-12-11,00:00:00,32.609,36.457,32.609,35.777,178419
2017-12-12,00:00:00,35.753,39.8,34.95,38.836,226390
2017-12-13,00:00:00,38.836,48.0,34.55,43.906000000000006,294829
2017-12-14,00:00:00,44.28,52.9,43.0,50.273,172532
2017-12-15,00:00:00,50.273,51.0,41.25,47.833,98502
2017-12-16,00:00:00,47.978,51.748999999999995,46.45,49.11600000000001,78471
2017-12-17,00:00:00,49.11,74.998,48.826,67.187,220183
2017-12-18,00:00:00,67.187,81.47399999999999,60.0,77.038,153215
2017-12-19,00:00:00,77.204,83.8,63.21,69.75,189528
2017-12-20,00:00:00,69.59,80.0,56.0,76.87899999999999,202837
2017-12-21,00:00:00,76.49,81.5,62.22,70.75,146532
2017-12-22,00:00:00,70.506,71.685,42.0,55.365,364115
2017-12-23,00:00:00,55.364,66.0,53.975,56.497,159410
2017-12-24,00:00:00,55.222,58.498000000000005,48.65,58.34,142864
2017-12-25,00:00:00,58.34,67.99,55.946999999999996,65.476,90735
2017-12-26,00:00:00,65.5,67.738,61.08,65.23100000000001,88894
2017-12-27,00:00:00,65.51,70.1,61.0,66.3,97680
2017-12-28,00:00:00,66.29899999999999,66.922,56.0,64.48,125190
2017-12-29,00:00:00,64.279,74.93,62.73,73.133,104557
2017-12-30,00:00:00,73.333,74.244,60.0,70.783,149332
2017-12-31,00:00:00,71.193,77.774,66.0,74.85300000000001,124362
2018-01-01,00:00:00,74.854,80.0,71.05,78.29899999999999,81411
2018-01-02,00:00:00,78.255,96.99700000000001,78.24600000000001,89.696,200642
2018-01-03,00:00:00,89.6,104.885,85.3,103.505,157777
2018-01-04,00:00:00,103.506,108.88,94.5,97.669,112336
2018-01-05,00:00:00,97.669,106.99700000000001,88.0,95.134,136754
2018-01-06,00:00:00,95.135,102.869,90.39200000000001,100.491,67541
2018-01-07,00:00:00,100.09200000000001,109.0,97.0,103.096,51435
2018-01-08,00:00:00,102.59899999999999,108.899,82.5,101.361,96541
2018-01-09,00:00:00,101.262,131.0,100.87899999999999,126.7,163943
2018-01-10,00:00:00,126.911,127.88600000000001,106.331,122.23899999999999,217513
2018-01-11,00:00:00,122.87100000000001,125.0,91.1,107.70100000000001,172426
2018-01-12,00:00:00,107.70100000000001,126.09899999999999,101.49,123.111,84911
2018-01-13,00:00:00,123.111,149.98,119.0,139.77700000000002,114714
2018-01-14,00:00:00,139.012,186.0,132.0,170.0,241962
2018-01-15,00:00:00,170.0,198.6,143.39,189.382,404036
2018-01-16,00:00:00,189.382,190.7,88.88799999999999,137.502,1191407
2018-01-17,00:00:00,137.502,156.19,91.34,142.0,1578232
2018-01-18,00:00:00,142.0,159.22299999999998,127.0,139.501,780008
2018-01-19,00:00:00,138.657,148.25,126.31,139.523,420299
2018-01-20,00:00:00,139.523,157.26,137.579,149.999,319117
2018-01-21,00:00:00,150.287,151.0,124.0,132.589,301735
2018-01-22,00:00:00,132.899,139.0,110.85,123.314,315449
2018-01-23,00:00:00,123.34700000000001,131.0,108.5,122.77,288073
2018-01-24,00:00:00,122.77,147.0,116.8,138.0,365376
2018-01-25,00:00:00,138.0,148.329,135.07,138.024,218161
2018-01-26,00:00:00,138.023,141.5,123.79,137.621,252032
2018-01-27,00:00:00,137.7,143.0,134.268,141.959,110428
2018-01-28,00:00:00,141.959,156.0,141.0,154.101,165493
2018-01-29,00:00:00,154.1,169.2,148.7,168.28900000000002,283531
2018-01-30,00:00:00,168.287,169.99900000000002,136.45,146.185,440562
2018-01-31,00:00:00,146.185,147.9,132.901,146.488,243709
2018-02-01,00:00:00,146.101,147.6,112.78,126.5,397262
2018-02-02,00:00:00,126.5,132.03,93.94,121.155,763993
2018-02-03,00:00:00,121.155,129.93,108.05,124.601,346512
2018-02-04,00:00:00,124.601,125.0,100.64,107.025,355973
2018-02-05,00:00:00,107.025,109.85,73.626,82.13600000000001,969744
2018-02-06,00:00:00,82.137,110.21,64.3,103.53399999999999,1649845
2018-02-07,00:00:00,103.535,119.5,93.0,102.337,1153333
2018-02-08,00:00:00,102.00299999999999,111.0,101.302,109.2,36451
2018-02-09,00:00:00,109.32,116.0,109.32,114.52,310399
2018-02-10,00:00:00,114.572,119.79,100.301,107.3,484147
2018-02-11,00:00:00,107.3,111.84,93.1,101.70700000000001,558336
2018-02-12,00:00:00,101.661,115.12,101.661,111.89,491482
2018-02-13,00:00:00,111.897,113.0,106.22200000000001,108.5,249026
2018-02-14,00:00:00,108.384,123.0,108.23,122.001,363358
2018-02-15,00:00:00,121.92299999999999,124.5,116.1,121.00299999999999,361031
2018-02-16,00:00:00,121.00299999999999,129.45,117.601,127.415,267448
2018-02-17,00:00:00,127.415,138.76,127.03,134.999,297993
2018-02-18,00:00:00,134.999,136.878,120.74799999999999,125.12100000000001,299278
2018-02-19,00:00:00,125.13799999999999,137.56,123.70200000000001,136.391,235288
2018-02-20,00:00:00,136.391,140.849,123.8,124.66,300979
2018-02-21,00:00:00,124.661,128.55100000000002,114.321,117.697,416877
2018-02-22,00:00:00,117.69,125.85,109.001,111.478,415629
2018-02-23,00:00:00,111.478,122.6,108.12,118.336,368180
2018-02-24,00:00:00,118.51899999999999,123.999,110.521,115.25,282959
2018-02-25,00:00:00,115.2,118.0,112.11,116.789,161241
2018-02-26,00:00:00,116.8,136.9,115.4,134.40200000000002,467939
2018-02-27,00:00:00,134.4,145.0,130.1,139.856,509343
2018-02-28,00:00:00,140.29,143.995,129.5,131.7,366472
2018-03-01,00:00:00,131.623,135.499,124.8,128.555,358987
2018-03-02,00:00:00,128.593,130.2,121.59700000000001,123.58,171374
2018-03-03,00:00:00,123.57,128.5,120.6,121.37899999999999,168554
2018-03-04,00:00:00,121.38,125.0,115.3,119.3,227594
2018-03-05,00:00:00,119.322,119.85,111.01299999999999,111.18299999999999,223296
2018-03-06,00:00:00,111.17,114.848,101.65,104.35700000000001,404722
2018-03-07,00:00:00,104.40899999999999,114.0,86.59,100.1,779626
2018-03-08,00:00:00,100.07,102.116,89.01,90.402,442049
2018-03-09,00:00:00,90.52,93.6,79.4,91.64,703642
2018-03-10,00:00:00,91.64,93.8,84.07,84.73,373435
2018-03-11,00:00:00,84.61,92.0,81.111,90.445,333691
2018-03-12,00:00:00,90.445,92.7,83.0,85.25,290121
2018-03-13,00:00:00,85.25,88.25,80.9,83.0,313261
2018-03-14,00:00:00,82.985,84.7,68.0,71.2,447131
2018-03-15,00:00:00,71.2,72.85,64.664,69.06,647759
2018-03-16,00:00:00,69.0,71.7,65.5,67.288,400000
2018-03-17,00:00:00,67.288,68.94,60.02,60.2,346708
2018-03-18,00:00:00,60.2,68.32,48.78,65.2,1390876
2018-03-19,00:00:00,65.2,73.39399999999999,62.226000000000006,72.53,1141470
2018-03-20,00:00:00,72.485,79.8,66.4,75.71300000000001,932106
2018-03-21,00:00:00,75.71300000000001,77.9,70.5,72.58,742100
2018-03-22,00:00:00,72.517,75.01899999999999,66.001,69.289,665550
2018-03-23,00:00:00,69.209,69.411,63.35,68.847,577187
2018-03-24,00:00:00,68.867,70.2,65.01,65.225,389734
2018-03-25,00:00:00,65.225,67.497,63.38,65.521,287118
2018-03-26,00:00:00,65.645,66.2,55.132,58.879,641822
2018-03-27,00:00:00,58.879,60.55,51.867,55.365,688834
2018-03-28,00:00:00,55.365,60.01,54.865,57.165,320351
2018-03-29,00:00:00,57.106,57.34,51.08,51.606,658039
2018-03-30,00:00:00,51.678000000000004,53.998000000000005,48.8,50.29600000000001,787045
2018-03-31,00:00:00,50.27,52.988,49.6,49.918,387569
2018-04-01,00:00:00,49.918,50.549,44.691,47.25,418495
2018-04-02,00:00:00,47.324,50.5,46.5,48.816,321028
2018-04-03,00:00:00,48.798,53.998999999999995,48.4,53.273,428284
2018-04-04,00:00:00,53.273,53.449,46.326,47.537,425901
2018-04-05,00:00:00,47.537,48.32,45.5,46.95399999999999,298190
2018-04-06,00:00:00,46.982,47.479,44.1,44.748000000000005,189649
2018-04-07,00:00:00,44.748000000000005,47.981,44.62,46.592,219646
2018-04-08,00:00:00,46.592,49.4,46.379,49.37,162289
2018-04-09,00:00:00,49.318999999999996,57.375,48.9,53.02,1025335
2018-04-10,00:00:00,53.041000000000004,53.286,49.199,52.733999999999995,364257
2018-04-11,00:00:00,52.693999999999996,59.6,52.336999999999996,58.293,578614
2018-04-12,00:00:00,58.315,67.408,54.32,67.15,1071889
2018-04-13,00:00:00,67.089,68.59,61.25,62.269,750766
2018-04-14,00:00:00,62.431000000000004,65.87,61.5,64.179,393477
2018-04-15,00:00:00,64.125,70.875,64.0,70.617,424476
2018-04-16,00:00:00,70.536,71.5,64.0,66.801,512701
2018-04-17,00:00:00,66.89699999999999,70.3,65.25,65.66,330085
2018-04-18,00:00:00,65.63,73.8,65.531,72.91,341104
2018-04-19,00:00:00,72.90899999999999,75.125,70.5,73.949,356586
2018-04-20,00:00:00,73.952,79.758,71.80199999999999,79.14,486616
2018-04-21,00:00:00,79.13,79.75,70.26,74.748,568751
2018-04-22,00:00:00,74.748,77.41,72.699,73.615,295209
2018-04-23,00:00:00,73.615,78.039,73.321,76.2,242499
2018-04-24,00:00:00,76.122,84.62799999999999,76.107,82.412,504812
2018-04-25,00:00:00,82.412,82.915,68.211,71.54899999999999,845252
2018-04-26,00:00:00,71.54899999999999,77.49,69.5,76.87899999999999,357513
2018-04-27,00:00:00,76.87899999999999,77.41,71.997,72.318,306967
2018-04-28,00:00:00,72.3,78.277,71.92,76.613,267303
2018-04-29,00:00:00,76.45100000000001,92.493,75.5,90.6,770630
2018-04-30,00:00:00,90.552,94.249,82.05,84.0,580543
2018-05-01,00:00:00,83.895,85.257,77.812,84.104,419931
2018-05-02,00:00:00,84.104,85.434,82.16799999999999,84.801,198956
2018-05-03,00:00:00,84.889,90.0,83.111,87.70700000000001,381022
2018-05-04,00:00:00,87.661,87.661,82.137,84.205,250032
2018-05-05,00:00:00,84.181,86.5,83.876,84.5,160495
2018-05-06,00:00:00,84.59100000000001,88.45,79.888,83.766,314776
2018-05-07,00:00:00,83.68,83.854,76.1,79.12899999999999,309166
2018-05-08,00:00:00,79.186,81.75,75.38600000000001,76.85300000000001,191764
2018-05-09,00:00:00,76.82600000000001,77.27199999999999,72.333,76.158,166126
2018-05-10,00:00:00,76.157,76.831,69.54,69.638,184251
2018-05-11,00:00:00,69.65,70.41,60.69,63.428999999999995,442346
2018-05-12,00:00:00,63.41,67.68,58.32,64.559,366911
2018-05-13,00:00:00,64.6,69.4,62.51,67.34,240380
2018-05-14,00:00:00,67.37100000000001,69.09,62.58,66.043,293071
2018-05-15,00:00:00,66.043,69.0,61.886,62.85,183748
2018-05-16,00:00:00,62.84,63.29,59.11,61.723,199291
2018-05-17,00:00:00,61.74,63.9,56.614,57.5,211913
2018-05-18,00:00:00,57.47,60.59,56.463,59.69,216582
2018-05-19,00:00:00,59.69,60.751000000000005,57.872,59.09,130400
2018-05-20,00:00:00,58.98,64.248,58.4,63.703,178289
2018-05-21,00:00:00,63.703,66.45,60.0,62.133,261151
2018-05-22,00:00:00,62.133,62.4,56.555,56.854,189272
2018-05-23,00:00:00,56.876999999999995,57.758,51.1,51.65,313690
2018-05-24,00:00:00,51.711000000000006,55.28,49.8,55.15,231980
2018-05-25,00:00:00,55.2,56.391999999999996,51.7,52.726000000000006,194508
2018-05-26,00:00:00,52.795,54.5,51.5,52.14,119885
2018-05-27,00:00:00,52.15,52.992,50.91,52.93,86495
2018-05-28,00:00:00,52.926,52.93,47.5,47.65,161625
2018-05-29,00:00:00,47.69,53.88,47.18,52.093999999999994,232246
2018-05-30,00:00:00,52.21,53.53,50.111000000000004,51.461999999999996,171433
2018-05-31,00:00:00,51.451,54.5,50.726000000000006,53.012,166583
2018-06-01,00:00:00,53.0,56.312,52.8,55.5,177564
2018-06-02,00:00:00,55.5,57.489,54.6,56.792,181750
2018-06-03,00:00:00,56.733000000000004,58.3,55.419,56.388999999999996,161466
2018-06-04,00:00:00,56.333999999999996,57.25,52.1,53.398999999999994,189772
2018-06-05,00:00:00,53.398999999999994,54.97,51.658,54.511,154175
2018-06-06,00:00:00,54.538999999999994,54.8,52.369,53.708999999999996,106177
2018-06-07,00:00:00,53.75,54.99,52.786,53.516999999999996,74195
2018-06-08,00:00:00,53.463,53.826,51.68,52.195,73674
2018-06-09,00:00:00,52.193000000000005,53.32,50.54,50.799,88932
2018-06-10,00:00:00,50.8,50.8,44.016000000000005,45.324,257642
2018-06-11,00:00:00,45.278,45.92,42.381,45.593,170488
2018-06-12,00:00:00,45.53,46.648999999999994,40.25,41.17,213433
2018-06-13,00:00:00,41.07,41.681000000000004,35.72,37.885,341126
2018-06-14,00:00:00,37.883,41.88,37.501,40.656,394357
2018-06-15,00:00:00,40.656,40.8,37.688,37.82,180421
2018-06-16,00:00:00,37.84,38.571999999999996,36.2,37.96,149481
2018-06-17,00:00:00,37.997,39.72,37.4,38.56,130228
2018-06-18,00:00:00,38.56,40.86,36.828,39.51,182824
2018-06-19,00:00:00,39.51,41.45,38.9,39.85,151778
2018-06-20,00:00:00,39.836,40.016999999999996,37.74,38.866,145678
2018-06-21,00:00:00,38.875,39.59,37.241,37.623000000000005,141424
2018-06-22,00:00:00,37.61,37.734,32.05,32.91,321861
2018-06-23,00:00:00,32.91,34.828,32.66,33.847,176256
2018-06-24,00:00:00,33.847,34.1,28.634,31.08,415801
2018-06-25,00:00:00,31.06,32.79,30.56,31.56,229634
