Date,Time,Type,Price,Volume
2018-08-09,08:20:12,a,6308.0,0.257845
2018-08-09,08:20:12,a,6308.12,0.087256
2018-08-09,08:20:12,a,6309.62,0.29740900000000003
2018-08-09,08:20:12,a,6311.88,0.03
2018-08-09,08:20:12,a,6311.89,0.28451
2018-08-09,08:20:12,a,6311.99,0.067425
2018-08-09,08:20:12,a,6312.0,0.082892
2018-08-09,08:20:12,a,6312.13,0.5
2018-08-09,08:20:12,a,6312.2,0.867118
2018-08-09,08:20:12,a,6313.0,0.020079
2018-08-09,08:20:12,a,6313.82,0.5
2018-08-09,08:20:12,a,6315.3,0.014671
2018-08-09,08:20:12,a,6315.46,2.3
2018-08-09,08:20:12,a,6315.51,0.257778
2018-08-09,08:20:12,a,6316.69,0.19701
2018-08-09,08:20:12,a,6316.92,1.2
2018-08-09,08:20:12,a,6318.62,2.0
2018-08-09,08:20:12,a,6318.74,0.1109
2018-08-09,08:20:12,a,6320.0,0.923409
2018-08-09,08:20:12,a,6320.04,0.014721000000000001
2018-08-09,08:20:12,a,6320.1,0.5
2018-08-09,08:20:12,a,6320.3,4.751863
2018-08-09,08:20:12,a,6320.48,0.001583
2018-08-09,08:20:12,a,6320.61,0.014661000000000002
2018-08-09,08:20:12,a,6321.0,0.006575
2018-08-09,08:20:12,a,6321.13,0.257756
2018-08-09,08:20:12,a,6321.41,1.014717
2018-08-09,08:20:12,a,6321.54,0.05
2018-08-09,08:20:12,a,6321.89,0.035
2018-08-09,08:20:12,a,6322.0,0.07545
2018-08-09,08:20:12,a,6322.5,0.055
2018-08-09,08:20:12,a,6322.51,0.0016640000000000001
2018-08-09,08:20:12,a,6322.57,0.001583
2018-08-09,08:20:12,a,6323.81,0.011000000000000001
2018-08-09,08:20:12,a,6324.03,0.980988
2018-08-09,08:20:12,a,6324.36,0.685949
2018-08-09,08:20:12,a,6324.71,4.0
2018-08-09,08:20:12,a,6325.0,0.00625
2018-08-09,08:20:12,a,6325.7,3.0
2018-08-09,08:20:12,a,6325.71,0.014713
2018-08-09,08:20:12,a,6325.73,0.268474
2018-08-09,08:20:12,a,6326.96,0.1
2018-08-09,08:20:12,a,6327.13,1.5
2018-08-09,08:20:12,a,6327.33,0.001582
2018-08-09,08:20:12,a,6327.92,0.001582
2018-08-09,08:20:12,a,6329.01,5.591903
2018-08-09,08:20:12,a,6330.0,0.667977
2018-08-09,08:20:12,a,6330.66,0.002054
2018-08-09,08:20:12,a,6330.67,0.00158
2018-08-09,08:20:12,a,6330.68,0.012921
2018-08-09,08:20:12,a,6331.48,0.015795
2018-08-09,08:20:12,a,6332.0,5.0
