Date,Time,Open,High,Low,Close,Volume
2018-12-17,00:00:00,2e-05,2e-05,1e-06,9.2e-06,3534425
2018-12-18,00:00:00,9.2e-06,9.42e-06,9.11e-06,9.38e-06,6892151
2018-12-19,00:00:00,9.38e-06,9.82e-06,9.28e-06,9.33e-06,8646458
2018-12-20,00:00:00,9.33e-06,9.89e-06,9.06e-06,9.63e-06,8868457
2018-12-21,00:00:00,9.63e-06,1.104e-05,9.6e-06,1.062e-05,15172153
2018-12-22,00:00:00,1.062e-05,1.075e-05,1e-05,1.074e-05,7174099
2018-12-23,00:00:00,1.074e-05,1.139e-05,1.057e-05,1.122e-05,10077432
2018-12-24,00:00:00,1.122e-05,1.19e-05,1.1e-05,1.123e-05,14069272
2018-12-25,00:00:00,1.123e-05,1.122e-05,9.99e-06,1.076e-05,12061039
2018-12-26,00:00:00,1.076e-05,1.129e-05,1.027e-05,1.069e-05,14364714
2018-12-27,00:00:00,1.069e-05,1.075e-05,9.85e-06,1.02e-05,12353640
2018-12-28,00:00:00,1.02e-05,1.101e-05,9.87e-06,1.084e-05,75560980
2018-12-29,00:00:00,1.084e-05,1.159e-05,1.078e-05,1.113e-05,104732319
2018-12-30,00:00:00,1.113e-05,1.144e-05,1.087e-05,1.137e-05,64388850
2018-12-31,00:00:00,1.137e-05,1.137e-05,1.091e-05,1.101e-05,53084482
2019-01-01,00:00:00,1.101e-05,1.128e-05,1.088e-05,1.118e-05,34043423
2019-01-02,00:00:00,1.118e-05,1.179e-05,1.113e-05,1.164e-05,73470789
2019-01-03,00:00:00,1.164e-05,1.168e-05,1.124e-05,1.127e-05,51028809
2019-01-04,00:00:00,1.127e-05,1.162e-05,1.127e-05,1.155e-05,39238755
2019-01-05,00:00:00,1.155e-05,1.204e-05,1.141e-05,1.185e-05,119970050
2019-01-06,00:00:00,1.185e-05,1.26e-05,1.184e-05,1.232e-05,159765902
2019-01-07,00:00:00,1.232e-05,1.268e-05,1.204e-05,1.211e-05,108618790
2019-01-08,00:00:00,1.211e-05,1.244e-05,1.188e-05,1.223e-05,107443912
2019-01-09,00:00:00,1.223e-05,1.322e-05,1.222e-05,1.307e-05,254223298
2019-01-10,00:00:00,1.307e-05,1.357e-05,1.18e-05,1.225e-05,342092745
2019-01-11,00:00:00,1.225e-05,1.233e-05,1.184e-05,1.211e-05,129243935
2019-01-12,00:00:00,1.211e-05,1.217e-05,1.188e-05,1.2e-05,73683508
2019-01-13,00:00:00,1.2e-05,1.205e-05,1.131e-05,1.142e-05,82763722
2019-01-14,00:00:00,1.142e-05,1.213e-05,1.14e-05,1.203e-05,117495224
2019-01-15,00:00:00,1.203e-05,1.213e-05,1.154e-05,1.184e-05,106761307
2019-01-16,00:00:00,1.184e-05,1.246e-05,1.178e-05,1.229e-05,129859997
2019-01-17,00:00:00,1.229e-05,1.274e-05,1.226e-05,1.247e-05,160212042
2019-01-18,00:00:00,1.247e-05,1.248e-05,1.22e-05,1.225e-05,82564904
2019-01-19,00:00:00,1.225e-05,1.254e-05,1.203e-05,1.234e-05,86027043
2019-01-20,00:00:00,1.234e-05,1.242e-05,1.179e-05,1.214e-05,125489103
2019-01-21,00:00:00,1.214e-05,1.223e-05,1.199e-05,1.211e-05,46934731
2019-01-22,00:00:00,1.211e-05,1.237e-05,1.195e-05,1.227e-05,93459812
2019-01-23,00:00:00,1.227e-05,1.241e-05,1.206e-05,1.211e-05,79024174
2019-01-24,00:00:00,1.211e-05,1.22e-05,1.204e-05,1.216e-05,44126302
2019-01-25,00:00:00,1.216e-05,1.216e-05,1.202e-05,1.205e-05,32214632
2019-01-26,00:00:00,1.205e-05,1.213e-05,1.202e-05,1.204e-05,33827694
2019-01-27,00:00:00,1.204e-05,1.205e-05,1.157e-05,1.159e-05,93612047
2019-01-28,00:00:00,1.159e-05,1.165e-05,1.092e-05,1.12e-05,105920129
2019-01-29,00:00:00,1.12e-05,1.142e-05,1.095e-05,1.12e-05,74192480
2019-01-30,00:00:00,1.12e-05,1.155e-05,1.108e-05,1.145e-05,69231120
2019-01-31,00:00:00,1.145e-05,1.157e-05,1.101e-05,1.114e-05,82832501
2019-02-01,00:00:00,1.114e-05,1.13e-05,1.088e-05,1.12e-05,63466080
2019-02-02,00:00:00,1.12e-05,1.13e-05,1.11e-05,1.128e-05,33043846
2019-02-03,00:00:00,1.128e-05,1.129e-05,1.103e-05,1.109e-05,29819041
2019-02-04,00:00:00,1.109e-05,1.123e-05,1.103e-05,1.105e-05,33936508
2019-02-05,00:00:00,1.105e-05,1.116e-05,1.096e-05,1.105e-05,39843385
2019-02-06,00:00:00,1.105e-05,1.106e-05,1.061e-05,1.081e-05,88029936
2019-02-07,00:00:00,1.081e-05,1.091e-05,1.074e-05,1.076e-05,36263916
2019-02-08,00:00:00,1.076e-05,1.15e-05,1.071e-05,1.133e-05,159566906
2019-02-09,00:00:00,1.133e-05,1.169e-05,1.129e-05,1.144e-05,77476800
2019-02-10,00:00:00,1.144e-05,1.19e-05,1.127e-05,1.183e-05,133633036
2019-02-11,00:00:00,1.183e-05,1.185e-05,1.154e-05,1.161e-05,75066439
2019-02-12,00:00:00,1.161e-05,1.168e-05,1.135e-05,1.164e-05,76183026
2019-02-13,00:00:00,1.164e-05,1.174e-05,1.15e-05,1.153e-05,56548292
2019-02-14,00:00:00,1.153e-05,1.157e-05,1.132e-05,1.14e-05,58775945
2019-02-15,00:00:00,1.14e-05,1.155e-05,1.128e-05,1.138e-05,61494508
2019-02-16,00:00:00,1.138e-05,1.154e-05,1.137e-05,1.148e-05,37324624
2019-02-17,00:00:00,1.148e-05,1.162e-05,1.135e-05,1.148e-05,60976531
2019-02-18,00:00:00,1.148e-05,1.223e-05,1.143e-05,1.193e-05,219840347
2019-02-19,00:00:00,1.193e-05,1.248e-05,1.182e-05,1.192e-05,238824851
2019-02-20,00:00:00,1.192e-05,1.221e-05,1.165e-05,1.217e-05,133154476
2019-02-21,00:00:00,1.217e-05,1.217e-05,1.106e-05,1.156e-05,196645045
2019-02-22,00:00:00,1.156e-05,1.167e-05,1.14e-05,1.163e-05,76804814
2019-02-23,00:00:00,1.163e-05,1.2e-05,1.158e-05,1.193e-05,118188702
2019-02-24,00:00:00,1.193e-05,1.218e-05,1.096e-05,1.12e-05,188776477
2019-02-25,00:00:00,1.12e-05,1.153e-05,1.116e-05,1.142e-05,57762627
2019-02-26,00:00:00,1.142e-05,1.142e-05,1.122e-05,1.133e-05,31614291
2019-02-27,00:00:00,1.133e-05,1.145e-05,1.124e-05,1.138e-05,64324641
2019-02-28,00:00:00,1.138e-05,1.144e-05,1.125e-05,1.13e-05,34702624
2019-03-01,00:00:00,1.13e-05,1.148e-05,1.126e-05,1.136e-05,43260709
2019-03-02,00:00:00,1.136e-05,1.142e-05,1.116e-05,1.119e-05,46132439
2019-03-03,00:00:00,1.119e-05,1.127e-05,1.11e-05,1.114e-05,36253358
2019-03-04,00:00:00,1.114e-05,1.115e-05,1.06e-05,1.088e-05,89188551
2019-03-05,00:00:00,1.088e-05,1.128e-05,1.081e-05,1.12e-05,70381723
2019-03-06,00:00:00,1.12e-05,1.126e-05,1.103e-05,1.113e-05,64423217
2019-03-07,00:00:00,1.113e-05,1.127e-05,1.095e-05,1.114e-05,50198598
2019-03-08,00:00:00,1.114e-05,1.121e-05,1.1e-05,1.106e-05,43080609
2019-03-09,00:00:00,1.106e-05,1.203e-05,1.105e-05,1.187e-05,199429642
2019-03-10,00:00:00,1.187e-05,1.187e-05,1.152e-05,1.173e-05,112213176
2019-03-11,00:00:00,1.173e-05,1.265e-05,1.163e-05,1.234e-05,366986542
2019-03-12,00:00:00,1.234e-05,1.236e-05,1.205e-05,1.206e-05,56412995
2019-03-13,00:00:00,1.224e-05,1.258e-05,1.195e-05,1.206e-05,202260794
2019-03-14,00:00:00,1.206e-05,1.209e-05,1.203e-05,1.209e-05,3790253
2019-03-15,00:00:00,1.233e-05,1.282e-05,1.23e-05,1.268e-05,244766149
2019-03-16,00:00:00,1.268e-05,1.305e-05,1.24e-05,1.284e-05,217765956
2019-03-17,00:00:00,1.284e-05,1.285e-05,1.25e-05,1.26e-05,84175366
2019-03-18,00:00:00,1.26e-05,1.274e-05,1.245e-05,1.258e-05,97116740
2019-03-19,00:00:00,1.258e-05,1.263e-05,1.25e-05,1.253e-05,4397534
2019-03-20,00:00:00,1.292e-05,1.334e-05,1.28e-05,1.323e-05,206165418
2019-03-21,00:00:00,1.323e-05,1.348e-05,1.308e-05,1.337e-05,61549306
