Date,Time,Open,High,Low,Close,Volume
2018-12-17,00:00:00,0.0236,0.0258,0.0236,0.025,3958
2018-12-18,00:00:00,0.025,0.029,0.0245,0.0283,10060
2018-12-19,00:00:00,0.0283,0.0368,0.0276,0.0333,19807
2018-12-20,00:00:00,0.0333,0.0465,0.0325,0.0446,31411
2018-12-21,00:00:00,0.0446,0.0545,0.0414,0.047,33737
2018-12-22,00:00:00,0.047,0.0504,0.0451,0.0481,10742
2018-12-23,00:00:00,0.0481,0.0517,0.0463,0.0487,10240
2018-12-24,00:00:00,0.0487,0.0509,0.0388,0.0436,18666
2018-12-25,00:00:00,0.0436,0.0458,0.0396,0.044,12369
2018-12-26,00:00:00,0.044,0.0481,0.0424,0.0451,11839
2018-12-27,00:00:00,0.0451,0.0456,0.0396,0.04,13562
2018-12-28,00:00:00,0.04,0.0452,0.038,0.0438,75439
2018-12-29,00:00:00,0.0438,0.0446,0.0417,0.0425,43153
2018-12-30,00:00:00,0.0425,0.043,0.0413,0.0421,23075
2018-12-31,00:00:00,0.0421,0.0421,0.0388,0.0396,25199
2019-01-01,00:00:00,0.0396,0.0438,0.0393,0.0425,56730
2019-01-02,00:00:00,0.0425,0.0449,0.0419,0.044,52392
2019-01-03,00:00:00,0.044,0.0452,0.0418,0.0422,47054
2019-01-04,00:00:00,0.0422,0.0428,0.0402,0.0418,47749
2019-01-05,00:00:00,0.0418,0.0432,0.041,0.0419,52912
2019-01-06,00:00:00,0.0419,0.0421,0.0412,0.0415,50182
2019-01-07,00:00:00,0.0415,0.0417,0.0389,0.0403,64380
2019-01-08,00:00:00,0.0403,0.0405,0.0395,0.0404,29411
2019-01-09,00:00:00,0.0404,0.0404,0.0395,0.04,29115
2019-01-10,00:00:00,0.04,0.0412,0.034,0.036,155723
2019-01-11,00:00:00,0.036,0.0362,0.0343,0.0349,53177
2019-01-12,00:00:00,0.0349,0.0368,0.0349,0.036,60071
2019-01-13,00:00:00,0.036,0.0362,0.0341,0.0346,30728
2019-01-14,00:00:00,0.0346,0.0389,0.0342,0.0364,88667
2019-01-15,00:00:00,0.0364,0.0365,0.0349,0.0355,38255
2019-01-16,00:00:00,0.0355,0.0359,0.0352,0.0356,20472
2019-01-17,00:00:00,0.0356,0.0368,0.0352,0.0359,30449
2019-01-18,00:00:00,0.0359,0.036,0.0349,0.0353,22243
