Date,Time,Open,High,Low,Close,Volume
2018-12-17,04:00:00,0.0236,0.0253,0.0236,0.0236,15
2018-12-17,05:00:00,0.0236,0.0242,0.0237,0.0242,45
2018-12-17,06:00:00,0.0242,0.0244,0.024,0.0243,100
2018-12-17,07:00:00,0.0243,0.0249,0.0242,0.0244,373
2018-12-17,08:00:00,0.0244,0.0247,0.0245,0.0245,217
2018-12-17,09:00:00,0.0245,0.0248,0.0247,0.0248,407
2018-12-17,10:00:00,0.0248,0.0248,0.0245,0.0246,180
2018-12-17,11:00:00,0.0246,0.0246,0.0244,0.0245,249
2018-12-17,12:00:00,0.0245,0.0258,0.0244,0.0251,1266
2018-12-17,13:00:00,0.0251,0.0251,0.0249,0.0249,68
2018-12-17,14:00:00,0.0249,0.025,0.0245,0.0249,241
2018-12-17,15:00:00,0.0249,0.0252,0.025,0.0252,108
2018-12-17,16:00:00,0.0252,0.0257,0.025,0.0253,191
2018-12-17,17:00:00,0.0253,0.0256,0.0253,0.0253,48
2018-12-17,18:00:00,0.0253,0.0252,0.025,0.0251,26
2018-12-17,19:00:00,0.0251,0.0254,0.0249,0.0254,113
2018-12-17,20:00:00,0.0254,0.0255,0.0251,0.0255,47
2018-12-17,21:00:00,0.0255,0.0254,0.0248,0.025,207
2018-12-17,22:00:00,0.025,0.0252,0.0249,0.0251,31
2018-12-17,23:00:00,0.0251,0.0251,0.0249,0.025,26
2018-12-18,00:00:00,0.025,0.0254,0.0251,0.0252,318
2018-12-18,01:00:00,0.0252,0.0252,0.0251,0.0251,6
2018-12-18,02:00:00,0.0251,0.0251,0.0251,0.0251,0
2018-12-18,03:00:00,0.0251,0.0254,0.025,0.0252,374
2018-12-18,04:00:00,0.0252,0.0253,0.0252,0.0252,10
2018-12-18,05:00:00,0.0252,0.0252,0.0251,0.0252,36
2018-12-18,06:00:00,0.0252,0.0253,0.0253,0.0253,1
2018-12-18,07:00:00,0.0253,0.0253,0.025,0.0253,177
2018-12-18,08:00:00,0.0253,0.0253,0.0249,0.0249,800
2018-12-18,09:00:00,0.0249,0.0249,0.0246,0.0246,271
2018-12-18,10:00:00,0.0246,0.0247,0.0247,0.0247,94
2018-12-18,11:00:00,0.0247,0.0247,0.0246,0.0247,154
2018-12-18,12:00:00,0.0247,0.0248,0.0246,0.0246,241
2018-12-18,13:00:00,0.0246,0.0249,0.0245,0.0249,436
2018-12-18,14:00:00,0.0249,0.0251,0.0248,0.025,299
2018-12-18,15:00:00,0.025,0.0266,0.0248,0.0259,1112
2018-12-18,16:00:00,0.0259,0.0287,0.0259,0.0287,1921
2018-12-18,17:00:00,0.0287,0.029,0.0262,0.0282,915
2018-12-18,18:00:00,0.0282,0.0283,0.0277,0.0278,1474
2018-12-18,19:00:00,0.0278,0.0283,0.0275,0.0279,392
2018-12-18,20:00:00,0.0279,0.0281,0.0274,0.0275,237
2018-12-18,21:00:00,0.0275,0.0283,0.0275,0.028,228
2018-12-18,22:00:00,0.028,0.0287,0.0278,0.0285,201
2018-12-18,23:00:00,0.0285,0.0286,0.0282,0.0283,363
2018-12-19,00:00:00,0.0283,0.0283,0.0276,0.0281,212
2018-12-19,01:00:00,0.0281,0.031,0.0282,0.0303,2660
2018-12-19,02:00:00,0.0303,0.031,0.0295,0.0308,518
2018-12-19,03:00:00,0.0308,0.0316,0.0304,0.0306,933
2018-12-19,04:00:00,0.0306,0.0305,0.0298,0.03,344
2018-12-19,05:00:00,0.03,0.0305,0.0298,0.0305,283
2018-12-19,06:00:00,0.0305,0.0308,0.0304,0.0304,117
2018-12-19,07:00:00,0.0304,0.0305,0.0297,0.0299,463
2018-12-19,08:00:00,0.0299,0.0304,0.0295,0.0303,183
2018-12-19,09:00:00,0.0303,0.0305,0.03,0.0301,268
2018-12-19,10:00:00,0.0301,0.0306,0.0297,0.0304,259
2018-12-19,11:00:00,0.0304,0.0305,0.0301,0.0304,817
2018-12-19,12:00:00,0.0304,0.032,0.03,0.0318,639
2018-12-19,13:00:00,0.0318,0.0321,0.0311,0.0313,1181
2018-12-19,14:00:00,0.0313,0.0316,0.0307,0.0308,90
