Date,Time,Open,High,Low,Close,Volume
2015-09-25,12:00:00,239.99,239.99,237.36,237.45,11501
2015-09-25,13:00:00,237.45,237.05,236.08,236.08,22625
2015-09-25,14:00:00,236.08,236.52,236.1,236.34,17434
2015-09-25,15:00:00,236.34,236.13,235.44,235.71,26900
2015-09-25,16:00:00,235.71,236.01,235.46,235.75,29200
2015-09-25,17:00:00,235.75,236.21,235.6,235.6,20335
2015-09-25,18:00:00,235.6,236.15,235.85,236.1,25691
2015-09-25,19:00:00,236.1,236.12,235.44,235.44,4500
2015-09-25,20:00:00,235.44,235.66,235.03,235.03,11240
2015-09-25,21:00:00,235.03,235.22,234.81,234.9,15705
2015-09-25,22:00:00,234.9,235.2,234.9,235.18,1809
2015-09-25,23:00:00,235.18,235.36,235.19,235.2,3150
2015-09-26,00:00:00,235.2,235.29,235.29,235.29,100
2015-09-26,01:00:00,235.29,235.36,234.9,234.9,2101
2015-09-26,02:00:00,234.9,234.9,234.9,234.9,0
2015-09-26,03:00:00,234.9,234.9,234.9,234.9,0
2015-09-26,04:00:00,234.9,235.11,233.43,233.43,7415
2015-09-26,05:00:00,233.43,233.65,233.3,233.61,9539
2015-09-26,06:00:00,233.61,234.17,234.17,234.17,70
2015-09-26,07:00:00,234.17,234.17,234.17,234.17,0
2015-09-26,08:00:00,234.17,233.97,233.36,233.85,13509
2015-09-26,09:00:00,233.85,233.39,233.28,233.39,4500
2015-09-26,10:00:00,233.39,233.35,233.35,233.35,1000
2015-09-26,11:00:00,233.35,233.85,232.91,233.85,23572
2015-09-26,12:00:00,233.85,234.87,234.1,234.68,16625
2015-09-26,13:00:00,234.68,234.35,234.34,234.34,2050
2015-09-26,14:00:00,234.34,235.0,235.0,235.0,4000
2015-09-26,15:00:00,235.0,235.33,234.85,234.85,550
2015-09-26,16:00:00,234.85,234.47,233.5,233.74,68830
2015-09-26,17:00:00,233.74,233.8,233.68,233.79,5000
2015-09-26,18:00:00,233.79,234.0,233.69,234.0,2770
2015-09-26,19:00:00,234.0,234.73,234.05,234.35,19538
2015-09-26,20:00:00,234.35,234.67,234.32,234.63,13932
2015-09-26,21:00:00,234.63,234.53,234.18,234.18,13500
2015-09-26,22:00:00,234.18,234.51,234.51,234.51,200
2015-09-26,23:00:00,234.51,234.51,234.51,234.51,0
2015-09-27,00:00:00,234.51,234.48,233.98,234.48,4045
2015-09-27,01:00:00,234.48,234.76,234.45,234.76,5000
