Date,Time,Open,High,Low,Close,Volume
2018-08-02,08:55:00,,,,
2018-08-02,09:00:00,None,None,None,None,0
2018-08-02,09:05:00,400,435.5,400,435.5,3
2018-08-02,09:10:00,435.5,425,406.05,416,1944
2018-08-02,09:15:00,416,422.9,418,422.4,6548
2018-08-02,09:20:00,422.4,422.4,421.3,421.8,1071
2018-08-02,09:25:00,421.8,422.3,420,422.2,7599
2018-08-02,09:30:00,422.2,422.5,420.2,421.45,12958
2018-08-02,09:35:00,421.45,421.6,418.4,421.2,15916
2018-08-02,09:40:00,421.2,421.5,418.25,421.4,12729
2018-08-02,09:45:00,421.4,421.05,418.25,419.2,1762
2018-08-02,09:50:00,419.2,419.6,417.15,417.9,15761
2018-08-02,09:55:00,417.9,417.95,415,415.4,31376
2018-08-02,10:00:00,415.4,415.3,414.15,415.05,11280
2018-08-02,10:05:00,415.05,415.1,410.45,411.65,71986
2018-08-02,10:10:00,411.65,427,410,412.3,157002
2018-08-02,10:15:00,412.3,419,411.75,416.45,51461
2018-08-02,10:20:00,416.45,418.15,414.35,414.35,32847
2018-08-02,10:25:00,414.35,415.05,411,413.05,40264
2018-08-02,10:30:00,413.05,414.6,412.8,413.8,18000
2018-08-02,10:35:00,413.8,413.75,413,413.6,10134
2018-08-02,10:40:00,413.6,414.65,413.55,414.15,20294
2018-08-02,10:45:00,414.15,414.15,413.8,414,6155
2018-08-02,10:50:00,414,416.95,413.95,416.7,32775
2018-08-02,10:55:00,416.7,417,416.65,417,20790
2018-08-02,11:00:00,417,417,416,416.2,9482
2018-08-02,11:05:00,416.2,416.25,415.5,415.5,17241
2018-08-02,11:10:00,415.5,416.25,415.75,415.9,5045
2018-08-02,11:15:00,415.9,416.25,415,416.1,6560
2018-08-02,11:20:00,416.1,417,415.55,416.45,11364
2018-08-02,11:25:00,416.45,417.75,416.3,417.7,28185
2018-08-02,11:30:00,417.7,417.75,417.55,417.6,3532
2018-08-02,11:35:00,417.6,417.65,417,417.2,5001
2018-08-02,11:40:00,417.2,417.15,416.05,416.05,6853
2018-08-02,11:45:00,416.05,416.8,415.25,416.8,9135
2018-08-02,11:50:00,416.8,417.2,415.75,416.45,18810
2018-08-02,11:55:00,416.45,417.1,416.45,417.1,8232
2018-08-02,12:00:00,417.1,417.3,417,417.3,45059
2018-08-02,12:05:00,417.3,418.05,417.25,417.9,26073
2018-08-02,12:10:00,417.9,420.4,417.95,419.5,44266
2018-08-02,12:15:00,419.5,419.55,417,417.7,25172
2018-08-02,12:20:00,417.7,417.65,416,416.25,12922
2018-08-02,12:25:00,416.25,416.25,416,416.25,10452
2018-08-02,12:30:00,416.25,416.25,416.05,416.15,9691
2018-08-02,12:35:00,416.15,416.2,416.05,416.15,7183
2018-08-02,12:40:00,416.15,416.2,415.55,415.55,47141
2018-08-02,12:45:00,415.55,415.55,412.55,413.25,64666
2018-08-02,12:50:00,413.25,413.45,413.25,413.35,44957
2018-08-02,12:55:00,413.35,413.5,412.7,412.9,34743
2018-08-02,13:00:00,412.9,413,412.5,412.55,52731
2018-08-02,13:05:00,412.55,413,412.4,412.75,49703
2018-08-02,13:10:00,412.75,413.1,412.25,412.6,4692
2018-08-02,13:15:00,412.6,413.1,412.65,412.8,15022
2018-08-02,13:20:00,412.8,412.85,412.4,412.5,6383
2018-08-02,13:25:00,412.5,413.35,411.95,412.6,36072
2018-08-02,13:30:00,412.6,412.5,410.75,410.95,6926
2018-08-02,13:35:00,410.95,412.5,410.7,412.45,20756
2018-08-02,13:40:00,412.45,412.75,411.85,412.7,11283
2018-08-02,13:45:00,412.7,413.25,412.25,412.25,21050
2018-08-02,13:50:00,412.25,412.25,411.35,411.35,10701
2018-08-02,13:55:00,411.35,411.65,410.85,410.95,6172
2018-08-02,14:00:00,410.95,411.15,410.55,410.6,17850
2018-08-02,14:05:00,410.6,410.6,410.3,410.6,16190
2018-08-02,14:10:00,410.6,410.7,410.3,410.35,15495
2018-08-02,14:15:00,410.35,410.6,410.4,410.5,2507
2018-08-02,14:20:00,410.5,415,410.5,412.5,90680
2018-08-02,14:25:00,412.5,412.7,411.4,412,17169
2018-08-02,14:30:00,412,413.85,411.95,412.3,21795
2018-08-02,14:35:00,412.3,413.05,412.3,412.75,4389
2018-08-02,14:40:00,412.75,412.85,412.65,412.75,6018
2018-08-02,14:45:00,412.75,412.85,412.7,412.75,4470
2018-08-02,14:50:00,412.75,414.15,412.7,414.05,62090
2018-08-02,14:55:00,414.05,414.05,413.65,413.7,24194
2018-08-02,15:00:00,413.7,413.95,413.7,413.95,4780
2018-08-02,15:05:00,413.95,414.5,413.75,414.15,29771
2018-08-02,15:10:00,414.15,414.5,414.15,414.4,9852
2018-08-02,15:15:00,414.4,414.5,414.35,414.5,3835
2018-08-02,15:20:00,414.5,414.55,414.45,414.45,4035
2018-08-02,15:25:00,414.45,415.35,414.45,414.6,14636
2018-08-02,15:30:00,414.6,414.65,413.7,413.7,8685
2018-08-02,15:35:00,413.7,413.7,413.4,413.5,7354
2018-08-02,15:40:00,413.5,414.4,413.5,413.55,57989
2018-08-02,15:45:00,413.55,413.9,412.65,412.85,11656
2018-08-02,15:50:00,412.85,412.95,411.9,412.5,12273
2018-08-02,15:55:00,412.5,412.8,412.5,412.8,4521
2018-08-02,16:00:00,412.8,413.1,412.55,412.55,17361
2018-08-02,16:05:00,412.55,412.7,411.7,412.3,10873
2018-08-02,16:10:00,412.3,412,408.2,409.75,161712
2018-08-02,16:15:00,409.75,409.85,408.25,408.55,45672
2018-08-02,16:20:00,408.55,410.95,407.1,410.75,48460
2018-08-02,16:25:00,410.75,413.5,409.7,413.5,54460
2018-08-02,16:30:00,413.5,415,411.8,412.95,102829
2018-08-02,16:35:00,412.95,413.05,411.5,413.05,39301
2018-08-02,16:40:00,413.05,413.55,412.4,412.6,30831
2018-08-02,16:45:00,412.6,413.2,412.05,412.4,20372
2018-08-02,16:50:00,412.4,413,411.95,412.65,11405
2018-08-02,16:55:00,412.65,412.9,412.2,412.45,13349
2018-08-02,17:00:00,412.45,412.95,412.5,412.95,25818
2018-08-02,17:05:00,412.95,413.1,412.8,412.9,18881
2018-08-02,17:10:00,412.9,412.9,412.7,412.8,18944
2018-08-02,17:15:00,412.8,412.9,412.55,412.8,8032
2018-08-02,17:20:00,412.8,412.7,411.25,411.75,17586
2018-08-02,17:25:00,411.75,412.35,411.7,412,12560
2018-08-02,17:30:00,412,412.1,411.95,412,9178
2018-08-02,17:35:00,412,412,411.2,411.4,29162
2018-08-02,17:40:00,411.4,411.35,401.5,407.7,156781
2018-08-02,17:45:00,407.7,409.9,407.65,409.9,24710
2018-08-02,17:50:00,409.9,409.9,409.15,409.65,26711
2018-08-02,17:55:00,409.65,409.65,406.8,407.3,29693
2018-08-02,18:00:00,407.3,407.35,405.55,407.3,64557
2018-08-02,18:05:00,407.3,409.45,407.3,408,90935
2018-08-02,18:10:00,408,408.45,406.8,407.7,60658
2018-08-02,18:15:00,407.7,408,407.5,407.65,34746
2018-08-02,18:20:00,407.65,407.9,405.65,406.55,83176
2018-08-02,18:25:00,406.55,407.95,406.55,407.95,26438
2018-08-02,18:30:00,407.95,409,407.95,408.55,39728
2018-08-02,18:35:00,408.55,409.15,408.5,409.1,23867
2018-08-02,18:40:00,409.1,409.15,408.6,408.85,16607
2018-08-02,18:45:00,408.85,409.6,408.85,409.55,17661
2018-08-02,18:50:00,409.55,409.6,409.3,409.3,7454
2018-08-02,18:55:00,409.3,409.25,408,408,12762
2018-08-02,19:00:00,408,408.05,407.8,407.95,27342
2018-08-02,19:05:00,407.95,408.85,407.95,408.6,34156
2018-08-02,19:10:00,408.6,408.7,408.2,408.5,20052
2018-08-02,19:15:00,408.5,408.9,407.2,407.35,19881
2018-08-02,19:20:00,407.35,408.5,407.35,408,39294
2018-08-02,19:25:00,408,409.75,408,409.15,38033
2018-08-02,19:30:00,409.15,409.35,408.85,408.85,10062
2018-08-02,19:35:00,408.85,409.15,408.3,408.35,20602
2018-08-02,19:40:00,408.35,409.45,408.25,409.45,54362
2018-08-02,19:45:00,409.45,409.4,408.25,408.7,11337
2018-08-02,19:50:00,408.7,408.7,408.6,408.6,1250
2018-08-02,19:55:00,408.6,408.65,408.45,408.45,9991
2018-08-02,20:00:00,408.45,408.45,408.15,408.15,8309
2018-08-02,20:05:00,408.15,408.55,408.15,408.45,10862
2018-08-02,20:10:00,408.45,408.65,408.35,408.65,3172
2018-08-02,20:15:00,408.65,409.3,408,408.85,26092
2018-08-02,20:20:00,408.85,409.5,408.9,409.45,5406
2018-08-02,20:25:00,409.45,409.9,409.25,409.25,31312
2018-08-02,20:30:00,409.25,413.1,409.55,411.45,123980
2018-08-02,20:35:00,411.45,411.7,411.45,411.65,10170
2018-08-02,20:40:00,411.65,413.05,411.6,412.6,24688
2018-08-02,20:45:00,412.6,414.65,412.65,413.2,114593
2018-08-02,20:50:00,413.2,413.25,412.35,412.35,46874
2018-08-02,20:55:00,412.35,412.65,411.5,411.5,11641
2018-08-02,21:00:00,411.5,411.5,410.1,410.75,17665
2018-08-02,21:05:00,410.75,411.25,410.75,411.25,11435
2018-08-02,21:10:00,411.25,411.9,411.25,411.75,9678
2018-08-02,21:15:00,411.75,411.8,411.55,411.55,4899
2018-08-02,21:20:00,411.55,411.5,411.45,411.5,2558
2018-08-02,21:25:00,411.5,411.5,411.25,411.25,7032
2018-08-02,21:30:00,411.25,411.25,411.1,411.2,3961
2018-08-02,21:35:00,411.2,411.15,411.1,411.15,1265
2018-08-02,21:40:00,411.15,411.1,410.3,410.35,27556
2018-08-02,21:45:00,410.35,410.1,409.7,410,10877
2018-08-02,21:50:00,410,410.5,409.95,410.15,3228
2018-08-02,21:55:00,410.15,410.85,410.15,410.6,1545
2018-08-02,22:00:00,410.6,410.65,410.65,410.65,57
2018-08-02,22:05:00,410.65,410.65,410.5,410.65,5260
2018-08-02,22:10:00,410.65,411.5,410.55,411.5,13518
2018-08-02,22:15:00,411.5,411.8,411.45,411.8,3328
2018-08-02,22:20:00,411.8,411.8,411.1,411.75,10458
2018-08-02,22:25:00,411.75,411.8,411.3,411.8,13111
2018-08-02,22:30:00,411.8,412.5,411.75,412.3,27803
2018-08-02,22:35:00,412.3,412.3,412.25,412.3,3552
2018-08-02,22:40:00,412.3,412.3,412.05,412.1,4551
2018-08-02,22:45:00,412.1,412.1,411.1,411.5,5420
2018-08-02,22:50:00,411.5,411.5,411.45,411.45,185
2018-08-02,22:55:00,411.45,411.5,411.45,411.5,1004
2018-08-02,23:00:00,411.5,411.5,411.45,411.5,5015
2018-08-02,23:05:00,411.5,412.5,411.75,411.95,8763
2018-08-02,23:10:00,411.95,414.65,411.4,413.05,165367
2018-08-02,23:15:00,413.05,413.35,411.4,411.4,16641
2018-08-02,23:20:00,411.4,412.1,411.55,412,8316
2018-08-02,23:25:00,412,412.1,411.65,411.7,4025
2018-08-02,23:30:00,411.7,412.3,411.75,412,5680
2018-08-02,23:35:00,412,412.05,412,412,1194
2018-08-02,23:40:00,412,412.05,412,412.05,6801
2018-08-02,23:45:00,412.05,412.25,410,411.3,108470
2018-08-02,23:50:00,411.3,411.5,411.45,411.5,792
2018-08-02,23:55:00,411.5,411.45,410.4,410.8,5257
2018-08-03,00:00:00,410.8,416.9,401.5,410.25,582722
2018-08-03,00:05:00,410.25,410.2,408.5,408.8,22903
2018-08-03,00:10:00,408.8,408.8,407.8,407.85,8697
2018-08-03,00:15:00,407.85,407.85,407.25,407.75,11991
2018-08-03,00:20:00,407.75,407.75,407.65,407.7,3406
2018-08-03,00:25:00,407.7,407.65,404.9,405.25,24766
2018-08-03,00:30:00,405.25,407.35,403.65,403.7,42074
2018-08-03,00:35:00,403.7,404.1,402.1,402.95,41704
2018-08-03,00:40:00,402.95,403.4,401,401.45,41814
2018-08-03,00:45:00,401.45,405.75,401.45,404.3,41230
2018-08-03,00:50:00,404.3,405.05,402.85,403.65,17945
2018-08-03,00:55:00,403.65,404.25,403.7,404.25,7781
2018-08-03,01:00:00,404.25,404.5,403.4,403.55,32077
2018-08-03,01:05:00,403.55,403.6,400.2,400.2,72523
2018-08-03,01:10:00,400.2,400.6,397.45,398.3,69081
2018-08-03,01:15:00,398.3,401.75,397.3,400.95,49810
2018-08-03,01:20:00,400.95,403.6,400.95,403.6,39088
2018-08-03,01:25:00,403.6,403.7,402.85,403,15579
2018-08-03,01:30:00,403,403.05,400.25,402.2,42566
2018-08-03,01:35:00,402.2,402.7,402.2,402.25,6069
2018-08-03,01:40:00,402.25,402.25,401.9,401.9,5223
2018-08-03,01:45:00,401.9,402.05,400.2,401.9,19177
2018-08-03,01:50:00,401.9,401.65,401.3,401.5,2495
2018-08-03,01:55:00,401.5,402,401.25,401.7,14354
2018-08-03,02:00:00,401.7,402.1,400,400.85,32507
2018-08-03,02:05:00,400.85,400.75,399.5,400.35,66176
2018-08-03,02:10:00,400.35,401.5,400.35,401.5,6510
2018-08-03,02:15:00,401.5,401.9,401.25,401.25,23129
2018-08-03,02:20:00,401.25,401.1,400.8,401.1,3351
2018-08-03,02:25:00,401.1,401.15,400.35,400.9,4494
2018-08-03,02:30:00,400.9,401.05,400.55,401.05,3740
2018-08-03,02:35:00,401.05,401.05,398.3,399.6,39945
2018-08-03,02:40:00,399.6,399.95,399.75,399.8,6145
2018-08-03,02:45:00,399.8,401.15,399.8,401.15,10039
2018-08-03,02:50:00,401.15,401.3,401.15,401.25,2126
2018-08-03,02:55:00,401.25,401.35,401.05,401.1,9958
2018-08-03,03:00:00,401.1,401.1,400.3,401,1941
2018-08-03,03:05:00,401,401.1,400.95,401.05,3249
2018-08-03,03:10:00,401.05,401.05,400.35,400.85,6072
2018-08-03,03:15:00,400.85,401.1,400.95,401.1,396
2018-08-03,03:20:00,401.1,404.8,401.1,402.4,132206
2018-08-03,03:25:00,402.4,402.85,402.35,402.4,7010
2018-08-03,03:30:00,402.4,402.5,402.4,402.5,501
2018-08-03,03:35:00,402.5,402.95,402.5,402.9,6973
2018-08-03,03:40:00,402.9,402.9,401.75,401.9,12674
2018-08-03,03:45:00,401.9,402.4,402.15,402.35,1432
2018-08-03,03:50:00,402.35,402.25,401.9,402,2791
2018-08-03,03:55:00,402,401.95,401.9,401.95,2551
2018-08-03,04:00:00,401.95,402,401.3,401.35,9355
2018-08-03,04:05:00,401.35,401.35,399.6,399.7,13872
2018-08-03,04:10:00,399.7,399.9,398.6,399.9,26615
2018-08-03,04:15:00,399.9,400.2,399.45,399.95,2821
2018-08-03,04:20:00,399.95,400.5,399.6,399.7,3895
2018-08-03,04:25:00,399.7,400.1,398.1,398.4,13638
2018-08-03,04:30:00,398.4,398.35,397.2,397.2,11934
2018-08-03,04:35:00,397.2,397.85,397,397.5,23431
2018-08-03,04:40:00,397.5,399.75,397.15,398.45,37165
2018-08-03,04:45:00,398.45,398.65,397.15,398.65,19225
2018-08-03,04:50:00,398.65,399.1,398.65,398.95,3396
2018-08-03,04:55:00,398.95,400.85,399.15,400.85,43408
2018-08-03,05:00:00,400.85,402.25,400.8,401.25,53921
2018-08-03,05:05:00,401.25,402.4,401.25,401.95,20083
2018-08-03,05:10:00,401.95,401.9,401.45,401.45,9960
2018-08-03,05:15:00,401.45,402.1,401.45,402.1,1597
2018-08-03,05:20:00,402.1,402.1,401.3,401.45,10118
2018-08-03,05:25:00,401.45,402.1,401.75,402.05,5680
2018-08-03,05:30:00,402.05,402.1,402.05,402.1,1495
2018-08-03,05:35:00,402.1,403,402.1,403,8953
2018-08-03,05:40:00,403,404.1,403,404.1,5558
2018-08-03,05:45:00,404.1,404.45,404,404.15,5151
2018-08-03,05:50:00,404.15,404.05,403,403.1,8116
2018-08-03,05:55:00,403.1,403.45,402.8,402.8,9738
2018-08-03,06:00:00,402.8,402.8,402.3,402.55,19780
2018-08-03,06:05:00,402.55,402.55,401.9,402.25,14069
2018-08-03,06:10:00,402.25,402.35,402.25,402.3,3569
2018-08-03,06:15:00,402.3,403.95,402.35,403.75,13496
2018-08-03,06:20:00,403.75,403.95,403.75,403.95,6622
2018-08-03,06:25:00,403.95,404.5,403.65,404.1,17208
2018-08-03,06:30:00,404.1,404.25,404,404.25,3838
2018-08-03,06:35:00,404.25,404.5,404.1,404.3,7969
2018-08-03,06:40:00,404.3,405.15,404.25,404.75,18623
2018-08-03,06:45:00,404.75,406.1,404.6,406.1,32912
2018-08-03,06:50:00,406.1,406.25,405.8,405.85,22169
2018-08-03,06:55:00,405.85,406.3,405.6,406.2,58655
2018-08-03,07:00:00,406.2,406.15,404.7,405.1,23752
2018-08-03,07:05:00,405.1,405.1,404.5,404.7,26616
2018-08-03,07:10:00,404.7,405,403.4,404.2,24361
2018-08-03,07:15:00,404.2,404.2,403.4,403.4,9836
2018-08-03,07:20:00,403.4,404,403.35,404,19933
2018-08-03,07:25:00,404,404.8,404,404.8,26892
2018-08-03,07:30:00,404.8,405.25,404.5,405.25,37329
2018-08-03,07:35:00,405.25,409,405.4,407.95,85473
2018-08-03,07:40:00,407.95,408.5,407.5,407.7,23404
2018-08-03,07:45:00,407.7,407.75,406.95,407.1,17813
2018-08-03,07:50:00,407.1,407.05,406.25,406.55,21392
2018-08-03,07:55:00,406.55,408.7,406.5,408.6,45620
2018-08-03,08:00:00,408.6,410.7,408.9,409.65,49729
2018-08-03,08:05:00,409.65,411.4,409.5,409.6,60195
2018-08-03,08:10:00,409.6,411.3,409.55,411.1,21307
2018-08-03,08:15:00,411.1,411.5,409.6,410.1,40296
2018-08-03,08:20:00,410.1,411.4,408.3,408.55,39810
2018-08-03,08:25:00,408.55,410.3,408.1,408.95,43985
2018-08-03,08:30:00,408.95,409.15,408.3,408.55,15913
