Date,Time,Open,High,Low,Close,Volume
2018-12-18,00:00:00,0.00756,0.00849,0.00756,0.00812,23608
2018-12-19,00:00:00,0.00812,0.00819,0.00784,0.00804,18620
2018-12-20,00:00:00,0.00804,0.00832,0.00769,0.00778,29790
2018-12-21,00:00:00,0.00778,0.00797,0.00745,0.00776,16245
2018-12-22,00:00:00,0.00776,0.00784,0.00758,0.00778,23590
2018-12-23,00:00:00,0.00778,0.00785,0.0077,0.00782,4872
2018-12-24,00:00:00,0.00782,0.00838,0.0078,0.00827,12796
2018-12-25,00:00:00,0.00827,0.00854,0.00784,0.00793,31119
2018-12-26,00:00:00,0.00793,0.00806,0.00777,0.00796,13143
2018-12-27,00:00:00,0.00796,0.00811,0.00756,0.00785,26198
2018-12-28,00:00:00,0.00785,0.0079,0.0075,0.0076,24427
2018-12-29,00:00:00,0.0076,0.00829,0.00756,0.00817,138708
2018-12-30,00:00:00,0.00817,0.00836,0.00795,0.00809,89200
2018-12-31,00:00:00,0.00809,0.00817,0.00799,0.00816,41823
2019-01-01,00:00:00,0.00816,0.00818,0.00787,0.00795,46899
2019-01-02,00:00:00,0.00795,0.00836,0.00792,0.0082,56792
2019-01-03,00:00:00,0.0082,0.00868,0.00819,0.00844,97860
2019-01-04,00:00:00,0.00844,0.00847,0.00817,0.00828,126028
2019-01-05,00:00:00,0.00828,0.00845,0.00822,0.00835,91543
2019-01-06,00:00:00,0.00835,0.00923,0.00835,0.00893,380083
2019-01-07,00:00:00,0.00893,0.00983,0.00887,0.00946,757702
2019-01-08,00:00:00,0.00946,0.00959,0.00922,0.00933,293768
2019-01-09,00:00:00,0.00933,0.00983,0.00932,0.00954,420075
2019-01-10,00:00:00,0.00954,0.0097,0.00942,0.00947,245681
2019-01-11,00:00:00,0.00947,0.00957,0.00867,0.00898,365696
2019-01-12,00:00:00,0.00898,0.00901,0.00848,0.00861,211495
2019-01-13,00:00:00,0.00861,0.00871,0.00852,0.00864,89933
2019-01-14,00:00:00,0.00864,0.00885,0.00828,0.00835,184994
2019-01-15,00:00:00,0.00835,0.00879,0.00832,0.00862,141156
2019-01-16,00:00:00,0.00862,0.00872,0.00827,0.00849,126790
2019-01-17,00:00:00,0.00849,0.00863,0.00844,0.00856,66929
2019-01-18,00:00:00,0.00856,0.00859,0.00831,0.00856,100945
2019-01-19,00:00:00,0.00856,0.00857,0.00837,0.00844,68908
2019-01-20,00:00:00,0.00844,0.00881,0.00844,0.00867,116823
2019-01-21,00:00:00,0.00867,0.00886,0.00848,0.00855,209172
2019-01-22,00:00:00,0.00855,0.00866,0.00851,0.00862,57491
2019-01-23,00:00:00,0.00862,0.00878,0.00801,0.00871,172243
2019-01-24,00:00:00,0.00871,0.00889,0.00868,0.00877,144859
2019-01-25,00:00:00,0.00877,0.00912,0.00864,0.00897,222174
2019-01-26,00:00:00,0.00897,0.00909,0.00891,0.00904,178389
2019-01-27,00:00:00,0.00904,0.0092,0.00902,0.00905,193324
2019-01-28,00:00:00,0.00905,0.00909,0.00878,0.00895,188540
2019-01-29,00:00:00,0.00895,0.009,0.00864,0.00884,196006
2019-01-30,00:00:00,0.00884,0.00893,0.00875,0.00885,145213
2019-01-31,00:00:00,0.00885,0.00905,0.0088,0.00902,152330
2019-02-01,00:00:00,0.00902,0.00915,0.00893,0.00901,100393
2019-02-02,00:00:00,0.00901,0.0094,0.00888,0.00924,328708
2019-02-03,00:00:00,0.00924,0.00978,0.00923,0.00965,394328
2019-02-04,00:00:00,0.00965,0.00976,0.00942,0.00949,298537
2019-02-05,00:00:00,0.00949,0.00974,0.00948,0.00965,213392
2019-02-06,00:00:00,0.00965,0.00974,0.00949,0.00964,296808
2019-02-07,00:00:00,0.00964,0.00965,0.00925,0.00947,297414
2019-02-08,00:00:00,0.00947,0.00965,0.00946,0.00955,166363
2019-02-09,00:00:00,0.00955,0.01231,0.00951,0.01165,2024711
2019-02-10,00:00:00,0.01165,0.01249,0.01142,0.0121,1282551
2019-02-11,00:00:00,0.0121,0.01288,0.01158,0.01259,1185151
2019-02-12,00:00:00,0.01259,0.0126,0.01161,0.01178,822659
2019-02-13,00:00:00,0.01178,0.01221,0.01167,0.01207,568972
2019-02-14,00:00:00,0.01207,0.01217,0.01116,0.01145,670848
2019-02-15,00:00:00,0.01145,0.01166,0.01127,0.01145,411893
2019-02-16,00:00:00,0.01145,0.01184,0.01144,0.01166,219846
