,Date,Time,Open,High,Low,Close,Volume
0,2013-3-31,00:00:00,92.5,93.74999,91.0,93.03299999999999,3083
1,2013-4-1,00:00:00,93.25,105.9,92.49999,103.999,5224
2,2013-4-2,00:00:00,104.0,118.3867,99.0,118.2293541,8376
3,2013-4-3,00:00:00,117.95826129999999,146.88,101.51088,134.7,12996
4,2013-4-4,00:00:00,134.71656000000002,143.0,119.0,132.899,6981
5,2013-4-5,00:00:00,130.10001,145.0,128.25,142.3,5234
6,2013-4-6,00:00:00,142.8,144.0,139.0,143.05,2009
7,2013-4-7,00:00:00,143.5,164.75,142.75,162.304,3725
8,2013-4-8,00:00:00,163.9,194.57,163.2,186.985,10895
9,2013-4-9,00:00:00,186.8,249.97,186.8,232.99,6073
10,2013-4-10,00:00:00,228.669,290.0,19.9,162.0,16070
11,2013-4-11,00:00:00,162.0,205.0,1.06,100.0,16914
12,2013-4-12,00:00:00,109.0,157.0,51.0,112.0,38693
13,2013-4-13,00:00:00,112.0,130.0,81.12,91.1,23866
14,2013-4-14,00:00:00,91.1,109.0,20.0,90.171,16437
15,2013-4-15,00:00:00,89.86,104.0,71.497,83.302,16393
16,2013-4-16,00:00:00,84.27,84.48,0.01,67.58800000000001,26092
17,2013-4-17,00:00:00,68.135,98.9,63.5,93.06299999999999,20016
18,2013-4-18,00:00:00,93.0,114.0,87.0,111.3,8362
19,2013-4-19,00:00:00,110.0,142.0,104.56,119.0,20883
20,2013-4-20,00:00:00,119.02,132.0,114.9,127.0,6502
21,2013-4-21,00:00:00,127.01,130.0,110.0,117.618,11539
22,2013-4-22,00:00:00,119.96,127.3,119.615,126.5,7053
23,2013-4-23,00:00:00,127.389,144.47,124.859,143.484,11566
24,2013-4-24,00:00:00,142.41,166.99,140.9,154.6,25884
25,2013-4-25,00:00:00,155.0,169.13,120.03,141.9,21589
26,2013-4-26,00:00:00,142.89,143.985,13.0,137.3,13279
27,2013-4-27,00:00:00,136.56001,147.51,121.46,128.5,7773
28,2013-4-28,00:00:00,128.8,136.99,128.02,135.28,7222
29,2013-4-29,00:00:00,134.63,148.5,113.42,144.0,9491
30,2013-4-30,00:00:00,143.89,146.6752,133.89,139.88,10916
31,2013-5-1,00:00:00,139.87,140.02,105.0,116.0,23869
32,2013-5-2,00:00:00,116.75,127.18,90.414,106.6,29911
33,2013-5-3,00:00:00,107.0,108.21,80.0,98.06,32551
34,2013-5-4,00:00:00,98.5,115.959,93.35600000000001,112.5,15470
35,2013-5-5,00:00:00,112.3,126.0,100.0,116.57,13363
36,2013-5-6,00:00:00,116.587,124.3,106.0,112.0,12263
37,2013-5-7,00:00:00,112.1,113.44,98.0,110.0,15053
38,2013-5-8,00:00:00,109.76,116.98,108.5,113.5,8804
39,2013-5-9,00:00:00,113.495,113.5,108.23,112.669,3991
40,2013-5-10,00:00:00,112.65299999999999,122.5,111.4,117.87,7579
41,2013-5-11,00:00:00,117.92,118.9,112.72,115.57600000000001,3841
42,2013-5-12,00:00:00,115.58,118.0,113.0,114.3,2745
43,2013-5-13,00:00:00,115.97,118.97,114.07,117.979,2590
44,2013-5-14,00:00:00,117.811,119.85,105.2,111.551,9787
45,2013-5-15,00:00:00,110.7,117.0,103.45,108.95,9324
46,2013-5-16,00:00:00,108.98,115.2,108.2,115.0,4796
47,2013-5-17,00:00:00,115.0,122.0,112.35,117.62,5107
48,2013-5-18,00:00:00,117.51,118.98,115.81001,118.52,2168
49,2013-5-19,00:00:00,118.23,120.99,115.61,118.25,1327
50,2013-5-20,00:00:00,118.23,118.94,116.0,118.09,881
51,2013-5-21,00:00:00,116.9,118.6,116.9,117.0,1897
52,2013-5-22,00:00:00,117.9,120.0,117.0,119.11,2360
53,2013-5-23,00:00:00,118.45,124.25,118.41,123.83,4024
54,2013-5-24,00:00:00,123.84,130.0,122.4,128.7,7965
55,2013-5-25,00:00:00,128.61,129.73,125.1,128.97,2715
56,2013-5-26,00:00:00,128.97,133.0,128.0,130.24,2883
57,2013-5-27,00:00:00,130.27,130.59,123.0,126.25,3535
58,2013-5-28,00:00:00,125.0,127.0,123.0,125.5,2584
59,2013-5-29,00:00:00,126.06,140.68,125.67,130.35,3558
60,2013-5-30,00:00:00,130.35,131.0,124.15,126.7,4729
61,2013-5-31,00:00:00,126.78,129.1,125.06,127.9,2267
62,2013-6-1,00:00:00,127.73,129.0,127.0,128.77,815
63,2013-6-2,00:00:00,128.77,132.65,117.0,123.8,11892
64,2013-6-3,00:00:00,123.41,132.87,117.0,123.1,4750
65,2013-6-4,00:00:00,123.22,123.99,116.42,120.43,5195
66,2013-6-5,00:00:00,120.3,122.37,119.6,121.19,1435
67,2013-6-6,00:00:00,121.33,121.33,118.0,119.28,1260
68,2013-6-7,00:00:00,118.4,119.0,107.0,111.07,9638
69,2013-6-8,00:00:00,110.17,112.5,108.45,109.13,1943
70,2013-6-9,00:00:00,108.99,110.0,89.9,100.0,15769
71,2013-6-10,00:00:00,100.0,108.0,93.0,104.18,9456
72,2013-6-11,00:00:00,104.68,108.03,103.4,107.36,3419
73,2013-6-12,00:00:00,107.07,119.0,105.0,106.68,4657
74,2013-6-13,00:00:00,106.28,109.14,95.0,102.0,5813
75,2013-6-14,00:00:00,101.86,107.36,97.0,99.0,5295
76,2013-6-15,00:00:00,99.01,104.0,96.22,99.42,2397
77,2013-6-16,00:00:00,99.43,101.1,98.66,99.0,1192
78,2013-6-17,00:00:00,99.0,101.01,98.3,100.49,1286
79,2013-6-18,00:00:00,100.39,108.5,99.99,104.12,6069
80,2013-6-19,00:00:00,104.49,107.5,102.99,104.99,2830
81,2013-6-20,00:00:00,104.83,108.0,102.38,104.55,5580
82,2013-6-21,00:00:00,103.0,105.0,91.0,101.29,5584
83,2013-6-22,00:00:00,101.29,102.4,98.49,100.23,1390
84,2013-6-23,00:00:00,100.0,101.5,98.6,100.4,796
85,2013-6-24,00:00:00,100.4,102.13,95.38,98.68,2801
86,2013-6-25,00:00:00,99.35,100.9,97.5,97.58,3395
87,2013-6-26,00:00:00,98.5,100.0,96.99,98.69,1466
88,2013-6-27,00:00:00,98.01,98.72,96.31,96.31,1085
89,2013-6-28,00:00:00,96.31,96.52,88.01,89.79,7594
90,2013-6-29,00:00:00,89.2,91.6,86.15,88.8,1766
91,2013-6-30,00:00:00,88.53,90.25,88.26,89.55,525
92,2013-7-1,00:00:00,89.58,91.56,1.0,83.5,10021
93,2013-7-2,00:00:00,83.51,88.5,83.24,87.68,3732
94,2013-7-3,00:00:00,89.0,89.56,75.0,77.402,8688
95,2013-7-4,00:00:00,77.33,82.0,70.04,79.4,7081
96,2013-7-5,00:00:00,79.4,79.4,64.0,67.0,13816
97,2013-7-6,00:00:00,67.0,73.26,62.94,66.12,10426
98,2013-7-7,00:00:00,66.12,74.07786,64.89,73.98,4403
99,2013-7-8,00:00:00,73.96,77.0,70.0,74.35,8789
100,2013-7-9,00:00:00,73.85,76.01,70.47,74.98,7041
101,2013-7-10,00:00:00,74.93,87.0,74.83,86.12,10374
102,2013-7-11,00:00:00,86.12,89.23,84.0,88.0,7510
103,2013-7-12,00:00:00,87.81,101.39,86.64,90.2,15077
104,2013-7-13,00:00:00,90.17,91.95,85.0,91.6,4116
105,2013-7-14,00:00:00,91.69,93.0,88.88,90.07,2380
106,2013-7-15,00:00:00,89.01100000000001,99.83,82.45,93.94,5898
107,2013-7-16,00:00:00,93.75,94.0,84.7,91.6,2092
108,2013-7-17,00:00:00,91.58,92.8,89.22,91.48,2046
109,2013-7-18,00:00:00,90.85,91.23,77.0,85.27,7708
110,2013-7-19,00:00:00,85.01,87.1,83.4,86.53,4794
111,2013-7-20,00:00:00,86.5,87.2,84.27,85.0,1301
112,2013-7-21,00:00:00,85.09,86.4,84.0,85.79,2113
113,2013-7-22,00:00:00,85.77,87.1,83.99,85.6,1354
114,2013-7-23,00:00:00,85.55,88.67,82.99,86.95,3368
115,2013-7-24,00:00:00,86.95,95.68,86.46,88.36,1618
116,2013-7-25,00:00:00,88.42,91.99899,87.15,90.24,3345
117,2013-7-26,00:00:00,90.09,91.72,89.2,89.95,973
118,2013-7-27,00:00:00,89.95,90.11,87.8,88.02,1427
119,2013-7-28,00:00:00,88.02,94.0,87.92,92.46,3411
120,2013-7-29,00:00:00,92.01,93.73,90.54,93.37,2712
121,2013-7-30,00:00:00,93.01,97.11,92.7,96.5,3558
122,2013-7-31,00:00:00,96.68,101.03,95.1,98.18,5708
123,2013-8-1,00:00:00,97.99,98.50296999999999,95.21,96.55,3534
124,2013-8-2,00:00:00,96.55,98.7,93.75,95.85,5444
125,2013-8-3,00:00:00,95.82,97.23,94.67,95.49,2406
126,2013-8-4,00:00:00,95.5,96.7,95.5,96.38,1011
127,2013-8-5,00:00:00,96.38,98.91,96.21,97.4,2944
128,2013-8-6,00:00:00,97.73,98.9,97.0,97.8,2531
129,2013-8-7,00:00:00,97.8,98.3,95.5,97.0,1576
130,2013-8-8,00:00:00,97.0,97.17,91.4,94.25,4701
131,2013-8-9,00:00:00,94.27,95.51,89.51,92.28,5799
132,2013-8-10,00:00:00,92.14,94.0,92.14,93.51,754
133,2013-8-11,00:00:00,93.51,94.52,93.2,94.0,703
134,2013-8-12,00:00:00,94.0,96.24,93.31,95.35,2950
135,2013-8-13,00:00:00,95.12109,98.2,94.23,98.15,3644
136,2013-8-14,00:00:00,97.99,101.0,97.36828,99.16,7832
137,2013-8-15,00:00:00,99.4,100.01,96.24,98.08,1749
138,2013-8-16,00:00:00,98.39,99.0,96.53,98.3,1945
