Date,Time,Open,High,Low,Close,Volume
2017-07-01,00:00:00,1.2,1.6479,0.5,1.135,1042731
2017-07-02,00:00:00,1.1235,3.2981,0.9406,2.9103,2673924
2017-07-03,00:00:00,2.9248,5.48,2.41,4.0169999999999995,3301308
2017-07-04,00:00:00,4.0201,4.1998,2.5501,3.12,3790603
2017-07-05,00:00:00,3.1319,3.3121,2.6,2.8322,1955027
2017-07-06,00:00:00,2.822,3.5303,2.822,3.2499,2301252
2017-07-07,00:00:00,3.24,3.3214,2.6,2.6598,2022336
2017-07-08,00:00:00,2.6488,2.7596,2.01,2.3957,2992736
2017-07-09,00:00:00,2.3965,2.549,2.1201,2.2061,1860759
2017-07-10,00:00:00,2.2064,2.275,1.234,1.6016,3559383
2017-07-11,00:00:00,1.6016,1.78,1.3561,1.5,4895651
2017-07-12,00:00:00,1.5,2.0499,1.3980000000000001,1.985,2896888
2017-07-13,00:00:00,1.9780000000000002,1.9880000000000002,1.6048,1.6442,1587112
2017-07-14,00:00:00,1.649,1.7,1.4514,1.5189,1773910
2017-07-15,00:00:00,1.5190000000000001,1.5274,1.285,1.3,2508629
2017-07-16,00:00:00,1.2947,1.3294,1.1336,1.244,2362941
2017-07-17,00:00:00,1.2323,1.5789,1.217,1.5551,2925338
2017-07-18,00:00:00,1.5706,1.73,1.4569,1.653,2467349
2017-07-19,00:00:00,1.6527,1.7745,1.4501,1.4936,2215153
2017-07-20,00:00:00,1.4851,1.7499,1.4851,1.7164,1617513
2017-07-21,00:00:00,1.7164,1.9967,1.6694,1.7988,1962041
2017-07-22,00:00:00,1.7964,2.0983,1.7699,2.0302,1694490
2017-07-23,00:00:00,2.0340000000000003,2.138,1.8003,1.9294,2129598
2017-07-24,00:00:00,1.9294,1.99,1.8011,1.8789,1379063
2017-07-25,00:00:00,1.87,1.8997,1.5454,1.6511,1867964
2017-07-26,00:00:00,1.6689,1.7145,1.4846,1.6951,1807692
2017-07-27,00:00:00,1.6988,1.9794,1.694,1.9156,1678546
2017-07-28,00:00:00,1.9141,1.9899,1.8014,1.8107,1562469
2017-07-29,00:00:00,1.8113,1.8657,1.601,1.8336,1733121
2017-07-30,00:00:00,1.85,1.8507,1.6746,1.7751,866122
2017-07-31,00:00:00,1.7751,1.7774,1.63,1.7013,1222111
2017-08-01,00:00:00,1.7181,1.8135,1.645,1.778,1807060
2017-08-02,00:00:00,1.777,1.8018,1.673,1.7388,1218682
2017-08-03,00:00:00,1.7499,1.7846,1.7001,1.7799,734114
2017-08-04,00:00:00,1.7799,1.84,1.7417,1.7622,1146294
2017-08-05,00:00:00,1.7623,2.0,1.7294,1.8530000000000002,2238344
2017-08-06,00:00:00,1.8485,1.8530000000000002,1.7002,1.7538,1579359
2017-08-07,00:00:00,1.7505,1.81,1.7,1.7843,1782430
2017-08-08,00:00:00,1.7843,1.9839,1.7809,1.8722,2753878
2017-08-09,00:00:00,1.8722,1.91,1.788,1.8124,1477098
2017-08-10,00:00:00,1.8184,1.9142,1.8045,1.8362,1566595
2017-08-11,00:00:00,1.8361,1.8784,1.6642,1.757,2223906
2017-08-12,00:00:00,1.757,1.83,1.6101,1.6454,1680369
2017-08-13,00:00:00,1.6516,1.686,1.5153,1.5967,2376551
2017-08-14,00:00:00,1.5997,1.6779,1.5051,1.6,1670392
2017-08-15,00:00:00,1.5999,1.7271,1.521,1.6183,2191005
2017-08-16,00:00:00,1.6273,1.6499,1.55,1.6019,1714225
2017-08-17,00:00:00,1.6018,1.6201,1.48,1.5059,1789622
2017-08-18,00:00:00,1.5230000000000001,1.5329,1.3304,1.3979,1984120
2017-08-19,00:00:00,1.3940000000000001,1.4315,1.28,1.39,1564138
2017-08-20,00:00:00,1.3987,1.42,1.3230000000000002,1.3593,1267648
2017-08-21,00:00:00,1.3594,1.41,1.3042,1.329,1917934
2017-08-22,00:00:00,1.329,1.3313,1.2351,1.27,2388908
2017-08-23,00:00:00,1.2686,1.545,1.2565,1.416,5193707
2017-08-24,00:00:00,1.4175,1.4218,1.3248,1.371,1933560
2017-08-25,00:00:00,1.3789,1.4478,1.3331,1.3676,1797853
2017-08-26,00:00:00,1.364,1.3940000000000001,1.3304,1.365,1348781
2017-08-27,00:00:00,1.364,1.38,1.315,1.3435,1339178
2017-08-28,00:00:00,1.3479,1.364,1.2738,1.3241,1532273
2017-08-29,00:00:00,1.3241,1.3777,1.3096,1.31,1585606
2017-08-30,00:00:00,1.31,1.344,1.222,1.251,2300769
2017-08-31,00:00:00,1.2518,1.357,1.2458,1.3441,3137822
2017-09-01,00:00:00,1.3402,1.35,1.2727,1.3203,2639794
2017-09-02,00:00:00,1.3246,1.4361,1.1856,1.235,3515022
2017-09-03,00:00:00,1.235,1.3255,1.21,1.3006,2649183
2017-09-04,00:00:00,1.3008,1.305,0.8216,0.91,10966944
2017-09-05,00:00:00,0.91,0.9777,0.75,0.9229999999999999,9159963
2017-09-06,00:00:00,0.9229999999999999,1.16,0.856,0.915,12410467
2017-09-07,00:00:00,0.91679,1.0277,0.8513,0.98516,9823199
2017-09-08,00:00:00,0.98679,0.9894,0.77403,0.841,8747279
2017-09-09,00:00:00,0.8469,0.8487,0.7559999999999999,0.81,3207515
2017-09-10,00:00:00,0.81,0.81538,0.6918,0.7367,4303527
2017-09-11,00:00:00,0.7399100000000001,0.7608,0.71,0.7324,2784403
2017-09-12,00:00:00,0.7323,0.8977,0.728,0.8599,7545942
2017-09-13,00:00:00,0.8599,0.86,0.6559999999999999,0.725,7580725
2017-09-14,00:00:00,0.72624,0.7649,0.51,0.575,9198074
2017-09-15,00:00:00,0.5768,0.6779999999999999,0.50333,0.6505,7021558
2017-09-16,00:00:00,0.6506,0.68001,0.57804,0.61912,2717378
2017-09-17,00:00:00,0.6209899999999999,0.6564,0.56,0.62524,2841580
2017-09-18,00:00:00,0.6277,0.7074,0.6277,0.70372,2948151
2017-09-19,00:00:00,0.70728,0.7075,0.6414,0.64635,1659449
2017-09-20,00:00:00,0.6463399999999999,0.6521600000000001,0.6011,0.60445,2277317
2017-09-21,00:00:00,0.60445,0.6102,0.53251,0.5423,3317944
2017-09-22,00:00:00,0.54232,0.5873,0.5321,0.56642,2151005
2017-09-23,00:00:00,0.568,0.58999,0.555,0.5739,2407779
2017-09-24,00:00:00,0.5739,0.578,0.53701,0.54304,3178335
2017-09-25,00:00:00,0.5423100000000001,0.58,0.5384,0.5654,2982364
2017-09-26,00:00:00,0.5710000000000001,0.59,0.552,0.5539999999999999,2990728
2017-09-27,00:00:00,0.5581,0.6394,0.5553100000000001,0.63226,7374884
2017-09-28,00:00:00,0.63262,0.8240000000000001,0.63,0.80666,12503116
2017-09-29,00:00:00,0.80666,0.8449,0.695,0.715,8638005
2017-09-30,00:00:00,0.715,0.76,0.7049,0.72331,4072534
2017-10-01,00:00:00,0.7250800000000001,0.73039,0.6714,0.70733,3140483
2017-10-02,00:00:00,0.7134199999999999,0.7229,0.6301,0.65335,2665328
2017-10-03,00:00:00,0.65442,0.6711,0.615,0.6325,2266531
2017-10-04,00:00:00,0.63062,0.6358600000000001,0.5806,0.6019899999999999,2379177
