Date,Time,Open,High,Low,Close,Volume
2016-07-26,00:00:00,2.5,2.5,2.5,2.5,0
2016-07-27,00:00:00,2.5,3.0,1.302,1.6011,224291
2016-07-28,00:00:00,1.5901,2.0,1.36,1.7275,610357
2016-07-29,00:00:00,1.7289,1.799,1.55,1.643,494860
2016-07-30,00:00:00,1.647,1.71,1.538,1.5794,229644
2016-07-31,00:00:00,1.5783,1.934,1.5575,1.7979,590932
2016-08-01,00:00:00,1.7988,2.425,1.78,2.4109,1109413
2016-08-02,00:00:00,2.3775,2.3775,2.3775,2.3775,0
2016-08-10,00:00:00,1.7053,1.96,1.505,1.65,176763
2016-08-11,00:00:00,1.65,1.96,1.556,1.848,233142
2016-08-12,00:00:00,1.85,2.35,1.7693,1.84,208674
2016-08-13,00:00:00,1.847,1.9,1.809,1.8751,90330
2016-08-14,00:00:00,1.857,1.9837,1.8548,1.9241,186696
2016-08-15,00:00:00,1.9241,2.03,1.8256,1.853,173628
2016-08-16,00:00:00,1.853,1.895,1.7757,1.8501,48267
2016-08-17,00:00:00,1.8501,1.8717,1.6991,1.7426,122938
2016-08-18,00:00:00,1.7429,1.775,1.65,1.68,88088
2016-08-19,00:00:00,1.68,1.8126,1.6046,1.7754,155351
2016-08-20,00:00:00,1.766,1.7878,1.6721,1.75,66069
2016-08-21,00:00:00,1.75,1.7836,1.6924,1.7131,40869
2016-08-22,00:00:00,1.723,1.75,1.62,1.6602,212135
2016-08-23,00:00:00,1.679,1.6842,1.556,1.61,292339
2016-08-24,00:00:00,1.61,1.6477,1.4371,1.4413,314572
2016-08-25,00:00:00,1.4432,1.4663,1.2601,1.3728,825824
2016-08-26,00:00:00,1.367,1.4777,1.3059,1.4331,539626
2016-08-27,00:00:00,1.434,1.455,1.326,1.3495,252049
2016-08-28,00:00:00,1.3365,1.3699,1.285,1.313,365277
2016-08-29,00:00:00,1.3262,1.3422,1.2375,1.2636,518749
2016-08-30,00:00:00,1.2601,1.3564,1.1614,1.2495,1041753
2016-08-31,00:00:00,1.2456,1.295,1.16,1.1802,362896
2016-09-01,00:00:00,1.193,1.4999,1.1717,1.44,999311
2016-09-02,00:00:00,1.451,1.4765,1.3645,1.4021,305628
2016-09-03,00:00:00,1.4094,1.413,1.33,1.3656,80179
2016-09-04,00:00:00,1.3798,1.4776,1.34,1.4776,214926
2016-09-05,00:00:00,1.4431,1.5477,1.4421,1.464,144952
2016-09-06,00:00:00,1.464,1.5279,1.4423,1.4729,149221
2016-09-07,00:00:00,1.4718,1.4983,1.44,1.4876,236873
2016-09-08,00:00:00,1.487,1.5333,1.448,1.448,132041
2016-09-09,00:00:00,1.448,1.4492,1.3811,1.4011,183671
2016-09-10,00:00:00,1.4005,1.45,1.4,1.425,132392
2016-09-11,00:00:00,1.4224,1.4374,1.331,1.3438,632923
2016-09-12,00:00:00,1.3351,1.3605,1.31,1.3301,169640
2016-09-13,00:00:00,1.3301,1.3348,1.2763,1.2951,215825
2016-09-14,00:00:00,1.2907,1.3314,1.25,1.2951,212326
2016-09-15,00:00:00,1.2951,1.3122,1.2822,1.2865,120690
2016-09-16,00:00:00,1.2861,1.3408,1.279,1.3251,174980
2016-09-17,00:00:00,1.3251,1.3342,1.3073,1.3264,105030
2016-09-18,00:00:00,1.3241,1.3611,1.3218,1.3304,282225
2016-09-19,00:00:00,1.3221,1.328,1.2772,1.28,114448
2016-09-20,00:00:00,1.28,1.2801,1.2266,1.24,219921
2016-09-21,00:00:00,1.2327,1.265,1.1899,1.2257,437231
2016-09-22,00:00:00,1.22,1.3415,1.12,1.2569,495890
2016-09-23,00:00:00,1.2501,1.3,1.2075,1.2379,109742
2016-09-24,00:00:00,1.2379,1.2568,1.223,1.25,110120
2016-09-25,00:00:00,1.2464,1.2547,1.21,1.21,50420
2016-09-26,00:00:00,1.2123,1.2244,1.2,1.2022,111649
2016-09-27,00:00:00,1.2022,1.2089,1.1618,1.2,55826
2016-09-28,00:00:00,1.2,1.269,1.1912,1.2398,243298
2016-09-29,00:00:00,1.2445,1.2873,1.2271,1.27,93616
2016-09-30,00:00:00,1.27,1.2718,1.241,1.2648,55321
2016-10-01,00:00:00,1.2551,1.2653,1.1628,1.1794,68712
2016-10-02,00:00:00,1.1882,1.2199,1.17,1.19,112581
2016-10-03,00:00:00,1.192,1.22,1.16,1.2,75686
2016-10-04,00:00:00,1.2004,1.2042,1.1266,1.1638,138840
2016-10-05,00:00:00,1.159,1.23,1.155,1.1881,117009
2016-10-06,00:00:00,1.1881,1.193,1.1611,1.1758,17896
2016-10-07,00:00:00,1.1724,1.1885,1.1573,1.1687,15301
2016-10-08,00:00:00,1.179,1.1989,1.163,1.184,12731
2016-10-09,00:00:00,1.1839,1.1913,1.1659,1.1733,10847
2016-10-10,00:00:00,1.17,1.1787,1.15,1.1557,44188
2016-10-11,00:00:00,1.1563,1.181,1.1,1.1,283905
2016-10-12,00:00:00,1.1,1.1126,1.0105,1.0326,234671
