Date,Time,Open,High,Low,Close,Volume
2016-03-09,00:00:00,10.297,11.197,10.097,11.197,41
2016-03-10,00:00:00,11.072,11.85,11.072,11.75,1
2016-03-11,00:00:00,11.85,11.95,11.8,11.95,50
2016-03-12,00:00:00,11.95,13.45,11.95,12.918,237
2016-03-13,00:00:00,13.45,15.074000000000002,13.45,14.456,379
2016-03-14,00:00:00,14.531,14.95,11.4,12.403,27906
2016-03-15,00:00:00,12.42,13.421,11.98,13.1,13193
2016-03-16,00:00:00,13.1,13.89,12.409,12.548,6127
2016-03-17,00:00:00,12.548,12.62,10.436,11.06,26283
2016-03-18,00:00:00,11.08,11.198,8.338,10.99,45397
2016-03-19,00:00:00,10.99,11.17,9.776,10.573,20588
2016-03-20,00:00:00,10.589,10.880999999999998,9.559,10.268,9578
2016-03-21,00:00:00,10.219,12.048,10.14,11.8,11712
2016-03-22,00:00:00,11.819,11.967,11.075,11.201,7852
2016-03-23,00:00:00,11.222,12.429,11.201,12.42,7704
2016-03-24,00:00:00,12.44,12.47,10.679,11.18,14850
2016-03-25,00:00:00,11.231,11.353,10.52,10.661,12480
2016-03-26,00:00:00,10.661,11.2,10.58,11.012,4485
2016-03-27,00:00:00,10.981,10.981,10.172,10.407,15987
2016-03-28,00:00:00,10.446,11.938,10.4,11.7,22206
2016-03-29,00:00:00,11.777,11.883,11.365,11.658,13840
2016-03-30,00:00:00,11.615,12.3,11.5,11.848,10370
2016-03-31,00:00:00,11.864,12.015,11.29,11.386,9481
2016-04-01,00:00:00,11.390999999999998,11.942,11.390999999999998,11.624,6350
2016-04-02,00:00:00,11.65,11.765,11.425999999999998,11.658,3477
2016-04-03,00:00:00,11.61,11.76,11.4,11.61,5388
2016-04-04,00:00:00,11.61,11.665,10.880999999999998,11.15,11117
2016-04-05,00:00:00,11.104,11.108,9.7,10.468,15369
2016-04-06,00:00:00,10.47,10.962,10.2,10.62,11476
2016-04-07,00:00:00,10.692,10.847,9.405,10.137,14509
2016-04-08,00:00:00,10.06,10.34,9.6,9.71,7427
2016-04-09,00:00:00,9.72,10.197,9.0,9.137,18728
