Date,Time,Open,High,Low,Close,Volume
2016-03-09,16:00:00,10.297,10.297,10.097,10.097,0
2016-03-09,17:00:00,11.197,11.197,11.197,11.197,0
2016-03-09,18:00:00,11.097,11.097,11.097,11.097,0
2016-03-09,20:00:00,11.195,11.195,10.66,10.66,1
2016-03-09,21:00:00,10.87,11.197,10.87,11.197,40
2016-03-10,16:00:00,11.072,11.75,11.072,11.75,0
2016-03-10,17:00:00,11.85,11.85,11.75,11.75,1
2016-03-11,10:00:00,11.85,11.85,11.85,11.85,0
2016-03-11,17:00:00,11.8,11.8,11.8,11.8,0
2016-03-11,18:00:00,11.8,11.8,11.8,11.8,0
2016-03-11,21:00:00,11.95,11.95,11.85,11.95,4
2016-03-11,22:00:00,11.95,11.95,11.95,11.95,7
2016-03-11,23:00:00,11.95,11.95,11.95,11.95,39
2016-03-12,02:00:00,11.95,12.18,11.95,12.18,60
2016-03-12,03:00:00,12.207,12.75,12.207,12.75,38
2016-03-12,04:00:00,13.15,13.15,12.76,13.15,14
2016-03-12,07:00:00,13.15,13.15,13.15,13.15,14
2016-03-12,09:00:00,13.3,13.3,12.6,12.6,6
2016-03-12,12:00:00,13.35,13.45,13.331,13.385,101
2016-03-12,18:00:00,12.918,12.918,12.918,12.918,2
2016-03-13,00:00:00,13.45,13.85,13.45,13.85,195
2016-03-13,01:00:00,13.85,13.95,13.85,13.95,14
2016-03-13,10:00:00,14.55,14.55,14.55,14.55,1
2016-03-13,12:00:00,14.286,14.286,14.286,14.286,0
2016-03-13,15:00:00,13.989,13.989,13.989,13.989,0
2016-03-13,19:00:00,14.55,14.55,14.55,14.55,48
2016-03-13,20:00:00,14.85,15.0,14.85,15.0,108
2016-03-13,21:00:00,15.074,15.074,15.074,15.074,1
2016-03-13,23:00:00,14.84,14.84,14.456,14.456,9
2016-03-14,00:00:00,14.531,14.531,11.4,11.4,8
2016-03-14,01:00:00,12.81,13.162,12.298,12.965,14
2016-03-14,02:00:00,13.303,13.303,13.303,13.303,1
2016-03-14,09:00:00,13.25,13.25,13.1,13.1,19
2016-03-14,10:00:00,13.1,13.1,13.0,13.0,5
2016-03-14,11:00:00,13.4,13.659,13.4,13.47,177
2016-03-14,12:00:00,13.55,14.2,13.35,14.2,3167
2016-03-14,13:00:00,14.22,14.25,13.65,14.0,1796
2016-03-14,14:00:00,14.0,14.02,13.6,13.6,4249
2016-03-14,15:00:00,13.561,13.88,13.561,13.71,910
2016-03-14,16:00:00,13.718,13.799,13.68,13.68,1116
2016-03-14,17:00:00,13.78,13.976,13.78,13.9,428
2016-03-14,18:00:00,13.9,14.746,13.9,14.746,1074
2016-03-14,19:00:00,14.751,14.95,13.35,13.655,3737
2016-03-14,20:00:00,13.565,13.909,13.5,13.743,590
2016-03-14,21:00:00,13.708,13.862,13.3,13.3,530
