Date,Time,Open,High,Low,Close,Volume
2016-03-09,16:00:00,10.297,10.297,10.097,10.097,0
2016-03-09,17:30:00,11.197,11.197,11.197,11.197,0
2016-03-09,18:30:00,11.097,11.097,11.097,11.097,0
2016-03-09,20:00:00,11.195,11.195,10.66,10.66,1
2016-03-09,21:30:00,10.87,11.197,10.87,11.197,40
2016-03-10,16:00:00,11.072,11.75,11.072,11.75,0
2016-03-10,17:30:00,11.85,11.85,11.75,11.75,1
2016-03-11,10:30:00,11.85,11.85,11.85,11.85,0
2016-03-11,17:00:00,11.8,11.8,11.8,11.8,0
2016-03-11,18:30:00,11.8,11.8,11.8,11.8,0
2016-03-11,21:30:00,11.95,11.95,11.85,11.95,4
2016-03-11,22:00:00,11.95,11.95,11.95,11.95,2
2016-03-11,22:30:00,11.95,11.95,11.95,11.95,4
2016-03-11,23:00:00,11.95,11.95,11.95,11.95,39
2016-03-12,02:00:00,11.95,12.15,11.95,12.15,5
2016-03-12,02:30:00,12.15,12.18,12.15,12.18,54
2016-03-12,03:00:00,12.207,12.208,12.207,12.208,23
2016-03-12,03:30:00,12.536,12.75,12.536,12.75,15
2016-03-12,04:30:00,13.15,13.15,12.76,13.15,14
2016-03-12,07:00:00,13.15,13.15,13.15,13.15,1
2016-03-12,07:30:00,13.15,13.15,13.15,13.15,13
2016-03-12,09:30:00,13.3,13.3,12.6,12.6,6
2016-03-12,12:30:00,13.35,13.45,13.331,13.385,101
2016-03-12,18:30:00,12.918,12.918,12.918,12.918,2
2016-03-13,00:00:00,13.45,13.55,13.45,13.55,47
2016-03-13,00:30:00,13.55,13.85,13.55,13.85,147
2016-03-13,01:00:00,13.85,13.95,13.85,13.95,14
2016-03-13,10:00:00,14.55,14.55,14.55,14.55,1
2016-03-13,12:00:00,14.286,14.286,14.286,14.286,0
2016-03-13,15:00:00,13.989,13.989,13.989,13.989,0
2016-03-13,19:30:00,14.55,14.55,14.55,14.55,48
2016-03-13,20:00:00,14.85,15.0,14.85,15.0,108
2016-03-13,21:00:00,15.074000000000002,15.074000000000002,15.074000000000002,15.074000000000002,1
2016-03-13,23:30:00,14.84,14.84,14.456,14.456,9
2016-03-14,00:00:00,14.531,14.531,14.509,14.509,2
2016-03-14,00:30:00,13.687,13.687,11.4,11.4,6
2016-03-14,01:00:00,12.81,12.962,12.298,12.812,10
2016-03-14,01:30:00,13.162,13.162,12.965,12.965,4
2016-03-14,02:30:00,13.303,13.303,13.303,13.303,1
2016-03-14,09:00:00,13.25,13.25,13.2,13.2,10
2016-03-14,09:30:00,13.15,13.15,13.1,13.1,9
2016-03-14,10:00:00,13.1,13.1,13.0,13.0,5
2016-03-14,11:30:00,13.4,13.659,13.4,13.47,177
2016-03-14,12:00:00,13.55,14.0,13.35,13.82,1509
2016-03-14,12:30:00,13.82,14.2,13.82,14.2,1657
2016-03-14,13:00:00,14.22,14.25,13.65,13.893,1723
2016-03-14,13:30:00,14.05,14.05,13.85,14.0,72
2016-03-14,14:00:00,14.0,14.02,13.65,13.677,935
2016-03-14,14:30:00,13.677,13.84,13.6,13.6,3313
