Date,Time,Open,High,Low,Close,Volume
2013-05-19,00:00:00,3.1491,3.1491,3.1491,3.1491,12
2013-05-22,00:00:00,2.99,3.13,2.99,2.99,15
2013-05-23,00:00:00,3.13,3.3,3.05,3.05,205
2013-05-24,00:00:00,3.04,3.09,2.99,3.05,652
2013-05-25,00:00:00,3.05,3.29,2.88,3.05,344
2013-05-26,00:00:00,3.05,3.3,3.01,3.15,559
2013-05-27,00:00:00,3.15,3.15,3.15,3.15,7
2013-05-28,00:00:00,3.15,3.15,2.99,3.05,141
2013-05-29,00:00:00,3.05,3.07,2.91,3.069,50
2013-05-30,00:00:00,3.05,3.05,2.88,2.88,1004
2013-05-31,00:00:00,3.049,3.049,2.72,2.72,459
2013-06-01,00:00:00,2.72,2.83,2.68,2.83,6
2013-06-02,00:00:00,2.83,2.83,2.7,2.83,387
2013-06-03,00:00:00,2.83,2.83,2.68,2.83,231
2013-06-04,00:00:00,2.8,2.83,2.8,2.83,131
2013-06-05,00:00:00,2.9898,3.92,2.76,2.8,3026
2013-06-06,00:00:00,2.8001,2.82,2.8,2.81,5
2013-06-07,00:00:00,2.77,2.97,2.62,2.97,68
2013-06-08,00:00:00,2.62,2.62,2.6,2.6,206
2013-06-09,00:00:00,2.6,2.6,2.31,2.31,965
2013-06-10,00:00:00,2.5011,2.5011,2.25,2.25,125
2013-06-11,00:00:00,2.55,2.55,2.31,2.4599,112
2013-06-12,00:00:00,2.3611,2.5,2.35,2.35,55
2013-06-13,00:00:00,2.35,2.98,2.25,2.4,101
2013-06-14,00:00:00,2.25,2.3,2.2,2.3,69
2013-06-15,00:00:00,2.14,2.25,2.13,2.16,45
2013-06-16,00:00:00,2.14,2.15,2.092,2.15,71
2013-06-17,00:00:00,2.092,2.59,2.07,2.59,20
2013-06-18,00:00:00,2.2,2.37810101,2.16,2.37810101,66
2013-06-19,00:00:00,2.15,2.36,2.15,2.36,52
2013-06-20,00:00:00,2.16,2.36,2.1101001,2.2,92
2013-06-21,00:00:00,2.1101001,3.39,2.08,2.44,1749
2013-06-22,00:00:00,2.8,3.47,2.57,3.01,2187
2013-06-23,00:00:00,2.73,3.47,2.7,2.9989999999999997,858
2013-06-24,00:00:00,2.99,2.99,1.0,2.09,2552
2013-06-25,00:00:00,2.64,2.75,2.38,2.401,272
2013-06-26,00:00:00,2.62,20.0,0.01,2.36,22429
2013-06-27,00:00:00,2.76,2.79,2.7,2.74,1291
2013-06-28,00:00:00,2.74,2.75,2.35,2.35,1619
2013-06-29,00:00:00,2.5,2.56,2.19,2.31,956
2013-06-30,00:00:00,2.31,2.65,2.31,2.6002,2787
2013-07-01,00:00:00,2.63,3.0,2.411,2.6639999999999997,5031
2013-07-02,00:00:00,2.68,2.79,2.61,2.61,614
2013-07-03,00:00:00,2.73,2.9,2.45,2.45,917
2013-07-04,00:00:00,2.64,2.7,2.45,2.6599,349
2013-07-05,00:00:00,2.49,2.49,2.3,2.3,1996
2013-07-06,00:00:00,2.35,2.35,2.3,2.3,798
2013-07-07,00:00:00,2.3,2.55,2.3,2.5,1864
2013-07-08,00:00:00,2.5,2.65,2.3055,2.3501,582
2013-07-09,00:00:00,2.65,2.65,2.65,2.65,3
2013-07-10,00:00:00,2.42,2.8,2.42,2.8,1928
2013-07-11,00:00:00,2.58,2.8,2.55,2.7,130
2013-07-12,00:00:00,2.58,2.84,2.58,2.655,319
2013-07-13,00:00:00,2.655,2.655,2.59,2.59,184
2013-07-14,00:00:00,2.56,2.56,2.56,2.56,8
2013-07-15,00:00:00,2.7,2.77,2.7,2.74,398
2013-07-16,00:00:00,2.787,2.9,2.787,2.83,905
2013-07-17,00:00:00,2.85,2.9,2.6,2.82,464
2013-07-18,00:00:00,2.81,2.9,2.6,2.6010000000000004,1079
2013-07-19,00:00:00,2.798,2.9,2.798,2.799,1917
2013-07-20,00:00:00,2.799,2.8,2.799,2.8,16
2013-07-21,00:00:00,2.6510000000000002,2.6510000000000002,2.6510000000000002,2.6510000000000002,1
2013-07-22,00:00:00,2.6510000000000002,2.9,2.6510000000000002,2.9,637
2013-07-23,00:00:00,2.8,2.8,2.71,2.71,23
2013-07-24,00:00:00,2.701,2.84,2.7,2.84,79
2013-07-25,00:00:00,2.93,3.094,2.7030000000000003,2.72,167
2013-07-26,00:00:00,2.75,2.75,2.7,2.7,61
2013-07-28,00:00:00,2.701,2.86,2.65,2.86,235
2013-07-29,00:00:00,2.65,2.65,2.65,2.65,120
2013-07-30,00:00:00,2.67,2.67,2.59,2.59,1028
2013-07-31,00:00:00,2.72,2.78,2.58,2.58,407
2013-08-01,00:00:00,2.6,2.6,2.6,2.6,5
2013-08-02,00:00:00,2.66,2.68,2.6,2.67,1015
2013-08-03,00:00:00,2.66,2.67,2.66,2.67,40
2013-08-04,00:00:00,2.67,2.75,2.67,2.705,2042
2013-08-05,00:00:00,2.71,2.71,2.5,2.64,1948
2013-08-06,00:00:00,2.635,2.65,2.635,2.65,222
2013-08-07,00:00:00,2.57,2.57,2.51,2.51,113
2013-08-08,00:00:00,2.4855,2.59,2.45,2.59,174
2013-08-09,00:00:00,2.45,2.45,2.45,2.45,296
2013-08-10,00:00:00,2.43,2.43,2.3,2.32,1162
2013-08-11,00:00:00,2.35,2.4,2.3,2.3,2502
2013-08-12,00:00:00,2.31,2.4,2.3,2.31,793
2013-08-13,00:00:00,2.3,2.48,2.3,2.48,31
2013-08-14,00:00:00,2.48,2.48,2.34,2.39,48
2013-08-15,00:00:00,2.39,2.41,2.37,2.41,179
2013-08-16,00:00:00,2.37,2.37,2.37,2.37,0
2013-08-17,00:00:00,2.38,2.38,2.38,2.38,1
2013-08-18,00:00:00,2.401,2.41,2.39,2.39,576
2013-08-19,00:00:00,2.41,2.45,2.35,2.36,406
2013-08-20,00:00:00,2.4,2.4,2.33,2.33,90
2013-08-21,00:00:00,2.35,2.4,2.31,2.37,1057
2013-08-22,00:00:00,2.75,2.75,2.3,2.35,1836
2013-08-23,00:00:00,2.47,2.55,2.46,2.55,1162
2013-08-24,00:00:00,2.5,2.5,2.4,2.4,695
2013-08-25,00:00:00,2.4,2.73,2.3,2.3,4105
2013-08-26,00:00:00,2.6,2.6,2.35,2.48,99
2013-08-27,00:00:00,2.35,2.46,2.31,2.3201,654
2013-08-28,00:00:00,2.34,2.5,2.34,2.3901,1107
2013-08-29,00:00:00,2.4001,2.5,2.385,2.3901,618
2013-08-30,00:00:00,2.48,2.48,2.4,2.4001,185
2013-08-31,00:00:00,2.41,2.45,2.4001,2.41,609
