Date,Time,Open,High,Low,Close,Volume
2017-09-07,08:30:00,22.3,22.3,22.3,22.3,1
2017-09-07,10:00:00,24.5,28.797,24.5,28.797,13324
2017-09-07,10:30:00,28.799,30.98,28.211,29.8,36119
2017-09-07,11:00:00,29.897,29.989,28.4,29.499,14468
2017-09-07,11:30:00,29.499,34.0,29.0,33.397,16717
2017-09-07,12:00:00,33.397,39.8,32.6,34.0,25913
2017-09-07,12:30:00,34.0,34.8,31.233,34.11,11817
2017-09-07,13:00:00,34.2,37.0,32.8,34.0,16248
2017-09-07,13:30:00,34.39,34.5,31.7,33.987,9350
2017-09-07,14:00:00,33.401,34.2,32.01,33.0,8556
2017-09-07,14:30:00,32.9,33.0,30.711,30.8,10272
2017-09-07,15:00:00,30.75,31.48,29.7,31.364,9303
2017-09-07,15:30:00,31.364,31.9,30.615,31.128,7403
2017-09-07,16:00:00,31.2,31.599,28.2,28.615,16186
2017-09-07,16:30:00,28.982,30.4,28.453,29.457,9310
2017-09-07,17:00:00,29.6,30.0,28.52,28.724,5761
2017-09-07,17:30:00,28.874,29.239,28.2,28.2,2776
2017-09-07,18:00:00,28.144,30.0,28.144,29.649,6885
2017-09-07,18:30:00,29.405,29.646,28.5,29.364,4625
2017-09-07,19:00:00,29.192,29.869,28.997,29.75,2245
2017-09-07,19:30:00,29.75,31.308,29.601,31.08,11507
2017-09-07,20:00:00,31.09,32.114,30.081,30.3,12413
2017-09-07,20:30:00,30.3,30.849,29.55,29.87,7424
2017-09-07,21:00:00,30.204,30.204,29.001,29.2,4256
2017-09-07,21:30:00,29.21,30.094,29.2,29.799,3237
2017-09-07,22:00:00,29.768,30.508,29.21,30.421,2503
2017-09-07,22:30:00,30.59,31.08,29.986,30.411,1136
2017-09-07,23:00:00,30.411,31.637,30.004,30.799,3383
2017-09-07,23:30:00,30.848,31.35,30.484,31.15,4447
2017-09-08,00:00:00,31.003,31.15,29.799,29.822,1807
2017-09-08,00:30:00,29.826,30.49,29.689,30.2,3171
2017-09-08,01:00:00,30.198,30.848,29.666,30.813,2232
2017-09-08,01:30:00,30.674,30.675,30.2,30.567,473
2017-09-08,02:00:00,30.498,30.713,29.65,29.9,2960
2017-09-08,02:30:00,29.657,30.017,28.607,29.438,2288
2017-09-08,03:00:00,29.438,29.787,28.896,29.729,818
2017-09-08,03:30:00,29.8,30.2,28.9,29.204,6783
2017-09-08,04:00:00,29.204,29.8,28.602,29.8,2353
2017-09-08,04:30:00,29.8,29.835,29.5,29.504,421
2017-09-08,05:00:00,29.73,31.39,29.73,30.599,1736
2017-09-08,05:30:00,30.55,30.723,30.15,30.55,1881
2017-09-08,06:00:00,30.501,30.501,29.501,29.755,2334
2017-09-08,06:30:00,29.73,30.45,29.73,30.19,2234
2017-09-08,07:00:00,30.45,30.644,29.8,29.81,1258
2017-09-08,07:30:00,29.8,30.299,29.714,30.058,1180
2017-09-08,08:00:00,30.044,30.064,29.8,29.998,902
2017-09-08,08:30:00,29.935,30.298,29.5,29.741,2697
2017-09-08,09:00:00,29.729,30.1,29.121,29.796,12758
2017-09-08,09:30:00,29.797,30.05,29.588,29.98,824
2017-09-08,10:00:00,29.98,30.7,29.819,30.0,4286
2017-09-08,10:30:00,30.0,30.8,29.9,30.151,8918
2017-09-08,11:00:00,30.18,31.14,29.8,29.9,8294
2017-09-08,11:30:00,29.992,30.4,29.61,29.62,9471
2017-09-08,12:00:00,29.57,29.888,29.3,29.3,2061
2017-09-08,12:30:00,29.447,30.25,29.1,29.591,2000
2017-09-08,13:00:00,29.591,29.637,28.156,28.156,3477
2017-09-08,13:30:00,28.18,28.25,25.993,26.65,24354
2017-09-08,14:00:00,26.65,26.68,23.5,25.302,22318
2017-09-08,14:30:00,25.302,29.8,25.1,27.262,14948
2017-09-08,15:00:00,27.305,27.305,25.0,26.0,11246
2017-09-08,15:30:00,25.85,26.5,24.6,26.396,18915
2017-09-08,16:00:00,26.3,26.828,25.343,26.16,14431
2017-09-08,16:30:00,26.193,26.5,25.2,25.3,8288
2017-09-08,17:00:00,25.3,26.1,25.202,25.849,4429
2017-09-08,17:30:00,25.759,25.76,24.752,24.851,6898
2017-09-08,18:00:00,25.08,25.5,24.6,25.2,4275
2017-09-08,18:30:00,25.201,25.25,24.317,24.35,5199
2017-09-08,19:00:00,24.35,24.8,24.3,24.8,4899
2017-09-08,19:30:00,24.75,24.8,23.0,23.303,11482
2017-09-08,20:00:00,23.303,23.634,22.32,23.489,21278
2017-09-08,20:30:00,23.15,24.322,22.6,24.32,4478
2017-09-08,21:00:00,24.021,24.058,22.847,23.109,4428
2017-09-08,21:30:00,23.098,26.434,22.931,24.325,6406
2017-09-08,22:00:00,24.408,25.305,24.044,24.6,2907
2017-09-08,22:30:00,24.7,26.0,24.537,25.871,3117
2017-09-08,23:00:00,25.899,26.27,25.4,25.425,8024
2017-09-08,23:30:00,25.75,26.183,25.401,25.89,4090
2017-09-09,00:00:00,25.89,25.902,24.675,25.221,3400
2017-09-09,00:30:00,25.22,25.39,24.468,24.897,948
2017-09-09,01:00:00,24.52,24.52,24.013,24.108,2787
2017-09-09,01:30:00,24.102,24.356,23.606,23.9,2816
2017-09-09,02:00:00,23.622,24.372,23.17,23.5,2738
2017-09-09,02:30:00,23.441,24.47,23.089,24.201,1703
2017-09-09,03:00:00,24.201,24.998,23.994,24.0,2212
2017-09-09,03:30:00,23.93,24.7,23.926,24.112,3276
2017-09-09,04:00:00,24.364,24.565,23.801,23.852,1693
2017-09-09,04:30:00,23.911,24.337,23.91,24.028,846
