Date,Time,Open,High,Low,Close,Volume
2015-01-15,00:00:00,191.99,224.0,150.0,204.22,2
2015-01-16,00:00:00,210.98,225.5,189.0,199.46,4
2015-01-17,00:00:00,210.0,210.0,184.0,184.0,0
2015-01-19,00:00:00,210.0,225.51,210.0,225.51,0
2015-01-20,00:00:00,215.0,218.0,208.0,218.0,0
2015-01-21,00:00:00,219.0,225.51,219.0,225.51,0
2015-01-22,00:00:00,245.5,257.73,216.59,226.32,4
2015-01-23,00:00:00,230.0,235.0,215.0,235.0,0
2015-01-24,00:00:00,215.0,250.58,215.0,240.0,1
2015-01-25,00:00:00,248.02,256.26,245.32,254.53,478
2015-01-26,00:00:00,262.78,322.72,241.43,274.48,5180
2015-01-27,00:00:00,274.73,278.47,244.03,263.65,1630
2015-01-28,00:00:00,263.96,265.99,228.5,236.09,5339
2015-01-29,00:00:00,235.89,242.0,221.14,235.03,6637
2015-01-30,00:00:00,235.0,244.59,227.89,229.07,5774
2015-01-31,00:00:00,229.0,234.67,217.11,218.45,5595
2015-02-01,00:00:00,218.67,233.79,210.0,228.99,7233
2015-02-02,00:00:00,228.39,240.1,220.89,237.83,7451
2015-02-03,00:00:00,237.01,243.9,225.32,228.58,8321
2015-02-04,00:00:00,228.77,230.99,221.5,227.11,9147
2015-02-05,00:00:00,227.11,228.9,215.0,216.76,7405
2015-02-06,00:00:00,216.84,226.64,216.03,223.2,5693
2015-02-07,00:00:00,223.2,230.5,222.67,229.0,4099
2015-02-08,00:00:00,229.16,231.6,220.0,223.99,4294
2015-02-09,00:00:00,224.01,225.0,216.45,221.1,6549
2015-02-10,00:00:00,221.13,222.0,215.0,220.87,5397
2015-02-11,00:00:00,221.07,223.61,217.46,219.81,8986
2015-02-12,00:00:00,219.96,224.61,218.0,223.21,7833
2015-02-13,00:00:00,223.2,242.36,221.55,236.49,15257
2015-02-14,00:00:00,236.92,259.98,236.08,256.66,15320
2015-02-15,00:00:00,256.66,267.86,228.0,235.54,16940
2015-02-16,00:00:00,235.54,241.0,229.6,234.68,10505
2015-02-17,00:00:00,234.41,248.0,233.0,244.82,16806
2015-02-18,00:00:00,244.9,246.0,231.93,237.49,12926
2015-02-19,00:00:00,237.49,245.0,235.58,240.9,9467
2015-02-20,00:00:00,241.11,248.32,239.99,245.34,11201
2015-02-21,00:00:00,245.34,248.43,244.0,245.99,6213
2015-02-22,00:00:00,245.72,247.48,234.01,236.83,8279
2015-02-23,00:00:00,236.83,240.97,232.0,239.49,10028
2015-02-24,00:00:00,239.49,241.91,235.51,239.87,8923
2015-02-25,00:00:00,239.87,241.0,235.1,238.19,7840
2015-02-26,00:00:00,238.21,238.47,234.33,237.11,8549
2015-02-27,00:00:00,237.21,259.0,236.29,254.42,20701
2015-02-28,00:00:00,254.42,256.97,250.0,255.59,7486
2015-03-01,00:00:00,255.73,262.0,244.88,260.24,10419
2015-03-02,00:00:00,260.29,279.8,256.6,276.7,18215
2015-03-03,00:00:00,276.79,289.5,267.07,283.27,18829
2015-03-04,00:00:00,283.09,287.0,267.39,273.37,14753
2015-03-05,00:00:00,273.38,281.09,262.49,276.86,11638
2015-03-06,00:00:00,276.54,280.0,269.12,273.23,10144
2015-03-07,00:00:00,273.22,279.44,270.55,276.89,6221
2015-03-08,00:00:00,276.86,278.97,270.29,275.5,5138
2015-03-09,00:00:00,275.47,294.42,275.0,290.19,13736
2015-03-10,00:00:00,290.2,299.48,289.82,293.47,16271
2015-03-11,00:00:00,293.46,297.8,290.51,296.99,9776
2015-03-12,00:00:00,296.98,298.9,291.87,296.05,9640
2015-03-13,00:00:00,295.87,296.43,284.0,284.0,12043
2015-03-14,00:00:00,284.37,289.0,280.86,283.95,7282
2015-03-15,00:00:00,283.77,289.24,282.5,288.0,4415
2015-03-16,00:00:00,287.99,294.99,287.41,292.37,8869
2015-03-17,00:00:00,292.36,293.69,284.01,286.74,7791
2015-03-18,00:00:00,286.63,287.0,250.0,258.5,18679
2015-03-19,00:00:00,258.62,266.8,249.2,263.05,16404
2015-03-20,00:00:00,263.06,267.42,259.31,263.31,7566
2015-03-21,00:00:00,263.31,263.62,256.66,261.9,6016
2015-03-22,00:00:00,261.57,271.27,259.71,269.45,5819
2015-03-23,00:00:00,269.25,273.99,260.81,267.53,13635
2015-03-24,00:00:00,267.54,268.51,244.86,246.15,17690
2015-03-25,00:00:00,246.29,249.99,234.51,246.88,11846
2015-03-26,00:00:00,246.99,254.9,244.92,249.88,10904
2015-03-27,00:00:00,249.76,250.99,246.44,247.81,8447
2015-03-28,00:00:00,247.93,254.99,247.81,253.52,5888
2015-03-29,00:00:00,253.6,254.0,241.0,243.69,8522
2015-03-30,00:00:00,243.6,250.06,237.94,248.78,11491
2015-03-31,00:00:00,248.78,249.98,242.87,245.5,8102
2015-04-01,00:00:00,245.5,248.22,241.07,247.87,9892
2015-04-02,00:00:00,247.5,255.24,245.8,254.39,8681
2015-04-03,00:00:00,254.79,257.43,252.59,254.84,7181
2015-04-04,00:00:00,255.0,256.6,251.26,254.36,4316
2015-04-05,00:00:00,254.37,262.0,252.06,261.47,5194
2015-04-06,00:00:00,261.49,263.0,255.0,256.85,7500
2015-04-07,00:00:00,256.84,258.7,253.45,254.27,7876
2015-04-08,00:00:00,254.23,255.75,244.29,246.58,7494
