Date,Time,Open,High,Low,Close,Volume
2016-05-20,00:30:00,14.82,14.82,14.82,14.82,16
2016-05-20,15:00:00,13.72,13.72,13.71,13.71,200
2016-05-20,16:30:00,13.91,13.91,13.91,13.91,10
2016-05-20,20:00:00,14.15,14.17,14.15,14.17,28
2016-05-23,14:00:00,13.86,13.86,13.85,13.85,180
2016-05-23,22:00:00,13.91,13.91,13.91,13.91,0
2016-05-23,23:45:00,13.61,13.61,13.61,13.61,0
2016-05-24,00:00:00,13.68,13.74,13.68,13.74,1
2016-05-24,07:45:00,13.62,13.62,13.25,13.25,1
2016-05-24,15:30:00,13.14,13.14,13.14,13.14,10
2016-05-24,16:00:00,13.14,13.14,13.13,13.14,46
2016-05-24,17:15:00,13.13,13.13,12.0,12.0,52
2016-05-24,17:45:00,12.62,12.62,12.62,12.62,3
2016-05-24,18:30:00,12.83,12.83,12.12,12.83,70
2016-05-24,19:00:00,12.69,12.88,12.69,12.88,322
2016-05-24,19:15:00,12.88,13.15,12.87,13.1,542
2016-05-24,19:30:00,13.1,13.13,13.1,13.12,21
2016-05-24,19:45:00,13.0,13.01,12.54,12.87,518
2016-05-24,20:00:00,12.57,12.6,12.55,12.55,28
2016-05-24,20:15:00,12.54,12.86,12.4,12.86,327
2016-05-24,20:30:00,12.86,12.86,12.61,12.61,2
2016-05-24,20:45:00,13.11,13.11,13.11,13.11,0
2016-05-24,21:00:00,13.0,13.0,13.0,13.0,10
2016-05-24,21:15:00,13.01,13.02,13.01,13.02,125
2016-05-24,21:30:00,13.02,13.02,13.0,13.0,20
2016-05-24,21:45:00,13.0,13.0,13.0,13.0,76
2016-05-24,22:00:00,12.9,12.99,12.8,12.99,11
2016-05-24,22:15:00,12.98,12.98,12.98,12.98,10
2016-05-24,22:30:00,12.98,13.05,12.85,13.05,73
2016-05-24,22:45:00,13.05,13.05,13.05,13.05,1
2016-05-24,23:00:00,13.04,13.04,12.85,12.85,458
2016-05-24,23:30:00,13.0,13.0,13.0,13.0,0
2016-05-24,23:45:00,13.0,13.0,12.77,12.77,15
2016-05-25,00:00:00,13.0,13.0,12.82,13.0,125
2016-05-25,00:30:00,13.0,13.0,13.0,13.0,18
2016-05-25,01:00:00,13.0,13.0,13.0,13.0,12
2016-05-25,01:15:00,13.0,13.18,13.0,13.18,1057
2016-05-25,01:30:00,13.15,13.17,13.14,13.17,1000
2016-05-25,01:45:00,13.11,13.11,12.88,12.88,20
2016-05-25,02:00:00,12.92,12.92,12.92,12.92,1
2016-05-25,02:15:00,12.96,12.97,12.96,12.97,22
