Date,Time,Open,High,Low,Close,Volume
2016-05-20,00:00:00,14.82,14.82,13.71,14.17,254
2016-05-23,00:00:00,13.86,13.91,13.61,13.61,180
2016-05-24,00:00:00,13.68,13.74,12.0,12.77,2753
2016-05-25,00:00:00,13.0,13.18,11.93,12.61,9697
2016-05-26,00:00:00,12.61,12.95,12.15,12.47,2989
2016-05-27,00:00:00,12.47,12.47,10.25,10.98,19334
2016-05-28,00:00:00,11.3,12.44,10.7,12.02,15681
2016-05-29,00:00:00,12.02,12.49,11.7,12.34,3387
2016-05-30,00:00:00,12.35,12.88,12.0,12.88,4135
2016-05-31,00:00:00,12.84,14.24,12.37,14.16,5807
2016-06-01,00:00:00,14.15,14.45,13.5,13.93,10399
2016-06-02,00:00:00,13.93,14.18,13.76,14.03,8053
2016-06-03,00:00:00,14.03,14.12,13.49,13.98,13008
2016-06-04,00:00:00,13.98,14.03,13.56,13.95,6261
2016-06-05,00:00:00,13.97,14.06,13.8,14.04,1959
2016-06-06,00:00:00,14.02,14.3,13.83,14.22,5140
2016-06-07,00:00:00,14.21,14.69,13.97,14.52,13018
2016-06-08,00:00:00,14.53,14.87,14.4,14.64,12612
2016-06-09,00:00:00,14.64,14.85,14.55,14.71,8228
2016-06-10,00:00:00,14.61,14.74,13.76,13.91,17343
2016-06-11,00:00:00,13.93,14.29,13.86,14.1,7584
2016-06-12,00:00:00,14.14,15.91,13.92,15.58,20345
2016-06-13,00:00:00,15.91,17.93,15.49,17.89,24139
2016-06-14,00:00:00,17.86,19.08,16.96,18.79,35354
2016-06-15,00:00:00,18.79,18.81,17.89,18.42,13615
2016-06-16,00:00:00,18.51,21.35,18.5,20.99,34254
2016-06-17,00:00:00,20.99,22.0,13.75,15.65,123086
2016-06-18,00:00:00,15.64,15.74,10.0,11.64,80852
2016-06-19,00:00:00,11.55,13.4,10.72,12.35,28851
2016-06-20,00:00:00,12.35,12.74,10.8,11.81,34641
2016-06-21,00:00:00,11.44,13.89,11.2,13.89,32071
2016-06-22,00:00:00,13.3,15.89,13.07,13.18,68057
2016-06-23,00:00:00,13.18,14.5,12.68,13.81,34442
