Date,Time,Open,High,Low,Close,Volume
2017-12-29,16:00:00,14568.05,14850.0,12000.58,12460.0,10148
2017-12-30,16:00:00,12460.0,13443.51,11800.0,13284.18,8294
2017-12-31,16:00:00,13249.25,14050.0,12749.87,13210.39,7901
2018-01-01,16:00:00,13210.39,13850.0,12968.06,13659.53,7072
2018-01-02,16:00:00,13659.5,15277.02,13634.98,14940.02,7984
2018-01-03,16:00:00,14960.88,15280.0,14118.0,14445.98,7872
2018-01-04,16:00:00,14441.85,16278.56,14350.0,16099.6,7231
2018-01-05,16:00:00,16114.99,17157.48,16099.98,16498.0,9429
2018-01-06,16:00:00,16498.0,17150.0,16235.57,16510.06,6708
2018-01-07,16:00:00,16510.04,16510.06,13433.0,14350.05,10681
2018-01-08,16:00:00,14350.1,15351.01,14118.0,14699.99,9029
2018-01-09,16:00:00,14699.85,15078.55,13400.01,14274.39,8950
2018-01-10,16:00:00,14314.38,14886.86,12688.0,13929.1,11518
2018-01-11,16:00:00,13929.15,14174.94,12800.0,13406.75,8346
2018-01-12,16:00:00,13406.75,14545.18,13202.55,14279.87,8559
2018-01-13,16:00:00,14279.92,14400.0,12706.12,12963.05,8673
2018-01-14,16:00:00,12977.49,14196.0,12780.21,13943.99,9000
2018-01-15,16:00:00,13943.99,14005.0,10999.0,11949.82,14110
2018-01-16,16:00:00,11928.17,11949.0,9100.0,9380.11,21225
2018-01-17,16:00:00,9380.11,11761.01,9380.0,11624.99,17913
2018-01-18,16:00:00,11621.27,11888.0,10592.0,11440.96,11387
2018-01-19,16:00:00,11461.15,12760.0,11057.88,12500.0,9127
2018-01-20,16:00:00,12500.0,12980.0,11500.0,11502.0,9242
2018-01-21,16:00:00,11502.0,11865.0,10260.0,10391.98,9353
2018-01-22,16:00:00,10399.0,10970.4,10000.0,10724.79,9949
2018-01-23,16:00:00,10724.79,11490.2,10350.0,11066.1,13203
2018-01-24,16:00:00,11077.57,12000.0,10872.05,11058.06,12261
2018-01-25,16:00:00,11058.0,11672.49,10368.06,11050.17,13961
2018-01-26,16:00:00,11050.17,11445.85,10790.0,11438.91,8239
2018-01-27,16:00:00,11438.87,12274.25,11320.0,11779.0,9020
2018-01-28,16:00:00,11778.98,11942.22,11132.0,11368.21,6833
2018-01-29,16:00:00,11368.21,11450.38,10243.41,10383.51,7433
2018-01-30,16:00:00,10397.95,10550.0,9699.99,10031.55,13852
2018-01-31,16:00:00,10045.74,10300.31,9266.0,9369.71,17233
2018-02-01,16:00:00,9369.61,9550.0,8028.0,9055.0,29170
2018-02-02,16:00:00,9054.95,9495.0,8250.0,9150.0,17592
2018-02-03,16:00:00,9150.0,9440.15,8357.7,8416.7,14133
2018-02-04,16:00:00,8422.99,8580.0,7213.13,7425.42,23669
2018-02-05,16:00:00,7425.37,7516.77,6051.19,7274.99,46288
2018-02-06,16:00:00,7276.21,8525.0,6805.0,8165.59,28421
2018-02-07,16:00:00,8164.03,8650.0,7568.0,8241.33,17443
2018-02-08,16:00:00,8257.83,8495.05,7738.61,8345.0,12278
2018-02-09,16:00:00,8346.66,9044.0,8288.0,8329.79,12477
2018-02-10,16:00:00,8329.69,8578.93,7828.22,8440.0,13341
2018-02-11,16:00:00,8439.52,8837.75,8028.28,8646.66,10794
2018-02-12,16:00:00,8645.0,8960.09,8366.0,8484.89,9149
2018-02-13,16:00:00,8477.11,9289.0,8475.42,9289.0,10629
2018-02-14,16:00:00,9289.0,9910.0,9155.05,9792.32,11660
2018-02-15,16:00:00,9792.32,10297.69,9632.1,10030.01,11329
2018-02-16,16:00:00,10025.92,10880.84,9861.38,10737.28,11958
2018-02-17,16:00:00,10737.57,11269.9,10088.0,10562.01,14408
2018-02-18,16:00:00,10600.92,11268.19,10311.15,11194.0,11199
2018-02-19,16:00:00,11199.09,11700.95,10925.0,11519.43,10226
2018-02-20,16:00:00,11519.42,11785.0,10420.0,10550.17,14493
2018-02-21,16:00:00,10550.0,10911.0,9749.93,9988.0,17285
2018-02-22,16:00:00,9988.0,10420.0,9568.0,10290.0,15283
2018-02-23,16:00:00,10286.65,10500.0,9565.0,9760.0,13212
2018-02-24,16:00:00,9761.09,9838.26,9280.04,9390.0,11355
2018-02-25,16:00:00,9385.0,10327.98,9280.09,10267.97,12629
2018-02-26,16:00:00,10267.98,10856.98,10130.0,10574.23,13698
2018-02-27,16:00:00,10572.0,11067.99,10378.0,10518.53,12591
2018-02-28,16:00:00,10512.01,10811.0,10238.0,10695.8,14235
2018-03-01,16:00:00,10697.12,11207.56,10697.12,10838.99,14354
2018-03-02,16:00:00,10839.25,11523.36,10775.42,11471.24,14525
2018-03-03,16:00:00,11470.01,11528.46,11072.1,11160.0,15175
2018-03-04,16:00:00,11160.0,11599.99,11120.0,11524.9,14810
2018-03-05,16:00:00,11510.05,11688.32,10794.99,10982.42,16816
2018-03-06,16:00:00,10978.0,11022.0,10310.0,10670.0,19323
2018-03-07,16:00:00,10670.0,10696.17,9459.5,9893.7,29333
2018-03-08,16:00:00,9893.81,9900.0,8324.19,8931.1,31680
2018-03-09,16:00:00,8931.15,9476.0,8632.0,9367.8,22181
2018-03-10,16:00:00,9355.0,9427.95,8455.55,9055.11,23102
2018-03-11,16:00:00,9055.21,9849.32,9051.7,9169.0,20079
2018-03-12,16:00:00,9167.77,9467.61,8800.0,9083.56,17710
2018-03-13,16:00:00,9083.56,9330.0,8589.96,8730.0,16852
2018-03-14,16:00:00,8732.51,8735.39,7666.0,8110.0,29382
2018-03-15,16:00:00,8110.0,8590.0,7910.0,8535.0,20676
2018-03-16,16:00:00,8537.98,8600.2,7849.83,7899.9,19902
2018-03-17,16:00:00,7900.0,8040.0,7318.44,7381.69,23837
2018-03-18,16:00:00,7384.73,8680.0,7333.0,8549.95,32918
2018-03-19,16:00:00,8551.18,8652.43,8280.0,8529.55,21228
2018-03-20,16:00:00,8524.36,9164.8,8524.32,9037.56,26082
2018-03-21,16:00:00,9037.56,9095.1,8479.01,8612.56,20034
2018-03-22,16:00:00,8612.56,8757.55,8277.05,8625.0,15805
2018-03-23,16:00:00,8626.15,9020.0,8560.0,8950.0,13462
2018-03-24,16:00:00,8949.99,8970.46,8360.0,8469.32,14694
2018-03-25,16:00:00,8469.32,8650.0,8022.0,8079.0,18754
2018-03-26,16:00:00,8079.0,8250.0,7747.54,8050.0,25550
2018-03-27,16:00:00,8036.08,8100.0,7742.0,7861.7,18569
2018-03-28,16:00:00,7860.79,8008.89,7349.0,7480.0,25284
2018-03-29,16:00:00,7475.0,7579.99,6699.0,6885.91,42278
2018-03-30,16:00:00,6885.91,7200.0,6613.0,7063.19,30719
2018-03-31,16:00:00,7063.23,7177.82,6450.0,6450.0,27933
2018-04-01,16:00:00,6450.02,7130.9,6440.0,7025.3,27776
2018-04-02,16:00:00,7025.39,7421.21,6901.9,7370.47,21428
2018-04-03,16:00:00,7372.84,7500.0,6786.69,6801.32,20946
2018-04-04,16:00:00,6801.32,6918.0,6499.95,6751.44,21484
2018-04-05,16:00:00,6751.67,6850.0,6506.05,6590.3,15742
2018-04-06,16:00:00,6591.89,7022.41,6520.0,7003.98,13099
2018-04-07,16:00:00,7007.87,7099.0,6857.48,7040.16,10419
2018-04-08,16:00:00,7040.16,7179.99,6690.0,6740.0,16490
2018-04-09,16:00:00,6740.14,6843.85,6623.0,6826.0,14093
2018-04-10,16:00:00,6825.82,6965.0,6772.06,6933.03,12409
2018-04-11,16:00:00,6933.01,7900.0,6759.0,7632.48,32240
2018-04-12,16:00:00,7629.41,8230.0,7568.0,8126.68,29797
2018-04-13,16:00:00,8126.68,8175.53,7800.0,7958.86,21278
2018-04-14,16:00:00,7958.1,8408.88,7916.02,8269.23,17327
2018-04-15,16:00:00,8268.0,8399.12,7880.0,7970.0,22247
2018-04-16,16:00:00,7970.0,8159.87,7913.66,8082.0,16283
2018-04-17,16:00:00,8085.95,8151.9,7836.95,7993.11,17541
2018-04-18,16:00:00,7991.98,8287.58,7989.12,8229.85,15717
2018-04-19,16:00:00,8229.85,8561.0,8190.0,8471.55,19815
