Date,Time,Open,High,Low,Close,Volume
2017-12-29,16:00:00,8.45,8.7,6.7,6.97,3432652
2017-12-30,16:00:00,6.98,7.7,6.54,7.59,2672328
2017-12-31,16:00:00,7.59,8.05,7.27,7.71,2618900
2018-01-01,16:00:00,7.7,8.5,7.52,8.11,2995710
2018-01-02,16:00:00,8.11,8.46,7.59,8.17,2874077
2018-01-03,16:00:00,8.17,10.53,8.08,9.68,6547052
2018-01-04,16:00:00,9.68,10.32,8.88,9.24,2529209
2018-01-05,16:00:00,9.22,9.98,8.72,9.27,2689230
2018-01-06,16:00:00,9.29,10.85,9.25,10.28,3007651
2018-01-07,16:00:00,10.26,10.46,7.93,8.92,3373347
2018-01-08,16:00:00,8.92,9.82,8.85,9.34,2275679
2018-01-09,16:00:00,9.34,9.67,8.47,9.63,2271293
2018-01-10,16:00:00,9.62,11.62,9.19,10.94,7479098
2018-01-11,16:00:00,10.95,15.39,10.45,13.47,8903129
2018-01-12,16:00:00,13.48,18.52,13.2,15.7,10216501
2018-01-13,16:00:00,15.7,16.71,12.76,13.39,5542494
2018-01-14,16:00:00,13.38,14.68,13.0,13.91,3731943
2018-01-15,16:00:00,13.91,14.1,9.5,11.93,7655437
2018-01-16,16:00:00,11.93,11.93,7.5,7.7,10117507
2018-01-17,16:00:00,7.7,11.15,7.69,10.78,9846029
2018-01-18,16:00:00,10.77,11.85,9.58,10.93,8762535
2018-01-19,16:00:00,10.95,14.76,10.69,14.07,9342129
2018-01-20,16:00:00,14.08,15.95,12.7,12.96,11769743
2018-01-21,16:00:00,12.94,15.28,12.12,13.1,11606107
2018-01-22,16:00:00,13.11,13.8,11.8,13.35,6189135
2018-01-23,16:00:00,13.33,13.78,12.24,13.24,5697778
2018-01-24,16:00:00,13.24,15.0,13.02,13.85,4762342
2018-01-25,16:00:00,13.84,14.83,13.09,14.38,4389517
2018-01-26,16:00:00,14.37,14.65,13.9,14.62,2526347
2018-01-27,16:00:00,14.62,14.93,14.19,14.38,2097471
2018-01-28,16:00:00,14.38,14.75,13.5,13.86,1698333
2018-01-29,16:00:00,13.87,14.0,12.01,12.38,3065059
2018-01-30,16:00:00,12.38,12.6,10.22,11.36,5623993
2018-01-31,16:00:00,11.36,12.2,10.15,10.34,5008127
2018-02-01,16:00:00,10.35,10.95,8.63,10.92,7828092
2018-02-02,16:00:00,10.92,11.27,9.25,10.7,5592428
2018-02-03,16:00:00,10.7,11.1,9.34,9.43,4003336
2018-02-04,16:00:00,9.43,9.7,7.85,8.16,6181958
2018-02-05,16:00:00,8.17,8.32,5.93,7.96,15825029
2018-02-06,16:00:00,7.96,8.97,7.18,8.54,9236586
2018-02-07,16:00:00,8.54,8.74,7.58,8.15,5506605
2018-02-08,16:00:00,8.14,8.95,7.94,8.87,4076704
2018-02-09,16:00:00,8.87,9.9,8.66,8.72,6287479
2018-02-10,16:00:00,8.72,9.0,8.01,8.77,4926847
2018-02-11,16:00:00,8.77,9.15,8.31,8.71,3352902
2018-02-12,16:00:00,8.73,9.25,8.62,8.78,3563479
2018-02-13,16:00:00,8.78,9.45,8.75,9.44,4462339
2018-02-14,16:00:00,9.44,10.07,9.26,9.75,5162084
2018-02-15,16:00:00,9.75,10.03,9.35,9.78,2701619
2018-02-16,16:00:00,9.77,10.04,9.57,9.9,2628806
2018-02-17,16:00:00,9.9,10.08,8.8,9.34,4081684
2018-02-18,16:00:00,9.35,9.69,9.05,9.62,2029681
2018-02-19,16:00:00,9.61,9.88,9.36,9.45,2265036
2018-02-20,16:00:00,9.46,9.48,8.17,8.28,4358475
2018-02-21,16:00:00,8.27,8.63,7.61,7.83,5511819
2018-02-22,16:00:00,7.83,8.53,7.6,8.33,5138285
2018-02-23,16:00:00,8.34,8.49,7.65,7.86,4708515
2018-02-24,16:00:00,7.87,7.97,7.46,7.57,3376549
2018-02-25,16:00:00,7.57,8.19,7.41,8.14,3766811
2018-02-26,16:00:00,8.14,8.82,7.85,8.45,6998739
2018-02-27,16:00:00,8.46,9.12,8.31,8.53,5800196
2018-02-28,16:00:00,8.52,8.58,8.12,8.35,3411291
2018-03-01,16:00:00,8.36,8.66,7.91,8.0,3497037
2018-03-02,16:00:00,7.99,8.27,7.93,8.05,1826166
2018-03-03,16:00:00,8.05,8.06,7.71,7.8,2403522
2018-03-04,16:00:00,7.79,8.28,7.76,8.1,3123480
2018-03-05,16:00:00,8.09,8.13,7.42,7.54,3540149
2018-03-06,16:00:00,7.53,7.53,6.61,6.86,6897836
2018-03-07,16:00:00,6.86,6.87,5.95,6.25,11065039
2018-03-08,16:00:00,6.25,6.25,5.2,5.68,11195927
2018-03-09,16:00:00,5.68,6.42,5.5,6.14,8087660
2018-03-10,16:00:00,6.14,6.21,5.42,5.81,8227660
2018-03-11,16:00:00,5.81,6.2,5.63,5.69,5631968
2018-03-12,16:00:00,5.69,5.95,5.57,5.94,5439046
2018-03-13,16:00:00,5.94,5.97,5.5301,5.6302,4902766
2018-03-14,16:00:00,5.64,5.64,4.8015,5.1491,11174921
2018-03-15,16:00:00,5.14,5.3599,4.88,5.29,6169445
2018-03-16,16:00:00,5.29,5.4,4.751,4.7914,4435767
2018-03-17,16:00:00,4.7914,4.847,3.88,3.97,9243292
2018-03-18,16:00:00,3.9729,5.6,3.9163,5.47,11530346
2018-03-19,16:00:00,5.47,6.2718,5.2,5.8013,14704547
2018-03-20,16:00:00,5.8,6.3226,5.7891,6.19,10221513
2018-03-21,16:00:00,6.19,7.2666,5.91,6.5699,17309822
2018-03-22,16:00:00,6.57,7.07,6.22,6.93,9774118
2018-03-23,16:00:00,6.9248,7.0695,6.7211,6.9299,6038144
2018-03-24,16:00:00,6.9268,6.9298,6.36,6.4331,5489496
2018-03-25,16:00:00,6.4442,6.584,5.8,5.88,7720008
2018-03-26,16:00:00,5.872,6.5,5.21,6.1195,16184093
2018-03-27,16:00:00,6.0876,6.48,5.661,6.0611,12030502
2018-03-28,16:00:00,6.0638,6.2993,5.79,6.2,9793313
2018-03-29,16:00:00,6.2,6.3021,5.7491,5.9774,11307808
2018-03-30,16:00:00,5.9744,6.15,5.7666,5.976,6185356
2018-03-31,16:00:00,5.9762,6.09,5.1211,5.2375,8877790
2018-04-01,16:00:00,5.2375,5.8808,5.2266,5.7577,9562311
2018-04-02,16:00:00,5.7577,5.9988,5.6318,5.91,5628478
2018-04-03,16:00:00,5.91,6.12,5.5101,5.5287,5683597
2018-04-04,16:00:00,5.53,6.139,5.3998,5.9841,7127193
2018-04-05,16:00:00,5.9841,6.4,5.7,5.7807,8913842
2018-04-06,16:00:00,5.7807,5.99,5.7528,5.9568,3678330
2018-04-07,16:00:00,5.9568,6.0126,5.825,5.9632,2434017
2018-04-08,16:00:00,5.9616,6.079,5.7682,5.843,4070767
2018-04-09,16:00:00,5.8429,6.0782,5.7543,6.029,3816266
2018-04-10,16:00:00,6.0289,7.248,5.9393,7.1221,13599452
2018-04-11,16:00:00,7.125,9.25,7.02,8.9895,30239321
2018-04-12,16:00:00,8.9864,9.5028,8.6125,9.1259,12959178
2018-04-13,16:00:00,9.1259,9.1807,8.08,8.2978,10368066
2018-04-14,16:00:00,8.2979,9.0513,7.7961,8.4106,15204759
2018-04-15,16:00:00,8.4106,8.5791,7.81,7.9682,7009476
2018-04-16,16:00:00,7.9682,8.9999,7.8966,8.8201,11287580
2018-04-17,16:00:00,8.8204,9.086,8.38,8.7584,7145971
2018-04-18,16:00:00,8.7584,9.48,8.728,9.2304,8981829
2018-04-19,16:00:00,9.2349,10.6369,9.19,10.5357,14721102
2018-04-20,16:00:00,10.5342,11.6499,10.201,11.1377,19278586
2018-04-21,16:00:00,11.1377,11.8578,10.6501,11.5617,14259153
2018-04-22,16:00:00,11.5618,11.79,11.25,11.607,7115628
2018-04-23,16:00:00,11.6065,13.91,11.3368,13.5784,15822092
2018-04-24,16:00:00,13.58,15.95,13.3658,14.4099,33127010
2018-04-25,16:00:00,14.4099,15.3689,13.851,14.4149,15772346
2018-04-26,16:00:00,14.414,17.45,14.34,17.0515,17374905
2018-04-27,16:00:00,17.0521,19.499,16.36,19.141,23020914
2018-04-28,16:00:00,19.15,23.0809,18.5649,20.6921,27911150
2018-04-29,16:00:00,20.6921,21.6989,17.3,18.5,24386484
2018-04-30,16:00:00,18.5,18.975,15.9,16.8489,23300660
2018-05-01,16:00:00,16.8443,19.4463,16.8404,18.6848,17728322
2018-05-02,16:00:00,18.6725,19.48,17.388,18.0165,15899499
2018-05-03,16:00:00,18.0,18.36,16.42,16.5416,14838236
2018-05-04,16:00:00,16.55,18.62,16.31,17.8752,13202839
2018-05-05,16:00:00,17.8752,18.3527,16.58,17.5852,10390687
2018-05-06,16:00:00,17.5852,18.5848,16.6002,18.065,11742614
2018-05-07,16:00:00,18.1132,18.8367,17.6801,18.1938,9850812
2018-05-08,16:00:00,18.1937,18.3,17.0,17.9208,7262155
2018-05-09,16:00:00,17.9199,18.78,17.519,18.4921,8343661
2018-05-10,16:00:00,18.4999,18.5454,14.2437,15.0416,22516934
2018-05-11,16:00:00,15.0416,15.35,12.0,13.3952,29238898
2018-05-12,16:00:00,13.3945,14.501,13.081,14.3584,15505216
2018-05-13,16:00:00,14.3584,15.08,12.8405,14.3265,20201975
2018-05-14,16:00:00,14.3265,14.3703,13.23,13.481,10634671
2018-05-15,16:00:00,13.481,13.6,11.725,12.2021,19085359
2018-05-16,16:00:00,12.19,13.95,11.912,13.1993,16293825
2018-05-17,16:00:00,13.1993,13.2914,11.92,12.37,17589861
2018-05-18,16:00:00,12.37,13.4148,12.2403,13.1,13708146
2018-05-19,16:00:00,13.1,13.8404,12.8465,13.6912,10368165
2018-05-20,16:00:00,13.6956,14.3,13.0801,13.2567,11242685
2018-05-21,16:00:00,13.2565,13.4683,12.56,12.8525,7810232
2018-05-22,16:00:00,12.8514,13.07,10.7,10.8747,16451323
2018-05-23,16:00:00,10.8735,12.3297,10.33,12.2561,25257357
2018-05-24,16:00:00,12.2548,12.9339,11.5716,12.2801,19848182
2018-05-25,16:00:00,12.28,12.8249,11.7703,12.6995,12512666
2018-05-26,16:00:00,12.7025,12.7922,11.9603,12.4259,10134080
2018-05-27,16:00:00,12.4299,12.939,11.5961,12.0,15603563
2018-05-28,16:00:00,11.9961,12.2069,10.7,11.8358,18861536
2018-05-29,16:00:00,11.8358,12.5666,11.73,11.8398,13562660
2018-05-30,16:00:00,11.84,12.42,11.7,12.2578,10486030
2018-05-31,16:00:00,12.2601,12.75,11.8911,12.1477,11680803
2018-06-01,16:00:00,12.1485,14.6666,11.9581,14.4811,20007905
2018-06-02,16:00:00,14.4882,15.66,14.21,14.9332,19758577
2018-06-03,16:00:00,14.9332,15.0,13.2317,13.425,13359064
2018-06-04,16:00:00,13.425,14.1,12.8033,14.06,14288000
2018-06-05,16:00:00,14.0447,14.2951,13.7843,14.0552,8605895
2018-06-06,16:00:00,14.0591,14.1067,13.35,13.9147,7848603
2018-06-07,16:00:00,13.9059,14.9,13.51,14.05,12176740
2018-06-08,16:00:00,14.0577,15.0,13.95,14.2794,11681304
2018-06-09,16:00:00,14.2849,14.45,12.61,12.9534,13717580
2018-06-10,16:00:00,12.9546,12.9928,10.1001,10.5212,28936729
2018-06-11,16:00:00,10.5238,11.5,10.38,10.7801,13354966
2018-06-12,16:00:00,10.7801,10.79,9.5038,9.604,17092001
2018-06-13,16:00:00,9.604,10.351,9.12,9.8567,18607690
2018-06-14,16:00:00,9.859,11.5825,9.8512,10.8719,16907093
2018-06-15,16:00:00,10.8653,11.09,10.2,10.3038,8536875
2018-06-16,16:00:00,10.3019,10.76,10.2151,10.52,5899220
2018-06-17,16:00:00,10.5242,10.545,10.1195,10.3213,5133701
2018-06-18,16:00:00,10.3236,10.8438,10.2641,10.6943,7337072
2018-06-19,16:00:00,10.6941,10.7335,10.151,10.4443,6681340
2018-06-20,16:00:00,10.4503,10.8216,10.31,10.426,5305608
2018-06-21,16:00:00,10.426,10.463,8.25,8.6893,13935490
2018-06-22,16:00:00,8.6892,8.8718,7.98,8.1625,13415980
2018-06-23,16:00:00,8.1624,8.4699,6.75,6.9432,18253019
2018-06-24,16:00:00,6.9383,8.3497,6.928,8.2667,19541206
2018-06-25,16:00:00,8.267,8.5,7.5509,7.8244,9484843
2018-06-26,16:00:00,7.8244,8.1,7.25,7.9622,10863886
2018-06-27,16:00:00,7.9602,8.25,7.62,7.8375,8719917
2018-06-28,16:00:00,7.839,7.8785,7.0637,7.3789,10172077
2018-06-29,16:00:00,7.3789,8.26,7.2697,8.0651,11244560
2018-06-30,16:00:00,8.0651,8.2747,7.76,7.9499,8768441
2018-07-01,16:00:00,7.95,8.9921,7.89,8.8819,11691544
2018-07-02,16:00:00,8.8819,9.4555,8.75,8.9278,13967635
2018-07-03,16:00:00,8.9278,9.4,8.46,9.1133,12161117
2018-07-04,16:00:00,9.1104,9.19,8.72,8.9401,9504597
2018-07-05,16:00:00,8.945,9.0019,8.2802,8.5488,9649074
2018-07-06,16:00:00,8.5495,8.706,8.3553,8.4465,6659733
2018-07-07,16:00:00,8.4462,8.9703,8.365,8.7832,6858184
2018-07-08,16:00:00,8.7833,8.823,8.4923,8.599,5336000
2018-07-09,16:00:00,8.6022,8.6071,7.06,7.2678,16385377
2018-07-10,16:00:00,7.2678,7.5367,6.6999,7.03,13840959
2018-07-11,16:00:00,7.0296,7.1731,6.51,6.75,11155688
2018-07-12,16:00:00,6.7493,7.215,6.59,7.076,10171214
2018-07-13,16:00:00,7.076,7.1571,6.6825,6.9333,8326083
2018-07-14,16:00:00,6.9333,7.5,6.85,7.4265,8635454
2018-07-15,16:00:00,7.4264,8.0799,7.21,7.9609,10937167
2018-07-16,16:00:00,7.961,8.2,7.835,8.0872,11036410
