Date,Time,Open,High,Low,Close,Volume
2017-12-29,16:00:00,749.99,760.0,650.0,680.9,59997
2017-12-30,16:00:00,680.51,727.98,651.67,716.74,47341
2017-12-31,16:00:00,716.74,758.0,716.42,747.09,49053
2018-01-01,16:00:00,747.72,890.0,735.93,862.05,87499
2018-01-02,16:00:00,863.59,885.72,820.0,876.0,62508
2018-01-03,16:00:00,876.0,1013.99,860.18,993.5,78152
2018-01-04,16:00:00,993.41,1035.0,930.0,982.99,56722
2018-01-05,16:00:00,982.99,1007.99,945.03,1006.79,55121
2018-01-06,16:00:00,1006.97,1099.0,991.99,1099.0,48459
2018-01-07,16:00:00,1099.0,1238.0,944.0,1055.05,93661
2018-01-08,16:00:00,1055.05,1254.0,1053.97,1206.0,80318
2018-01-09,16:00:00,1206.8,1405.0,1198.18,1340.03,82329
2018-01-10,16:00:00,1340.04,1347.54,1125.0,1226.08,94658
2018-01-11,16:00:00,1226.08,1290.0,1089.0,1215.78,71963
2018-01-12,16:00:00,1216.42,1370.0,1190.0,1354.0,59221
2018-01-13,16:00:00,1354.0,1422.0,1231.0,1262.0,68295
2018-01-14,16:00:00,1262.01,1368.59,1242.5,1308.5,62062
2018-01-15,16:00:00,1308.5,1308.78,980.2,1118.91,110127
2018-01-16,16:00:00,1118.91,1118.91,766.95,784.59,191272
2018-01-17,16:00:00,784.84,1062.49,783.22,1061.0,155981
2018-01-18,16:00:00,1061.0,1085.0,951.52,1041.91,94961
2018-01-19,16:00:00,1041.93,1133.0,1008.8,1123.19,56165
2018-01-20,16:00:00,1124.04,1168.54,1038.0,1050.32,47246
2018-01-21,16:00:00,1050.15,1083.71,945.0,955.3,66345
2018-01-22,16:00:00,955.3,1012.0,915.0,987.0,49806
2018-01-23,16:00:00,986.9,1070.0,935.0,1021.0,77337
2018-01-24,16:00:00,1021.0,1114.22,1005.03,1038.0,80661
2018-01-25,16:00:00,1038.85,1085.0,992.96,1060.02,74626
