Date,Time,Open,High,Low,Close,Volume
2017-12-29,16:00:00,250.0,252.0,201.0,207.46,130026
2017-12-30,16:00:00,207.47,226.92,194.08,217.0,118002
2017-12-31,16:00:00,216.92,232.54,213.65,223.37,96544
2018-01-01,16:00:00,223.16,255.56,218.18,248.49,102293
2018-01-02,16:00:00,248.49,254.39,233.29,245.96,97077
2018-01-03,16:00:00,245.96,248.0,222.0,230.0,110012
2018-01-04,16:00:00,230.0,250.0,229.3,245.25,124275
2018-01-05,16:00:00,245.5,305.0,237.4,282.0,302120
2018-01-06,16:00:00,282.0,288.98,274.39,278.79,117787
2018-01-07,16:00:00,278.79,278.85,215.0,241.99,148318
2018-01-08,16:00:00,241.99,257.99,235.0,251.0,118196
2018-01-09,16:00:00,251.5,257.72,229.02,245.6,122733
2018-01-10,16:00:00,245.6,253.88,201.0,236.8,153948
2018-01-11,16:00:00,237.13,241.9,218.0,230.0,103314
2018-01-12,16:00:00,229.98,249.97,225.11,243.0,102828
2018-01-13,16:00:00,243.73,272.44,225.7,231.06,155498
2018-01-14,16:00:00,231.52,243.0,227.02,237.14,111621
2018-01-15,16:00:00,237.7,238.77,183.0,203.55,177496
2018-01-16,16:00:00,203.55,203.55,138.0,142.06,223875
2018-01-17,16:00:00,142.09,200.0,141.85,200.0,198918
2018-01-18,16:00:00,199.98,200.0,180.0,191.63,114149
2018-01-19,16:00:00,191.68,208.48,187.01,202.98,77330
2018-01-20,16:00:00,202.9,214.51,187.52,187.85,74104
2018-01-21,16:00:00,187.79,196.0,170.0,172.31,69251
2018-01-22,16:00:00,172.3,180.37,161.17,176.26,66472
2018-01-23,16:00:00,176.72,186.76,170.0,178.11,66644
2018-01-24,16:00:00,178.08,186.77,175.78,176.64,56929
2018-01-25,16:00:00,177.16,183.23,165.99,176.79,66881
2018-01-26,16:00:00,176.81,183.0,172.5,182.49,40179
2018-01-27,16:00:00,182.49,192.9,180.49,190.0,57464
2018-01-28,16:00:00,190.0,197.96,180.29,184.16,42748
2018-01-29,16:00:00,184.2,185.0,167.96,169.38,41374
2018-01-30,16:00:00,169.77,174.0,156.99,161.02,70792
2018-01-31,16:00:00,161.1,166.94,145.47,147.89,80959
2018-02-01,16:00:00,147.88,151.57,108.67,135.31,179471
2018-02-02,16:00:00,135.31,150.0,121.5,144.0,75269
2018-02-03,16:00:00,144.48,175.0,140.89,150.54,196077
2018-02-04,16:00:00,151.04,155.49,126.69,134.37,143251
2018-02-05,16:00:00,134.38,139.22,107.56,132.53,258852
2018-02-06,16:00:00,133.05,156.73,124.0,148.84,210186
2018-02-07,16:00:00,148.85,154.22,137.13,143.38,122792
2018-02-08,16:00:00,143.46,154.99,141.36,151.78,70995
2018-02-09,16:00:00,151.87,168.3,150.22,151.15,100218
2018-02-10,16:00:00,151.15,156.58,140.82,154.5,81461
2018-02-11,16:00:00,154.53,162.79,148.0,156.93,57964
2018-02-12,16:00:00,156.67,163.63,152.88,156.04,42813
2018-02-13,16:00:00,155.95,216.85,155.14,210.58,213725
2018-02-14,16:00:00,210.52,236.57,197.58,219.0,175792
2018-02-15,16:00:00,218.53,235.0,206.33,229.93,114222
2018-02-16,16:00:00,229.78,235.0,222.22,225.29,68452
2018-02-17,16:00:00,225.27,231.49,210.93,224.08,71986
2018-02-18,16:00:00,224.0,229.27,212.86,226.38,70368
2018-02-19,16:00:00,226.41,253.57,221.01,240.58,125830
2018-02-20,16:00:00,240.55,248.88,204.22,208.26,134807
2018-02-21,16:00:00,208.3,221.4,188.53,196.92,102166
2018-02-22,16:00:00,196.75,216.0,181.69,210.07,104306
2018-02-23,16:00:00,210.0,218.66,195.66,201.17,80296
2018-02-24,16:00:00,201.07,215.43,193.74,209.31,73507
2018-02-25,16:00:00,209.21,232.0,207.04,223.71,104233
2018-02-26,16:00:00,223.72,224.88,212.54,216.4,107706
2018-02-27,16:00:00,216.38,223.78,205.04,208.74,86671
2018-02-28,16:00:00,208.78,214.35,200.45,213.0,80569
2018-03-01,16:00:00,212.98,214.86,203.55,205.87,80282
2018-03-02,16:00:00,205.83,218.68,204.29,213.03,98668
2018-03-03,16:00:00,212.91,213.88,204.63,208.56,88811
2018-03-04,16:00:00,208.19,216.4,208.0,212.99,89937
2018-03-05,16:00:00,213.01,213.88,196.3,202.6,119089
2018-03-06,16:00:00,202.6,202.74,187.36,193.39,120957
2018-03-07,16:00:00,193.35,193.83,174.0,184.19,141247
2018-03-08,16:00:00,183.92,184.56,158.0,178.02,171013
2018-03-09,16:00:00,178.0,194.5,173.0,187.83,159377
2018-03-10,16:00:00,187.83,192.0,170.22,183.66,152706
2018-03-11,16:00:00,183.66,193.77,177.91,178.52,108049
2018-03-12,16:00:00,178.86,182.14,171.0,174.8,121140
2018-03-13,16:00:00,175.0,177.85,163.69,167.64,107625
2018-03-14,16:00:00,167.6,167.83,150.0,161.34,172139
2018-03-15,16:00:00,160.3,170.98,157.6,169.71,138084
2018-03-16,16:00:00,169.86,171.67,154.53,155.15,158741
2018-03-17,16:00:00,155.59,157.0,137.34,138.81,207331
2018-03-18,16:00:00,138.87,163.73,137.34,161.72,221683
2018-03-19,16:00:00,161.72,163.49,154.27,160.32,152778
2018-03-20,16:00:00,160.32,175.34,160.32,172.61,190324
2018-03-21,16:00:00,172.82,173.69,160.0,164.47,152913
