Date,Time,Open,High,Low,Close,Volume
2018-03-08,16:00:00,0.0266,0.0354,0.0265,0.0345,13630132
2018-03-09,16:00:00,0.0344,0.0382,0.0325,0.0373,47555471
2018-03-10,16:00:00,0.0371,0.0377,0.0329,0.0362,46094025
2018-03-11,16:00:00,0.0361,0.03999,0.0356,0.036001,26210908
2018-03-12,16:00:00,0.036399,0.037473,0.03434,0.035497,76389380
2018-03-13,16:00:00,0.035299,0.036427,0.033,0.033372,26976218
2018-03-14,16:00:00,0.033399,0.033455,0.028112,0.029418,47017398
2018-03-15,16:00:00,0.029348,0.031,0.028863,0.030874,44117149
2018-03-16,16:00:00,0.030874,0.031659,0.028236,0.028702,36615791
2018-03-17,16:00:00,0.028671,0.029025,0.023129,0.023759,46568954
2018-03-18,16:00:00,0.023768,0.033612,0.023535,0.032637,61559650
2018-03-19,16:00:00,0.032637,0.034798,0.02766,0.033596,52464648
2018-03-20,16:00:00,0.033606,0.040815,0.033606,0.039594,57381854
2018-03-21,16:00:00,0.039606,0.039606,0.0343,0.03585,44007559
2018-03-22,16:00:00,0.035746,0.038901,0.034833,0.037986,45675639
2018-03-23,16:00:00,0.038185,0.053499,0.037408,0.049765,125362291
2018-03-24,16:00:00,0.049772,0.052,0.0455,0.046801,64798403
2018-03-25,16:00:00,0.04675,0.048199,0.039001,0.041007,74897380
2018-03-26,16:00:00,0.041005,0.046022,0.039175,0.044509,62222406
2018-03-27,16:00:00,0.044509,0.0466,0.042284,0.044391,69241136
2018-03-28,16:00:00,0.044394,0.050999,0.044278,0.048813,90192931
2018-03-29,16:00:00,0.048813,0.051,0.03899,0.041704,130746526
2018-03-30,16:00:00,0.0416,0.0435,0.034535,0.035111,129425005
2018-03-31,16:00:00,0.035003,0.035966,0.028,0.028898,81297328
2018-04-01,16:00:00,0.028711,0.035411,0.028706,0.03426,98492864
2018-04-02,16:00:00,0.0344,0.036,0.032999,0.03446,74474864
2018-04-03,16:00:00,0.034438,0.0355,0.029533,0.02971,84334861
2018-04-04,16:00:00,0.029677,0.046549,0.0286,0.038133,278464374
2018-04-05,16:00:00,0.038133,0.04431,0.03502,0.036919,146613119
2018-04-06,16:00:00,0.036879,0.038302,0.035694,0.037599,102978198
2018-04-07,16:00:00,0.037558,0.038841,0.03644,0.037983,68221841
2018-04-08,16:00:00,0.037983,0.0386,0.0338,0.03497,71177026
2018-04-09,16:00:00,0.034961,0.0375,0.034563,0.036706,62163932
2018-04-10,16:00:00,0.036669,0.0376,0.036045,0.03639,75570059
2018-04-11,16:00:00,0.03639,0.0388,0.0347,0.038005,164553651
2018-04-12,16:00:00,0.038011,0.045,0.037619,0.041304,234646193
2018-04-13,16:00:00,0.041284,0.042,0.038101,0.04027,129739903
2018-04-14,16:00:00,0.04027,0.0429,0.040055,0.042043,111609573
2018-04-15,16:00:00,0.042024,0.0444,0.039903,0.040517,138282373
2018-04-16,16:00:00,0.040511,0.04387,0.040215,0.043152,113565633
2018-04-17,16:00:00,0.043157,0.047296,0.0415,0.044774,140919240
2018-04-18,16:00:00,0.0448,0.0515,0.044698,0.049421,137147205
2018-04-19,16:00:00,0.049524,0.0521,0.04774,0.051728,155020806
2018-04-20,16:00:00,0.051705,0.0564,0.045,0.053232,181917219
2018-04-21,16:00:00,0.053353,0.054908,0.0511,0.054057,128850779
2018-04-22,16:00:00,0.054068,0.055,0.051794,0.054181,100356854
2018-04-23,16:00:00,0.054343,0.066198,0.054183,0.06615,373893497
2018-04-24,16:00:00,0.06615,0.080386,0.0642,0.070453,529063159
2018-04-25,16:00:00,0.070413,0.074822,0.064002,0.068252,196778062
2018-04-26,16:00:00,0.068302,0.078419,0.067811,0.078152,135635244
2018-04-27,16:00:00,0.078416,0.08619,0.072777,0.083309,185612049
2018-04-28,16:00:00,0.083309,0.089372,0.078999,0.085344,196463550
2018-04-29,16:00:00,0.085344,0.097617,0.083471,0.09625,175594601
2018-04-30,16:00:00,0.09625,0.102,0.083,0.08609,188460721
2018-05-01,16:00:00,0.08609,0.093597,0.085802,0.091126,94113732
2018-05-02,16:00:00,0.090764,0.091807,0.083217,0.086975,187122216
2018-05-03,16:00:00,0.086975,0.090301,0.08,0.081987,149086488
2018-05-04,16:00:00,0.081809,0.09108,0.080722,0.087402,121824283
2018-05-05,16:00:00,0.087401,0.089198,0.081,0.08336,84279232
2018-05-06,16:00:00,0.083469,0.085026,0.078383,0.081225,83132739
2018-05-07,16:00:00,0.081348,0.086144,0.07979,0.082652,74404796
2018-05-08,16:00:00,0.082651,0.083756,0.078111,0.081751,64824654
2018-05-09,16:00:00,0.08188,0.082283,0.079,0.081,91454381
2018-05-10,16:00:00,0.081,0.08119,0.062798,0.066638,204783241
2018-05-11,16:00:00,0.066784,0.071008,0.055555,0.064496,208753994
2018-05-12,16:00:00,0.064435,0.075456,0.063,0.073605,153654413
2018-05-13,16:00:00,0.073604,0.076246,0.06816,0.073024,161997026
2018-05-14,16:00:00,0.073027,0.073497,0.0683,0.068939,89197390
2018-05-15,16:00:00,0.068962,0.070769,0.062288,0.07005,121245369
2018-05-16,16:00:00,0.07005,0.077,0.06811,0.069263,163190982
2018-05-17,16:00:00,0.06926,0.069471,0.063977,0.067059,101573024
2018-05-18,16:00:00,0.067162,0.070787,0.066351,0.069342,101577522
2018-05-19,16:00:00,0.069343,0.076429,0.067867,0.076231,173641850
2018-05-20,16:00:00,0.076231,0.08417,0.075888,0.079506,317797464
2018-05-21,16:00:00,0.079506,0.08208,0.0761,0.07793,204898629
2018-05-22,16:00:00,0.07793,0.08,0.0675,0.068434,227098617
2018-05-23,16:00:00,0.068227,0.073453,0.064677,0.072995,284286166
2018-05-24,16:00:00,0.072995,0.07586,0.068009,0.070384,125099206
2018-05-25,16:00:00,0.070588,0.073999,0.0689,0.073955,86155054
2018-05-26,16:00:00,0.073955,0.076494,0.070358,0.071625,129681881
2018-05-27,16:00:00,0.071841,0.071841,0.061901,0.063447,224861287
2018-05-28,16:00:00,0.063324,0.065748,0.055,0.062902,211985431
2018-05-29,16:00:00,0.0629,0.06739,0.058697,0.0595,183491580
2018-05-30,16:00:00,0.0595,0.064,0.058,0.060248,183424073
2018-05-31,16:00:00,0.060299,0.061499,0.056586,0.057076,133272605
2018-06-01,16:00:00,0.057224,0.063107,0.055731,0.06119,141957184
2018-06-02,16:00:00,0.061185,0.064266,0.06006,0.062901,153848824
2018-06-03,16:00:00,0.062901,0.063118,0.057455,0.058107,111250882
2018-06-04,16:00:00,0.058213,0.059588,0.056672,0.059588,65441940
2018-06-05,16:00:00,0.059588,0.061088,0.058721,0.059651,66456565
2018-06-06,16:00:00,0.059682,0.060687,0.058,0.058874,64792002
2018-06-07,16:00:00,0.059038,0.0594,0.0565,0.05774,50604817
2018-06-08,16:00:00,0.057451,0.06,0.057199,0.057858,40632448
2018-06-09,16:00:00,0.057772,0.057986,0.052,0.052457,88681476
2018-06-10,16:00:00,0.052456,0.052526,0.043888,0.045081,191066867
2018-06-11,16:00:00,0.045116,0.048728,0.044896,0.045757,98072464
2018-06-12,16:00:00,0.045729,0.0458,0.034,0.039552,151900087
2018-06-13,16:00:00,0.039559,0.044685,0.037551,0.041409,172507766
2018-06-14,16:00:00,0.041445,0.045949,0.041391,0.043917,108598349
2018-06-15,16:00:00,0.04381,0.044952,0.04129,0.041723,51051962
2018-06-16,16:00:00,0.0416,0.0436,0.041402,0.042955,41007327
2018-06-17,16:00:00,0.042944,0.043433,0.041117,0.042061,35248104
2018-06-18,16:00:00,0.042122,0.0518,0.041873,0.049035,126269320
2018-06-19,16:00:00,0.049174,0.050309,0.045401,0.049061,115410685
2018-06-20,16:00:00,0.049297,0.050849,0.047201,0.047954,64280428
2018-06-21,16:00:00,0.047998,0.049294,0.042458,0.04299,115053504
2018-06-22,16:00:00,0.043126,0.044258,0.041111,0.043228,97858650
2018-06-23,16:00:00,0.043275,0.044945,0.038,0.03801,98859754
2018-06-24,16:00:00,0.03801,0.043678,0.03786,0.042403,112170966
2018-06-25,16:00:00,0.042421,0.043284,0.039602,0.040074,49789573
2018-06-26,16:00:00,0.040097,0.040586,0.037011,0.038648,66328487
2018-06-27,16:00:00,0.038672,0.039809,0.037802,0.038808,62644955
2018-06-28,16:00:00,0.038813,0.03908,0.03421,0.0356,103504647
2018-06-29,16:00:00,0.035521,0.040299,0.035167,0.038187,57897154
2018-06-30,16:00:00,0.038187,0.038415,0.036712,0.037176,37539550
2018-07-01,16:00:00,0.037174,0.040752,0.037,0.0401,45475179
2018-07-02,16:00:00,0.040055,0.041422,0.039001,0.039405,54140122
2018-07-03,16:00:00,0.0395,0.040599,0.037503,0.039839,45943688
2018-07-04,16:00:00,0.039839,0.040569,0.038219,0.038611,38017541
2018-07-05,16:00:00,0.038697,0.038929,0.035216,0.037545,32127102
2018-07-06,16:00:00,0.037473,0.03841,0.036,0.036483,13823640
2018-07-07,16:00:00,0.036359,0.038366,0.036194,0.037783,17203646
2018-07-08,16:00:00,0.03778,0.037981,0.036145,0.036626,20063752
2018-07-09,16:00:00,0.036626,0.036895,0.032313,0.032995,55261815
2018-07-10,16:00:00,0.032923,0.035093,0.03244,0.033298,47884178
2018-07-11,16:00:00,0.033296,0.033629,0.0318,0.031938,76477166
2018-07-12,16:00:00,0.031938,0.033989,0.031024,0.033616,209288621
2018-07-13,16:00:00,0.033616,0.0346,0.032489,0.032951,165793224
2018-07-14,16:00:00,0.03298,0.034999,0.0329,0.034866,196201902
2018-07-15,16:00:00,0.034866,0.036962,0.034029,0.036294,118518453
2018-07-16,16:00:00,0.036292,0.037797,0.03606,0.037119,112289209
2018-07-17,16:00:00,0.03715,0.041414,0.036769,0.040366,303613948
2018-07-18,16:00:00,0.040366,0.0435,0.037386,0.037635,411302875
2018-07-19,16:00:00,0.037735,0.0412,0.035,0.035826,585674392
2018-07-20,16:00:00,0.035826,0.037209,0.033686,0.036061,552280629
2018-07-21,16:00:00,0.036059,0.03657,0.0351,0.036068,562861387
2018-07-22,16:00:00,0.036128,0.036475,0.034576,0.034726,625588670
2018-07-23,16:00:00,0.034725,0.039188,0.032827,0.037315,619533906
2018-07-24,16:00:00,0.037347,0.039288,0.036129,0.036683,619811223
2018-07-25,16:00:00,0.036685,0.038771,0.036566,0.037847,533075966
2018-07-26,16:00:00,0.037782,0.038299,0.035141,0.036565,613327722
2018-07-27,16:00:00,0.036538,0.037184,0.035687,0.036038,597704745
2018-07-28,16:00:00,0.036028,0.03999,0.036028,0.039348,609703722
2018-07-29,16:00:00,0.039355,0.040889,0.036052,0.03613,181236316
2018-07-30,16:00:00,0.036107,0.036599,0.033418,0.033834,369314381
2018-07-31,16:00:00,0.033842,0.034844,0.032304,0.033141,525194771
2018-08-01,16:00:00,0.033153,0.033216,0.03,0.030906,529056863
2018-08-02,16:00:00,0.03088,0.031659,0.02921,0.030964,601031443
2018-08-03,16:00:00,0.030939,0.031575,0.028501,0.0286,584098283
2018-08-04,16:00:00,0.02864,0.029958,0.028,0.029576,563565456
2018-08-05,16:00:00,0.029583,0.031141,0.028943,0.029334,587729760
2018-08-06,16:00:00,0.029335,0.03003,0.028671,0.029559,519958429
2018-08-07,16:00:00,0.02955,0.029724,0.024281,0.024871,558697448
2018-08-08,16:00:00,0.024864,0.025896,0.022606,0.025073,595138250
2018-08-09,16:00:00,0.025058,0.026451,0.024264,0.025095,567399537
2018-08-10,16:00:00,0.025091,0.025194,0.022008,0.022255,600178270
2018-08-11,16:00:00,0.022261,0.023681,0.021677,0.022724,594642390
2018-08-12,16:00:00,0.022713,0.023053,0.021333,0.021484,562515728
2018-08-13,16:00:00,0.02149,0.021588,0.015941,0.017289,441871888
2018-08-14,16:00:00,0.01729,0.020466,0.016826,0.019837,440050150
2018-08-15,16:00:00,0.019819,0.020679,0.018881,0.019502,527720251
2018-08-16,16:00:00,0.019494,0.021841,0.019015,0.02157,714136905
2018-08-17,16:00:00,0.02156,0.024688,0.020715,0.021082,771812052
2018-08-18,16:00:00,0.021051,0.022846,0.020151,0.02207,697906790
2018-08-19,16:00:00,0.02199,0.022657,0.021209,0.021441,574626813
2018-08-20,16:00:00,0.021429,0.0227,0.019851,0.020477,551436498
2018-08-21,16:00:00,0.020489,0.022311,0.02015,0.020311,538789173
2018-08-22,16:00:00,0.020298,0.020367,0.019,0.019922,592743786
2018-08-23,16:00:00,0.019905,0.021293,0.019807,0.020515,517893264
2018-08-24,16:00:00,0.020502,0.021849,0.02048,0.021849,631574659
2018-08-25,16:00:00,0.021832,0.0231,0.0211,0.022446,688329243
2018-08-26,16:00:00,0.022447,0.02379,0.0221,0.023772,536645121
