Date,Time,Open,High,Low,Close,Volume
2017-12-29,16:00:00,1.59,2.695,1.5753,2.15,97310603
2017-12-30,16:00:00,2.15,2.1694,1.58,1.9151,47309503
2017-12-31,16:00:00,1.9151,2.01,1.78,1.8968,26363765
2018-01-01,16:00:00,1.8943,2.1899,1.8586,2.0998,26151947
2018-01-02,16:00:00,2.0881,2.6498,2.02,2.5788,26239129
2018-01-03,16:00:00,2.58,3.2977,2.5107,3.01,39852742
2018-01-04,16:00:00,3.015,3.22,2.531,2.6668,30115294
2018-01-05,16:00:00,2.68,2.85,2.2462,2.728,32997863
2018-01-06,16:00:00,2.728,2.8,2.6,2.78,16161359
2018-01-07,16:00:00,2.7798,2.7948,1.829,2.3506,23551742
2018-01-08,16:00:00,2.35,2.5123,2.06,2.2897,22461342
2018-01-09,16:00:00,2.288,2.335,1.6315,1.9599,35027407
2018-01-10,16:00:00,1.9599,2.269,1.5677,2.1867,51322482
2018-01-11,16:00:00,2.1867,2.1887,1.81,1.9654,35239384
2018-01-12,16:00:00,1.9654,2.11,1.92,2.0034,24341118
2018-01-13,16:00:00,2.0046,2.0202,1.7298,1.7714,20483621
2018-01-14,16:00:00,1.7715,1.8898,1.7152,1.8042,18970046
2018-01-15,16:00:00,1.806,1.8073,1.16,1.379,38703741
2018-01-16,16:00:00,1.379,1.379,0.8,0.8965,58219441
2018-01-17,16:00:00,0.8965,1.6998,0.896,1.6939,86056527
2018-01-18,16:00:00,1.6939,1.73,1.45,1.5808,61063265
2018-01-19,16:00:00,1.5808,1.6287,1.48,1.5741,37513657
2018-01-20,16:00:00,1.5741,1.621,1.3235,1.3719,31921763
2018-01-21,16:00:00,1.3706,1.4298,1.15,1.1735,28123739
2018-01-22,16:00:00,1.1733,1.37,1.1505,1.34,37930936
2018-01-23,16:00:00,1.3399,1.44,1.265,1.3221,27992640
2018-01-24,16:00:00,1.3213,1.38,1.2951,1.2972,19460947
2018-01-25,16:00:00,1.2961,1.3358,1.13,1.239,26217813
2018-01-26,16:00:00,1.2394,1.2646,1.174,1.2338,12379841
2018-01-27,16:00:00,1.2334,1.3,1.2019,1.26,14383918
