Date,Time,Open,High,Low,Close,Volume
2018-09-16,16:15:00,6471.82,6475.0,6467.0,6467.0,156
2018-09-16,16:30:00,6466.31,6470.88,6461.65,6466.41,116
2018-09-16,16:45:00,6467.94,6469.59,6464.05,6468.96,94
2018-09-16,17:00:00,6469.49,6471.5,6467.22,6471.48,115
2018-09-16,17:15:00,6471.48,6471.5,6460.98,6460.98,119
2018-09-16,17:30:00,6460.98,6464.19,6408.31,6457.01,795
2018-09-16,17:45:00,6457.01,6467.43,6447.35,6461.15,176
2018-09-16,18:00:00,6462.28,6483.06,6462.28,6474.08,320
2018-09-16,18:15:00,6473.96,6478.45,6472.39,6473.66,168
2018-09-16,18:30:00,6473.66,6473.97,6469.18,6469.18,107
2018-09-16,18:45:00,6469.71,6474.51,6468.09,6469.94,76
2018-09-16,19:00:00,6472.42,6473.03,6469.91,6471.99,136
2018-09-16,19:15:00,6471.99,6475.07,6471.99,6475.07,130
2018-09-16,19:30:00,6475.47,6493.0,6475.0,6476.45,430
2018-09-16,19:45:00,6476.45,6486.2,6473.95,6485.16,285
2018-09-16,20:00:00,6486.2,6493.0,6481.47,6487.01,422
2018-09-16,20:15:00,6488.42,6488.42,6481.59,6482.66,162
2018-09-16,20:30:00,6482.59,6488.91,6482.18,6484.65,205
2018-09-16,20:45:00,6484.89,6485.11,6479.28,6481.59,169
2018-09-16,21:00:00,6481.58,6486.45,6481.58,6486.45,128
2018-09-16,21:15:00,6486.45,6488.08,6485.0,6485.0,66
2018-09-16,21:30:00,6484.81,6485.42,6471.47,6482.45,198
2018-09-16,21:45:00,6482.45,6482.45,6477.17,6477.17,109
2018-09-16,22:00:00,6477.5,6478.79,6467.82,6468.15,254
2018-09-16,22:15:00,6469.36,6477.51,6469.36,6475.26,138
2018-09-16,22:30:00,6475.26,6485.48,6475.26,6485.48,149
2018-09-16,22:45:00,6485.33,6485.53,6476.55,6482.78,199
2018-09-16,23:00:00,6483.37,6485.09,6480.17,6482.57,159
2018-09-16,23:15:00,6482.57,6488.08,6480.27,6485.0,151
2018-09-16,23:30:00,6483.61,6485.9,6481.56,6481.56,146
2018-09-16,23:45:00,6481.56,6481.85,6480.29,6481.85,83
2018-09-17,00:00:00,6481.85,6518.43,6481.85,6508.0,570
2018-09-17,00:15:00,6509.11,6518.88,6503.02,6507.41,459
2018-09-17,00:30:00,6508.65,6517.16,6505.99,6506.88,302
2018-09-17,00:45:00,6507.9,6516.7,6507.9,6508.19,245
2018-09-17,01:00:00,6509.09,6511.47,6500.0,6501.03,199
2018-09-17,01:15:00,6501.03,6501.42,6495.51,6497.96,581
2018-09-17,01:30:00,6497.5,6502.75,6495.18,6501.17,313
2018-09-17,01:45:00,6502.66,6505.37,6500.2,6500.2,114
2018-09-17,02:00:00,6502.58,6502.58,6495.5,6495.5,171
2018-09-17,02:15:00,6495.51,6497.73,6491.0,6491.0,106
2018-09-17,02:30:00,6491.86,6501.73,6491.01,6501.4,337
2018-09-17,02:45:00,6501.4,6506.61,6501.13,6503.2,152
2018-09-17,03:00:00,6502.22,6503.2,6491.58,6494.24,261
2018-09-17,03:15:00,6493.48,6497.17,6492.7,6495.16,155
2018-09-17,03:30:00,6494.71,6501.41,6494.44,6499.0,195
2018-09-17,03:45:00,6499.26,6503.67,6496.38,6500.31,329
2018-09-17,04:00:00,6500.0,6502.0,6495.0,6496.26,429
2018-09-17,04:15:00,6495.01,6496.26,6444.04,6472.8,904
2018-09-17,04:30:00,6474.86,6487.72,6473.38,6483.11,276
2018-09-17,04:45:00,6484.19,6484.83,6463.0,6464.49,388
2018-09-17,05:00:00,6467.0,6475.91,6455.62,6473.9,358
2018-09-17,05:15:00,6471.66,6473.9,6454.7,6461.89,476
2018-09-17,05:30:00,6461.17,6472.54,6461.04,6472.2,143
2018-09-17,05:45:00,6472.52,6478.41,6470.93,6477.61,197
2018-09-17,06:00:00,6476.11,6477.61,6463.39,6467.95,153
2018-09-17,06:15:00,6468.86,6478.55,6468.86,6473.73,151
2018-09-17,06:30:00,6473.69,6480.1,6471.93,6480.1,137
2018-09-17,06:45:00,6480.38,6482.0,6473.82,6473.82,243
2018-09-17,07:00:00,6473.82,6479.11,6454.8,6455.92,288
2018-09-17,07:15:00,6454.16,6464.36,6453.5,6458.04,227
2018-09-17,07:30:00,6455.8,6466.0,6448.37,6464.76,388
2018-09-17,07:45:00,6464.74,6471.32,6460.27,6466.06,262
2018-09-17,08:00:00,6466.06,6466.06,6456.73,6457.28,194
2018-09-17,08:15:00,6458.37,6466.47,6453.1,6464.41,345
2018-09-17,08:30:00,6466.55,6467.39,6456.2,6457.34,253
2018-09-17,08:45:00,6457.34,6464.3,6456.2,6463.26,265
2018-09-17,09:00:00,6463.5,6463.5,6455.23,6455.23,124
2018-09-17,09:15:00,6455.22,6481.6,6394.38,6475.09,1789
2018-09-17,09:30:00,6475.09,6489.37,6469.75,6480.01,888
2018-09-17,09:45:00,6480.01,6496.62,6475.4,6479.93,355
2018-09-17,10:00:00,6481.01,6486.31,6477.87,6484.26,252
2018-09-17,10:15:00,6480.85,6484.26,6467.64,6468.35,274
2018-09-17,10:30:00,6467.88,6468.76,6460.01,6464.0,266
2018-09-17,10:45:00,6464.0,6464.49,6453.07,6459.69,271
2018-09-17,11:00:00,6459.69,6471.46,6459.2,6471.46,187
2018-09-17,11:15:00,6471.47,6471.47,6462.91,6463.5,226
2018-09-17,11:30:00,6463.5,6475.29,6460.1,6463.37,262
2018-09-17,11:45:00,6462.55,6467.35,6456.15,6466.58,227
2018-09-17,12:00:00,6464.38,6466.58,6423.18,6450.65,1459
2018-09-17,12:15:00,6450.95,6451.81,6432.01,6448.94,239
2018-09-17,12:30:00,6448.94,6455.72,6439.38,6448.05,469
2018-09-17,12:45:00,6448.44,6448.44,6430.0,6437.56,388
