Date,Time,Open,High,Low,Close,Volume
2014-08-05,04:00:00,590.0,610.0,590.0,590.0,0
2014-08-06,04:00:00,590.0,601.0,584.24,586.17,0
2014-08-07,04:00:00,586.17,602.0,585.1,601.61,0
2014-08-08,04:00:00,601.61,601.69,589.26,589.26,0
2014-08-09,04:00:00,589.33,589.7,585.83,586.68,0
2014-08-10,04:00:00,586.76,593.96,586.23,590.87,0
2014-08-11,04:00:00,590.3,590.76,561.33,563.06,0
2014-08-12,04:00:00,563.06,573.0,555.0,564.09,0
2014-08-13,04:00:00,563.35,564.13,520.0,532.51,0
2014-08-14,04:00:00,532.51,535.0,495.91,510.91,0
2014-08-15,04:00:00,510.91,512.86,482.58,484.55,0
2014-08-16,04:00:00,484.52,525.0,483.0,516.0,0
2014-08-17,04:00:00,515.29,515.35,477.47,482.44,0
2014-08-18,04:00:00,482.39,484.74,450.01,458.6,0
2014-08-19,04:00:00,458.6,493.0,454.56,474.04,0
2014-08-20,04:00:00,467.43,532.11,464.5,518.8,0
2014-08-21,04:00:00,518.8,526.46,500.0,502.46,0
2014-08-22,04:00:00,502.46,526.0,496.11,505.14,0
2014-08-23,04:00:00,505.14,507.74,491.91,501.22,0
2014-08-24,04:00:00,501.22,512.0,495.13,504.37,0
2014-08-25,04:00:00,504.37,508.0,493.62,504.25,0
2014-08-26,04:00:00,503.03,513.5,501.77,511.98,384
2014-08-27,04:00:00,511.99,523.0,508.88,513.0,501
2014-08-28,04:00:00,513.0,516.77,503.77,504.02,442
2014-08-29,04:00:00,504.02,511.86,500.94,503.78,399
2014-08-30,04:00:00,503.78,504.85,499.65,501.09,486
2014-08-31,04:00:00,502.26,502.79,470.07,476.1,782
2014-09-01,04:00:00,476.1,484.22,470.53,476.47,805
2014-09-02,04:00:00,476.47,482.28,471.75,475.53,825
2014-09-03,04:00:00,475.53,479.9,472.69,474.34,593
2014-09-04,04:00:00,475.98,494.14,474.27,487.09,916
2014-09-05,04:00:00,486.33,490.1,478.48,483.22,752
2014-09-06,04:00:00,481.79,484.66,478.47,481.0,764
2014-09-07,04:00:00,481.16,485.36,473.25,475.87,901
2014-09-08,04:00:00,475.87,478.25,466.0,470.45,827
2014-09-09,04:00:00,469.9,478.39,466.63,474.89,919
2014-09-10,04:00:00,474.89,483.96,474.89,479.25,673
2014-09-11,04:00:00,479.25,480.25,473.3,474.97,654
2014-09-12,04:00:00,474.97,476.45,471.0,473.74,744
2014-09-13,04:00:00,473.74,481.16,473.3,475.81,938
2014-09-14,04:00:00,475.81,477.54,473.87,475.23,750
2014-09-15,04:00:00,475.23,476.39,469.92,471.16,755
