Date,Time,Open,High,Low,Close,Volume
2017-10-19,09:33:00,342.62,342.62,280.005,297.486,1
2017-10-20,09:33:00,297.486,297.486,297.486,297.486,0
2017-10-21,09:33:00,297.486,297.486,297.486,297.486,0
2017-10-22,09:33:00,297.486,297.486,297.486,297.486,0
2017-10-23,09:33:00,297.486,297.486,297.486,297.486,0
2017-10-24,09:33:00,297.486,297.486,297.486,297.486,0
2017-10-25,09:33:00,297.486,297.486,297.486,297.486,0
2017-10-26,09:33:00,297.486,297.486,297.0,297.0,0
2017-10-27,09:33:00,297.0,297.0,297.0,297.0,0
2017-10-28,09:33:00,297.0,297.0,297.0,297.0,0
2017-10-29,09:33:00,297.0,297.0,297.0,297.0,0
2017-10-30,09:33:00,297.0,297.0,297.0,297.0,0
2017-10-31,09:33:00,297.0,297.0,297.0,297.0,0
2017-11-01,09:33:00,297.0,312.811,297.0,312.811,0
2017-11-02,09:33:00,312.811,322.151,280.401,290.172,0
2017-11-03,09:33:00,290.172,326.49,290.172,315.109,873
2017-11-04,09:33:00,315.109,321.093,299.045,310.899,1175
2017-11-05,09:33:00,310.899,312.919,299.003,302.99,1773
2017-11-06,09:33:00,302.99,310.943,302.553,306.759,2441
2017-11-07,09:33:00,306.759,312.0,281.814,300.947,3795
2017-11-08,09:33:00,300.947,327.124,299.272,318.829,3009
2017-11-09,09:33:00,318.829,339.0,315.96,323.476,7131
2017-11-10,09:33:00,323.476,330.49,296.21,307.77,22411
2017-11-11,09:33:00,308.625,328.754,298.0,306.41,36639
2017-11-12,09:33:00,306.41,327.99,304.625,318.792,11649
2017-11-13,09:33:00,318.792,345.661,313.673,336.993,37424
2017-11-14,09:33:00,336.993,343.99,322.001,339.63,36354
2017-11-15,09:33:00,339.17,339.99,323.786,325.5,16874
2017-11-16,09:33:00,325.359,338.879,323.601,337.142,31207
2017-11-17,09:33:00,337.989,347.968,336.295,343.0,20041
2017-11-18,09:33:00,343.0,384.572,341.121,375.493,20448
2017-11-19,09:33:00,376.786,379.52,364.38,367.234,17613
2017-11-20,09:33:00,367.234,382.999,352.129,366.848,20155
2017-11-21,09:33:00,366.848,383.98,362.248,374.94,20687
2017-11-22,09:33:00,374.94,408.0,365.58,399.349,21336
2017-11-23,09:33:00,399.349,431.001,390.001,415.8,27836
2017-11-24,09:33:00,415.8,487.099,413.101,469.602,80909
2017-11-25,09:33:00,469.602,486.947,438.0,464.796,60755
2017-11-26,09:33:00,465.0,516.561,452.414,472.857,68166
2017-11-27,09:33:00,474.221,493.701,460.0,475.49,52772
2017-11-28,09:33:00,476.541,497.353,461.462,478.5,48211
2017-11-29,09:33:00,478.5,526.0,364.403,443.76,165824
2017-11-30,09:33:00,442.529,444.857,380.073,435.195,64888
2017-12-01,09:33:00,435.195,483.833,432.31,471.422,15518
2017-12-02,09:33:00,471.422,478.932,452.365,472.004,13904
2017-12-03,09:33:00,472.004,499.699,440.14,477.511,16112
2017-12-04,09:33:00,477.511,477.511,449.38,471.379,15687
2017-12-05,09:33:00,471.379,471.561,450.581,457.255,13470
2017-12-06,09:33:00,457.255,457.264,411.537,427.999,15587
2017-12-06,16:00:00,435.606,449.221,372.0,414.999,18538
2017-12-07,16:00:00,414.999,458.0,410.002,454.994,34433
2017-12-08,16:00:00,454.994,518.999,451.255,489.999,51719
2017-12-09,16:00:00,489.136,512.741,420.0,456.9,63171
2017-12-10,16:00:00,457.23,487.8,438.749,479.608,36778
2017-12-11,16:00:00,479.393,648.0,475.0,637.094,90438
2017-12-12,16:00:00,638.83,770.001,575.086,731.837,132268
2017-12-13,16:00:00,731.837,765.54,638.0,693.483,129370
2017-12-14,16:00:00,695.179,776.586,612.736,759.624,103539
2017-12-15,16:00:00,759.628,781.58,741.577,747.153,44814
2017-12-16,16:00:00,747.275,798.0,747.153,782.452,25313
2017-12-17,16:00:00,782.411,824.646,737.757,791.728,47410
2017-12-18,16:00:00,792.747,945.006,789.89,890.812,67702
2017-12-19,16:00:00,890.812,914.04,817.738,871.684,38216
2017-12-20,16:00:00,871.567,948.606,851.778,875.878,58178
2017-12-21,16:00:00,876.242,905.996,574.913,682.157,161121
2017-12-22,16:00:00,682.057,790.0,630.457,753.0,78359
2017-12-23,16:00:00,752.033,779.158,627.865,676.336,81085
2017-12-24,16:00:00,674.848,797.25,659.789,759.415,62590
2017-12-25,16:00:00,759.415,809.416,754.948,786.48,44686
2017-12-26,16:00:00,786.385,809.205,756.464,770.192,41371
2017-12-27,16:00:00,769.064,775.0,680.818,735.404,73140
2017-12-28,16:00:00,733.77,778.0,710.0,777.5,41876
2017-12-29,16:00:00,777.0,794.272,687.757,708.16,57018
2017-12-30,16:00:00,706.859,756.47,686.264,754.006,42454
2017-12-31,16:00:00,753.997,791.02,738.01,780.003,75404
2018-01-01,16:00:00,779.946,948.0,774.619,921.015,93484
2018-01-02,16:00:00,920.947,958.0,877.498,926.704,67656
2018-01-03,16:00:00,926.702,1058.55,917.591,1036.99,72053
2018-01-04,16:00:00,1036.99,1082.0,986.66,1022.952,51194
2018-01-05,16:00:00,1022.95,1023.089,940.285,1012.339,54353
2018-01-06,16:00:00,1012.339,1117.956,1010.97,1110.0,48470
2018-01-07,16:00:00,1109.093,1221.828,963.477,1067.19,106050
2018-01-08,16:00:00,1067.914,1272.879,1061.104,1206.12,86137
2018-01-09,16:00:00,1206.222,1376.883,1186.612,1321.723,87865
2018-01-10,16:00:00,1323.219,1334.65,1133.023,1212.515,85549
2018-01-11,16:00:00,1212.457,1273.95,1090.0,1209.776,58974
2018-01-12,16:00:00,1209.775,1356.393,1172.314,1343.351,51872
2018-01-13,16:00:00,1342.508,1405.0,1175.0,1207.335,63535
2018-01-14,16:00:00,1207.335,1346.148,1184.598,1275.51,49039
2018-01-15,16:00:00,1273.849,1284.107,930.103,1077.834,135199
2018-01-16,16:00:00,1077.593,1079.7,772.402,795.001,236287
2018-01-17,16:00:00,795.005,1043.54,795.005,1011.989,128825
2018-01-18,16:00:00,1011.989,1058.164,910.0,1004.801,78308
2018-01-19,16:00:00,1006.966,1105.905,962.4,1086.175,51561
2018-01-20,16:00:00,1086.473,1125.981,1006.008,1010.1,65426
